Id	Type	Name	Description	WorldDesc	BigIcon	Icon	Quality	Priority
24000001	1	鸦羽	露西亚的启动日来信附件	夹在仅献给一个人的手账之中，无名之鸦抖落的一片尾羽。 为今天的记录写下最后一笔的少女抬起头，向那翱翔于天际的身姿不自觉地伸出手。 她渴望着有一天，能像一只真正的灰鸦一般，与重要的人飞过地球的每一个角落。	Assets/Product/Texture/Image/IconTools/ItCharBirthday01.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday01Sp.png	5	100000
24000002	1	机车备用钥匙	α的启动日来信附件	一个被妥善保存，看起来有些年代的机车备用钥匙，能看出原主人对它的珍爱。这是仿佛一个无声的邀请，她会尊重你的意愿，等待你一同踏上旅程。	Assets/Product/Texture/Image/IconTools/ItCharBirthday02.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday02Sp.png	5	99999
24000003	1	转轮手枪	里的启动日来信附件	精巧至极的转轮手枪，来自里的回礼。 用机体维护时换下的核心零件改装而成，拥有着和小巧的外观不甚相符的高爆发力与射程——似乎是一早就准备好的礼物，现在终于找到了合理的机会送了出去。 温热的钢铁之心，将在你的掌心继续转动。	Assets/Product/Texture/Image/IconTools/ItCharBirthday03.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday03Sp.png	5	99998
24000004	1	邀请函与钥匙	库洛姆的启动日来信附件	家庭晚宴的邀请函与史密斯旧居的钥匙串，其中包括了三种不同的钥匙卡。 规整的长条形钥匙卡可以打开居住区庭院的近路侧门； 改装为小队标识挂件的钥匙卡可以打开史密斯家前厅的正门， 而那枚战车棋子中包裹钥匙卡芯片，则可以打开库洛姆的卧室门。 留在哪里都可以，使用哪把钥匙都可以，无需任何顾虑，这是他最完整的信任。	Assets/Product/Texture/Image/IconTools/ItCharBirthday04.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday04Sp.png	5	99997
24000005	1	心景星空	诺安的启动日来信附件	以前送给诺安的笔记本，像是为了证明某种决心一般，填满了各种黑白素描。 除了他曾提起过的向日葵，还有图书馆空置的角落，凝结着水珠的杯子和各种琐碎的日常记录。 那片曾被他丢弃的星空，如今已拥有了色彩，静静地留在笔记本的最后一页。	Assets/Product/Texture/Image/IconTools/ItCharBirthday05.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday05Sp.png	5	99996
24000006	1	通讯附件照片_0810	丽芙的启动日来信附件	家政机器人所拍摄的丽芙休息室的照片， 桌角上摆放着尚未绽放，朴素且健康的昙花，最醒目的地方还挂着便签纸卡。 上面写满了要补充的物资，今天想制作点心，指挥官爱吃的东西，需要的衣物和日常用品等等……其中唯独没有自己需要的物品。 看上去，是在做这些准备的途中不小心把备忘用的照片发了过来。	Assets/Product/Texture/Image/IconTools/ItCharBirthday06.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday06Sp.png	5	99995
24000007	1	蒲牢糖糖	蒲牢的启动日来信附件	蒲牢根据失传手艺制作的糖人，据说用来制作糖人的糖浆中还添加了各种有益健康的中药材和其他神秘材料，咬一咬醒脑提神，舔一舔元气万分。蒲牢原本打算将这个作为商品出售，但是可能因为用料太足，这个糖人无论舔多久都不会融化……但也正因为这样，它也能一直陪伴在指挥官的身边不是吗。	Assets/Product/Texture/Image/IconTools/ItCharBirthday07.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday07Sp.png	5	99994
24000008	1	千万年的盛放	赛琳娜的启动日来信附件	在没有尽头的旅途中，少女拾起了一颗宝石。花朵封存在幽蓝色的琥珀之中，跨越了千万年的光阴，在凝固的时间里，迎来了永远不会凋零的绽放。	Assets/Product/Texture/Image/IconTools/ItCharBirthday08.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday08Sp.png	5	99993
24000009	1	“沙沙哒哒”	苏菲亚的启动日来信附件	苏菲亚送来的阿迪莱特产乐器，晃起来会有非常悦耳的沙沙声，配合打在一起的脆响非常适合用来给音乐和舞蹈打节奏。 她曾经没有想过自己会有在舞池中翩翩起舞的一天，摆动身体对她来说并没有摆弄机械那样轻松。但在不知不觉间，她已经乐在其中。 那时，她记忆中最深的，就是同伴用这对沙锤打出的节奏声。 近期她已经没有再起舞的机会，她希望把这美妙的乐器暂存在你这里。她期待着这对沙锤能有一日再次与舞蹈相伴。	Assets/Product/Texture/Image/IconTools/ItCharBirthday09.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday09Sp.png	5	99992
24000010	1	剑与勇士	神威的启动日来信附件	黄金时代盛行的RPG游戏中勇者最常用那一把的武器，但这款周边模型在很久之前就停产了，大约是神威自己珍藏的东西。 剑身雕刻着一行文字：All in war with time。 他把自己的热爱，勇气和信仰同这把剑一起，毫无保留的交付到了你的手心。	Assets/Product/Texture/Image/IconTools/ItCharBirthday10.png	Assets/Product/Texture/Image/IconToolsSp/ItCharBirthday10Sp.png	5	99991
