Id	Name	Model	ScriptId	InteractEffectNames	DeathEffectNames	UseDistanceDither	DefaultActionId	DyingTime	StreamingLoadRange	AnimationControllerName	PrefabName
1	通用空物件	Assets/Product/Scene/DlcSceneObjectPrefab/SoGeneralEmpty.prefab				True					
2	Ready触发器	Assets/Product/Scene/DlcSceneObjectPrefab/ReadyTrigger.prefab				True					
3	通用带碰撞的空物件	Assets/Product/Scene/DlcSceneObjectPrefab/SoGeneralEmptyWithCollider.prefab				True					
7	电梯_测	Assets/Product/Scene/DlcSceneObjectPrefab/Elevator0.prefab	1			True					
8	猎矛钩点_测	Assets/Product/Scene/DlcSceneObjectPrefab/SpearPoint0.prefab				True					
9	循环移动平台_测	Assets/Product/Scene/DlcSceneObjectPrefab/Elevator0.prefab	3			True					
10	攻击触发的开关_测	Assets/Product/Scene/DlcSceneObjectPrefab/SpearPoint0.prefab				True					
12	细塔_崩岳Boss关	Assets/Product/Scene/DlcSceneObjectPrefab/SceneHunt/SHunt02_Zhuzi02Ani.prefab	5			True					
13	粗塔_崩岳Boss关	Assets/Product/Scene/DlcSceneObjectPrefab/SceneHunt/SHunt02_Zhuzi01Ani.prefab	5			True					
14	悬浮平台_崩岳Boss关	Assets/Product/Scene/DlcSceneObjectPrefab/SceneHunt/SHunt02_Platform.prefab	5			True					
15	平面踏板	Assets/Product/Scene/DlcSceneObjectPrefab/SceneHunt/SHunt02_03Shengjiangtai.prefab				True					
16	细塔_测	Assets/Product/Scene/DlcSceneObjectPrefab/ThinTower.prefab	5			True					
17	粗塔_测	Assets/Product/Scene/DlcSceneObjectPrefab/ThickTower.prefab	5			True					
18	悬浮平台（功能同塔）_测	Assets/Product/Scene/DlcSceneObjectPrefab/Elevator0.prefab	5			True					
20	通用空物件	Assets/Product/Scene/DlcSceneObjectPrefab/SoGeneralEmpty.prefab				True					
21	虚拟相机代理	Assets/Product/Scene/DlcSceneObjectPrefab/SoGeneralEmpty.prefab	6			True					
22	塔型开关	Assets/Product/Scene/DlcSceneObjectPrefab/SceneHunt/SHunt02_04Switch03.prefab	7			True					
23	凸猎矛勾点	Assets/Product/Scene/DlcSceneObjectPrefab/SceneHunt/SHunt02_01Maodian.prefab	8			True					
24	平猎矛勾点	Assets/Product/Scene/DlcSceneObjectPrefab/SceneHunt/SHunt02_02Maodian.prefab	8			True					
8000	8000关用的测试轨道_测	Assets/Product/Camera/DLCDollyTrack/DollyTrack2.prefab				True					
8001	环形诡道	Assets/Product/Camera/DLCDollyTrack/DollyTrack1.prefab				True					
25	沙滩床	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_11Tanyi_Character.prefab				True					
26	遮阳伞（收起版）	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_02San02_Character.prefab				True					
27	泳圈	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_14Youyonquan_Character.prefab				True					
28	常规椅子	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_11yizi_Character.prefab				True					
29	船只	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_03Kuaiting_Character.prefab				True					
30	石头	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_19Shitou02_Character.prefab				True					
31	音响	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_07Wutai01_Character.prefab				True					
32	气球	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_10Qiqiu01_Character.prefab				True					
33	烧烤架	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_14Saokaojia_Character.prefab				True					
34	玩具球	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_36Shuiqiu01_Character.prefab				True					
35	沙雕的城堡	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_18Shadiao01_Character.prefab				True					
36	小黄鸭	Assets/Product/Scene/GamePlay/DirectFile/Prefab/DlcSystem_HideAndSeek/Prefabs/HideAndSeek01_13Qiushenquan_Character.prefab				True					
