Id	Name	ComboTypeId	IconPath	ConditionDescription	Condition	DefaultTeamId
101	进攻型	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo16.png	进攻型羁绊	4	
102	装甲型	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo17.png	装甲型羁绊	4	
103	辅助型	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo18.png	辅助型羁绊	4	
104	增幅型	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo21.png	增幅型羁绊	4	
301	灰鸦-初	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo01.png	灰鸦-初羁绊	4	
302	灰鸦-中	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo02.png	灰鸦-中羁绊	4	
303	灰鸦-后	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo03.png	灰鸦-高羁绊	4	
304	突击鹰	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo04.png	突击鹰小队羁绊	4	
305	工程部队	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo05.png	工程部队羁绊	4	
306	遗忘者	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo06.png	遗忘者羁绊	4	
307	清理部队	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo07.png	清理部队羁绊	4	
308	“七实型”	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo08.png	“七实型”羁绊	4	
309	阿迪莱商业联盟	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo09.png	阿迪莱商业联盟羁绊	4	
310	艺术协会	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo20.png	艺术协会羁绊	4	
311	三头犬	1	Assets/Product/Texture/Image/UiFight/FightExpeditionskill11.png	三头犬小队羁绊	4	
400	重创	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill08.png	主动技能-重创	4	1
401	崩解	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill02.png	被动技能-崩解	4	2
402	结系	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill01.png	主动技能-结系	4	5
403	荆棘	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill09.png	即时技能-荆棘	4	3
404	机巧	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill04.png	即时技能-机巧	4	4
