Id	ChapterId	StageId	StageDes	PreStageType	PreStageIds	OrderId	TierId	StageType	Difficulty	PassDrawTimesReward	DrawTimesReward	BossStageCover	RecommentStar	WarningStarCap	DangerStarCap	StageWords	StagePrefab
1	1	30210352	休憩点					2			5		1	1	1		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
2	1	30210356	缓冲带	1	[30210352]			2			5		5	1	3		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
3	1	30210357	缓冲带	1	[30210352]			2			5		5	1	3		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
4	1	30210358	缓冲带	1	[30210352]			2			5		5	1	3		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
5	1	30210359	缓冲带	1	[30210356]			2			5		7	3	5		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
6	1	30210360	缓冲带	1	[30210357]			2			5		7	3	5		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
7	1	30210365	警戒区	1	[30210358]			2			5		12	8	10		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
8	1	30210366	警戒区	1	[30210359]			2			5		12	8	10		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
9	1	30210361	缓冲带	1	[30210360]			2			5		8	5	7		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
10	1	30210367	警戒区	1	[30210365]			2			5		12	8	10		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
11	1	30210378	临界点	1	[30210366]			2			7	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss07.png	15	12	14		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
12	1	30210368	警戒区	1	[30210361]			2			5		12	8	10		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
13	1	30210379	临界点	1	[30210367]			2			7	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss02.png	15	12	14		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
14	1	30210353	休憩点	2	[30210378, 30210368, 30210379]			2			5		1	1	1		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
15	1	30210369	警戒区	1	[30210353]			2			5		16	12	14		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
16	1	30210380	临界点	1	[30210353]			2			7	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss04.png	18	14	16		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
17	1	30210370	警戒区	2	[30210369, 30210380]			2			5		16	12	14		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
18	1	30210384	募集所	1	[30210370]			4		4	5		10	6	8		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage07.prefab
19	1	30210385	试炼场	1	[30210370]			3					18	14	16		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage06.prefab
20	2	30210354	休憩点	1	[30210370]			2			5		1	1	1		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
21	2	30210362	缓冲带	1	[30210354]			2			5		20	16	18		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
22	2	30210363	缓冲带	1	[30210354]			2			5		20	16	18		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
23	2	30210371	警戒区	1	[30210354]			2			5		22	18	20		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
24	2	30210372	警戒区	1	[30210362]			2			5		22	18	20		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
25	2	30210364	缓冲带	1	[30210363]			2			5		22	18	20		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
26	2	30210373	警戒区	1	[30210371]			2			5		22	18	20		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
27	2	30210381	临界点	1	[30210372]			2			7	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss08.png	27	20	24		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
28	2	30210374	警戒区	1	[30210364]			2			5		24	20	22		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
29	2	30210355	休憩点	1	[30210373]			2			5		1	1	1		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
30	2	30210375	警戒区	2	[30210381, 30210374]			2			5		27	20	24		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
31	2	30210376	警戒区	2	[30210374, 30210355]			2			5		27	20	24		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
32	2	30210377	警戒区	1	[30210376]			2			5		27	20	24		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
33	2	30210383	未知区域	1	[30210355]			2			5	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss06.png	27	20	24		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
34	2	30210382	临界点	1	[30210375]			2			7	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss05.png	27	20	24		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
35	2	30210386	试炼场	2	[30210382, 30210377, 30210383]			3					27	20	24		Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage06.prefab
