FashionId	ResId	AutoDownload	NotShow
6000104	4061		
6000105	4062		
6000106	4063		
6000204	4064		
6000205	4065		
6000304	4072		
6000305	4073		
6000404	4097		
6000406	4098		
6000504	4074		
6000505	4075		
6000506	4076		
6000604	4077		
6000605	4078		
6000704	4099		
6000705	4100		
6000804	4079		
6000805	4080		
6000806	4081		
6000902	4082	1	1
6001002	4083	1	1
6001102	4084	1	1
6001204	4085		
6001205	4086		
6001304	4101		
6001305	4102		
6001404	4066		
6001405	4067		
6001406	4068		
6001504	4087		
6001505	4088		
6001506	4089		
6001604	4090		
6001605	4091		
6001606	4092		
6001607	4093		
6001704	4103		
6001705	4104		
6001804	4094		
6001805	4095		
6001904	4105		
6001905	4106		
6001906	4107		
6002004	4108		
6002005	4109		
6002104	4110		
6002204	4111		
6002304	4112		
6002305	4113		
6002306	4114		
6002307	4155		
6002404	4115		
6002405	4116		
6002504	4117		
6002505	4118		
6002506	4119		
6002604	4120		
6002605	4121		
6002606	4162		
6002704	4122		
6002705	4123		
6002804	4124		
6002805	4125		
6002806	4126		
6002904	4127		
6002905	4128		
6002906	4129		
6002907	4130		
6002908	4171		
6002909	4188		
6003004	4131		
6003005	4132		
6003104	4133		
6003105	4134		
6003106	4135		
6003204	4136		
6003205	4137		
6003304	4138		
6003305	4139		
6003306	4175		
6003404	4140		
6003405	4141		
6003406	4161		
6003502	4142		
6003604	4143		
6003605	4157		
6003704	4144		
6003705	4164		
6003706	4181		
6003804	4145		
6003805	4152		
6003806	4168		
6003904	4146		
6003905	4151		
6003906	4160		
6003907	4187		
6004004	4147		
6004005	4158		
6004104	4148		
6004105	4149		
6004106	4167		
6004204	4150		
6004205	4182		
6004304	4153		
6004305	4165		
6004306	4178		
6004404	4154		
6004504	4156		
6004505	4173		
6004506	4192		
6004604	4159		
6004605	4174		
6004606	4186		
6004704	4163		
6004705	4170		
6004706	4184		
6004804	4166		
6004805	4177		
6004904	4169		
6004905	4179		
6005004	4172		
6005005	4195		
6005304	4176		
6005305	4191		
6005404	4180		
6005405	4193		
6005504	4183		
6005505	4199		
6005604	4185		
6005605	4198		
6005704	4189		
6005804	4190		
6005904	4194		
6006004	4196		
6006104	4197		
6110104	4000		
6110105	4001		
6110304	4033		
6110305	4034		
6110306	4035		
6110307	4036		
6210104	4002		
6210105	4003		
6210106	4004		
6210204	4022		
6210205	4023		
6210206	4024		
6210304	4047		
6210305	4048		
6210306	4049		
6210307	4050		
6210404	4069		
6210405	4070		
6210406	4071		
6310104	4005		
6310105	4006		
6310106	4007		
6310107	4008		
6310108	4009		
6310109	4010		
6310204	4019		
6310205	4020		
6310206	4021		
6310304	4025		
6310305	4026		
6310306	4027		
6310307	4028		
6410104	4011		
6410105	4012		
6410304	4057		
6410305	4058		
6410306	4059		
6410307	4060		
6510104	4013		
6510304	4043		
6510305	4044		
6510306	4045		
6510307	4046		
6610104	4014		
6610105	4015		
6610304	4029		
6610305	4030		
6610306	4031		
6610307	4032		
6710104	4016		
6710105	4017		
6710304	4037		
6710305	4038		
6710306	4039		
6710307	4040		
6710308	4041		
6710309	4042		
6810104	4018		
6810304	4051		
6810305	4052		
6810306	4053		
6903201	4096		
6910104	4054		
6910105	4055		
6910106	4056		
