Id	RootId	PatchConfigIds	EntryType	EntryParam	Title	Desc	ImgBanner
100					主线剧情	下载后可游玩该主线剧情完整内容	
104	100	[104]	1	1004	04 遗忘黄沙		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS4.png
105	100	[105]	1	1005	05 破碎幻影		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS5.png
106	100	[106]	1	1006	06 合金浸染		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS6.png
107	100	[107]	1	1007	07 逆元坍塌		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS7.png
108	100	[108]	1	1008	08 噬暗		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS8.png
109	100	[109]	1	1009	09 黑星坠落		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS9.png
110	100	[110]	1	1010	10 永久列车		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS10.png
111	100	[111]	1	1011	11 九龙夜航		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS11.png
112	100	[112]	1	1012	12 九龙环城		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS12.png
113	100	[113]	1	1013	13 终焉福音		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS13.png
114	100	[114]	1	1014	14 视线囚笼		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS14.png
115	100	[115]	1	1015	15 绝海星火		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS15.png
116	100	[116]	1	1016	16 永夜胎动		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS16.png
117	100	[117]	1	1017	17 湮灭残昼		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS17.png
118	100	[118]	1	1018	18 曙星致意		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS18.png
119	100	[119]	1	1019	19 空晓界限		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS19.png
120	100	[120]	1	1020	20 烬海异途		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS20.png
121	100	[121]	1	1021	21 刻命螺旋		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS21.png
122	100	[122]	1	1022	22 创绘映想		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS22.png
123	100	[123]	1	1023	23 凛桎鸣渊		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS23.png
124	100	[124]	1	1024	24 萦森歧路		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS24.png
125	100	[125]	1	1025	25 爝火长明		Assets/Product/Texture/Image/UiDownLoadMain/MainDownLoadTitleS25.png
200					支线剧情	下载后可游玩该支线剧情完整内容	
201	200	[201]	2	2000	ER00 游云鲸梦		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
202	200	[202]	2	2001	ER01 遥岸方舟		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
203	200	[203]	2	2002	ER02 枯朽为灯		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
204	200	[204]	2	2003	ER03 未语庭言		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
205	200	[205]	2	2004	ER04 浮英枕梦行		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
206	200	[206]	2	2005	ER05 怒逐沉沙		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
301	200	[301]	6	2000	EX00 极地暗流		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
302	200	[302]	6	2001	EX01 湛蓝曙日		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
303	200	[303]	6	2002	EX02 重返极夜		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
304	200	[304]	6	2003	EX03 古铭遗章		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
305	200	[305]	6	2004	EX04 咏叹回声		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
306	200	[306]	6	2005	EX05 迷境刻痕		Assets/Product/Texture/Image/UiDownLoadMain/SubDownLoadTitle.png
300					挑战	下载后可游玩该挑战玩法完整内容	
708	300	[708]	7	60	宣叙妄想		Assets/Product/Texture/Image/UiDownLoadMain/ChallengeDownLoadTitle.png
709	300	[709]	7	81	厄愿潮声		Assets/Product/Texture/Image/UiDownLoadMain/ChallengeDownLoadTitle.png
710	300	[710]	7	71	据点		Assets/Product/Texture/Image/UiDownLoadMain/ChallengeDownLoadTitle.png
712	300	[712]	7	11	黄金之涡		Assets/Product/Texture/Image/UiDownLoadMain/ChallengeDownLoadTitle.png
713	300	[713]	7	28	端域公约		Assets/Product/Texture/Image/UiDownLoadMain/ChallengeDownLoadTitle.png
716	300	[716]	7	91	历战映射		Assets/Product/Texture/Image/UiDownLoadMain/ChallengeDownLoadTitle.png
400					其他	下载后可获取对应游戏资源	
401	400	[901, 902]	9		语言包		Assets/Product/Texture/Image/UiDownLoadMain/OthersDownLoadTitle.png
402	400	[903, 904]	8		图鉴资源		Assets/Product/Texture/Image/UiDownLoadMain/OthersDownLoadTitle.png
