Id	NpcAnim	NpcAnimLayer	ActionIndex
1	Born		1
2	Stand2		2
3	Stand1		3
4	Attack01		4
5	Attack02		5
6	Attack03		6
7	Attack04		7
8	Attack05		8
9	Attack06		9
10	Attack07		10
11	Attack08		11
12	Attack09		12
13	Attack21		13
14	Attack22		14
15	Attack41		15
16	Attack42		16
17	Attack43		17
18	Attack45		18
19	Attack46		19
20	Attack51		20
21	Attack52		21
22	Attack65		22
23	Attack83		23
24	Attack84		24
25	Attack90		25
26	Attack99		26
27	Attack100		27
28	Attack101		28
29	Attack102		29
30	Attack201		30
31	Attack221		31
32	Attack231		32
33	Attack241		33
34	Attack501		34
35	Attack211		35
36	Attack212		36
37	FullChain01		37
38	FullChain02		38
39	Hit1	1	39
40	Hit2	1	40
41	Hit3	1	41
42	Hit4	1	42
43	Hoverhit	1	43
44	Falldown	1	44
45	Hitdown	1	45
46	Lieonfloor	1	46
47	Standup	1	47
48	RunStart	1	48
49	RunStartEnd01	1	49
50	Run	1	50
51	Stop	1	51
52	SprintStart	1	52
53	SprintStartEnd01	1	53
54	SprintStop	1	54
55	Stand2	1	55
56	Death	1	56
57	Stun	1	57
58	Attack11	1	58
59	Attack12	1	59
60	Attack13	1	60
61	Attack14	1	61
62	Attack31	1	62
63	Attack32	1	63
64	Attack51	1	64
65	Attack52	1	65
66	Attack61	1	66
67	Attack62	1	67
68	Attack63	1	68
69	Attack64	1	69
70	Attack65	1	70
71	Attack66	1	71
72	Attack67	1	72
73	Attack68	1	73
74	Attack71	1	74
75	Attack72	1	75
76	Attack73	1	76
77	Attack74	1	77
78	Attack75	1	78
79	Attack76	1	79
80	Attack77	1	80
81	Attack78	1	81
82	Attack79	1	82
83	Attack83	1	83
84	Attack84	1	84
85	Attack85	1	85
86	Attack86	1	86
87	Attack87	1	87
88	Attack88	1	88
89	Attack90	1	89
90	Attack92	1	90
91	Attack93	1	91
92	Attack94	1	92
93	Attack95	1	93
94	Attack96	1	94
95	Attack97	1	95
96	Attack98	1	96
97	Attack99	1	97
98	Attack100	1	98
99	Attack111	1	99
100	Attack112	1	100
101	Attack202	1	101
102	Attack222	1	102
103	Attack232	1	103
104	Attack242	1	104
105	Attack502	1	105
106	Attack211	1	106
107	Attack212	1	107
108	FullChain01	1	108
109	FullChain02	1	109
110	Move1	1	110
111	Move2	1	111
112	Attack12RM		112
113	FullChain03		113
114	Attack42RM		114
115	Attack62RM	1	115
