Id	NpcAnim	NpcAnimLayer	ActionIndex
1	Attack01		1
2	Attack02		2
3	Attack03		3
4	Attack04		4
5	Attack05		5
6	Attack06		6
7	Attack07		7
8	Attack11		8
9	Attack31		9
10	Attack41		10
11	Move1		11
12	Move2		12
13	Stand1		13
14	Stand2		14
15	Standchange		15
16	Attack21		16
17	Attack22		17
18	Attack34		18
19	Attack42		19
20	Attack46		20
21	Attack47		21
22	Attack48		22
23	Attack49		23
24	Attack51		24
25	Attack52		25
26	Attack61		26
27	Attack62		27
28	Attack63		28
29	Attack64		29
30	Attack65		30
31	Attack66		31
32	Attack67		32
33	Attack71		33
34	Attack72		34
35	Attack73		35
36	Attack74		36
37	Attack75		37
38	Attack80		38
39	Attack81		39
40	Attack82		40
41	Attack83		41
42	Attack84		42
43	Attack91		43
44	Attack92		44
45	Attack93		45
46	Attack104		46
47	Attack121		47
48	Attack122		48
49	Attack142		49
50	Attack147		50
51	Attack148		51
52	Attack149		52
53	Attack161		53
54	Attack162		54
55	Attack163		55
56	Attack164		56
57	Attack166		57
58	Win		58
