Id	EffectType	EffectParamStr	DrawGroupIds	FreeNum	Name	Description	WorldDescription	Icon	BigIcon	Quality
21000001	2	1	[11, 15]	1	夏迹研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000002	2	1	[4]	1	夏迹研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000003	2	1	[1]	1	夏迹研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000004	2	1	[12, 13]	1	夏迹研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000005	2	1	[11, 15]	1	夏迹研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000006	2	1	[4]	1	夏迹研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000007	2	1	[1]	1	夏迹研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000008	2	1	[12, 13]	1	夏迹研发券	用于降临狙击角色/命运降临狙击角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000009	2	1	[4]	1	夏迹研发券	用于狙击武器的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000010	2	1	[1]	1	夏迹研发券	用于基准角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
21000011	2	1	[11, 15]	1	夏迹研发券	用于主题活动角色/命运主题活动角色的免费研发	统一配发的特殊研发券，可以用在研发设备的使用上。	Assets/Product/Texture/Image/IconToolsSp/IconConsumeTicF3Sp.png	Assets/Product/Texture/Image/IconTools/IconConsumeTicF3.png	5
