ChapterId	OrderId	Difficult	ChapterEn	PrefabName	ExStageId	TaskGroupId	StageId	TreasureId	ChapterName	Bg	Icon	ActivityCondition	ExploreGroupId	OpenCondition	ParallelAnimeGroupId	MoveStageIndex	DatumLinePrecent	ChapterTextColor	LeftTimeTextColor	StarProgressTextColor	IsBtnMissionWhite	SkipId	SkipCondition	SkipIcon
1000		1	序章	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor00.prefab	10010005		[10010001, 10010002, 10010003]	[1000002, 1000003, 1000004]	序章	UiFubenMainMapTab.ChapterBg01A														
1001	1	1	涂鸦艺术	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor01.prefab		1	[10010101, 10010102, 10010103, 10010104, 10010201, 10010202, 10010203, 10010204, 10010301, 10010302, 10010303, 10010304]	[1001002, 1001003, 1001004]	第一章	UiFubenMainMapTab.ChapterBg01A														
1002	2	1	苦刑之旅	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor02.prefab		2	[10020101, 10020102, 10020103, 10020104, 10020201, 10020202, 10020203, 10020204, 10020301, 10020302, 10020303, 10020304]	[1002002, 1002003, 1002004]	第二章	UiFubenMainMapTab.ChapterBg02A				770400										
1003	3	1	终末展览	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor03.prefab		4	[10030101, 10030102, 10030103, 10030104, 10030201, 10030202, 10030203, 10030204, 10030301, 10030302, 10030303, 10030304]	[1003002, 1003003, 1003004]	第三章	UiFubenMainMapTab.ChapterBg03A				770400										
1004	4	1	遗忘黄沙	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor04.prefab		6	[10040101, 10040102, 10040103, 10040104, 10040201, 10040202, 10040203, 10040204, 10040301, 10040302, 10040303, 10040304]	[1004002, 1004003, 1004004]	第四章	UiFubenMainMapTab.ChapterBg04A				770400										
1005	5	1	破碎幻影	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor05.prefab		8	[10050101, 10050102, 10050103, 10050104, 10050201, 10050202, 10050203, 10050204, 10050301, 10050302, 10050303, 10050304]	[1005002, 1005003, 1005004]	第五章	UiFubenMainMapTab.ChapterBg05A				770400										
1006	6	1	合金浸染	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor06.prefab		10	[10060101, 10060102, 10060103, 10060104, 10060201, 10060202, 10060203, 10060204, 10060301, 10060302, 10060303, 10060304]	[1006002, 1006003, 1006004]	第六章	UiFubenMainMapTab.ChapterBg06A				770400										
1007	7	1	逆元坍塌	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor07.prefab		12	[10070101, 10070102, 10070103, 10070104, 10070201, 10070202, 10070203, 10070204, 10070301, 10070302, 10070303, 10070304]	[1007002, 1007003, 1007004]	第七章	UiFubenMainMapTab.ChapterBg07A				770400										
1008	8	1	噬暗	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor08.prefab		14	[10080101, 10080102, 10080103, 10080104, 10080201, 10080202, 10080203, 10080204, 10080301, 10080302, 10080303, 10080304]	[1008002, 1008003, 1008004]	第八章	UiFubenMainMapTab.ChapterBg08A				770400										
1009	9	1	黑星坠落	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor09.prefab		17	[10090101, 10090102, 10090103, 10090104, 10090201, 10090202, 10090203, 10090204, 10090301, 10090302, 10090303, 10090304, 10090401]	[1009002, 1009003, 1009004]	第九章	UiFubenMainMapTab.ChapterBg09A				770400										
