Id	ChapterName	ChapterEn	Icon	OrderId	Difficult	BfrtId	ChapterId	ZhouMuId	SubChapter	GroupId	ShowCondition
1000	序章	序章	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic00.png				[1000, 0, 1200]			1	
1001	第一章	涂鸦艺术	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic01.png	1		1001	[1001, 1101]			1	
1002	第二章	苦刑之旅	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic02.png	2		1002	[1002, 1102, 1202]			1	770400
1003	第三章	终末展览	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic03.png	3		1003	[1003, 1103]			1	770400
1004	第四章	遗忘黄沙	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic04.png	4		1004	[1004, 1104]			2	770400
1005	第五章	破碎幻影	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic05.png	5		1005	[1005, 1105, 1205]			2	770400
1006	第六章	合金浸染	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic06.png	6		1006	[1006, 1106]			2	770400
1007	第七章	逆元坍塌	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic07.png	7		1007	[1007, 1107]			2	770400
1008	第八章	噬暗	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic08.png	8		1008	[1008, 1108, 1208]			2	770400
1009	第九章	黑星坠落	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic09.png	9		1009	[1009, 1109]			3	770400
1010	第十章	永久列车	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic10.png	10		1010	[1010, 1110]			3	770400
1011	第十一章	九龙夜航	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic11.png	11		1011	[1011, 1111]			3	770400
1012	第十二章	九龙环城	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic12.png	12		1012	[1012, 1112]			3	770400
1013	第十三章	终焉福音	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic13.png	13		1013	[1013]			3	770400
1014	第十四章	视线囚笼	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic14.png	14		1014	[1014, 1114]			4	770400
1015	第十五章	绝海星火	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic15.png	15		1015	[1015, 1115]			4	770400
1016	第十六章	永夜胎动	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic16.png	16			[1016, 1116]			4	770400
1017	第十七章	湮灭残昼	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic17.png	17			[1017]		[1017, 1117, 1217]	4	770400
1018	第十八章	曙星致意	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic18.png	18			[1018]			5	770400
1019	第十九章	空晓界限	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic19.png	19			[1019]			5	770400
1020	第二十章	烬海异途	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic20.png	20			[1020]			5	770400
1021	第二十一章	刻命螺旋	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic21.png	21			[1021]			5	770400
1022	第二十二章	创绘映想	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic22.png	22			[1022]			6	770400
1023	第二十三章	凛桎鸣渊	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic23.png	23			[1023]			6	770400
1024	第二十四章	萦森歧路	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic24.png	24			[1024]			6	770400
1025	第二十五章	爝火长明	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic25.png	25			[1025]			6	770400
1026	第二十六章	摇篮游行	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic26.png	26			[1026]			6	770400
1027	第二十七章	碑火铸脊	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic27.png	27			[1027]			6	770400
1028	第二十八章	络勾陈	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic28.png	28			[1028]			6	770400
1029	第二十九章	源解信标	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic29.png	29			[1029]			7	770400
