TalentId	CharacterId	LayerId	TalentType	ConsumeCount	AttribPoolGroupId	SkillIds	SkillLevels	EventIds	Name	Description	SpecialAbility	Icon
101	1041003	1	1	1				[110701]	疾电	只需消除任意蓝球即可进入核心状态	200	Assets/Product/Texture/Image/IconSkill/R3biankahexin1.png
102	1041003	2	1	1				[110142]	海森	攻击+3%，雷属性伤害+7%；攻击时有25%概率引发雷暴使敌人感电降低8%雷属性抗性，持续5秒，且攻击感电敌人有20%概率造成250%雷属性伤害	200	Assets/Product/Texture/Image/IconSkill/R2NuoanA1.png
103	1041003	2	1	1				[110117]	达尔文	每消1个球额外伤害加成提升3%，持续4秒，最多叠5层；消除某一颜色信号球时标记，3种颜色信号球都被标记后，释放一次600%的物理伤害的冲击波，并刷新标记	200	Assets/Product/Texture/Image/IconSkill/DlcFightXiaoqiu.png
104	1041003	2	1	1				[110128]	康德丽娜	普攻伤害增加15%，普攻有25%概率进入暴怒状态，普通攻击的额外伤害加成提升15%，暴击率提升5%，持续5秒	200	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png
105	1041003	3	1	1				[110702]	强弩	每次核心状态只能发动一次攻击，但攻击伤害+200%	200	Assets/Product/Texture/Image/IconSkill/R3biankaS1.png
106	1041003	3	1	1				[110703]	闪电充能	角色出场后获取信号球时，不再获得红球：获得红球时，替换为等量蓝球	200	Assets/Product/Texture/Image/IconSkill/R3biankalan1.png
107	1041003	4	1	1				[110704]	齐发	升级“强弩”效果：狙击状态下的攻击额外射出2根箭矢，每一根箭矢独立计算伤害	200	Assets/Product/Texture/Image/IconSkill/R3DubianExlanqiu1.png
108	1041003	4	1	1				[110705]	骤雨	普攻回球效率+100%	200	Assets/Product/Texture/Image/IconSkill/R3biankaSS1.png
109	1041003	5	1	1				[110706]	灭尽	消除蓝球时：聚拢大范围内的所有怪物至角色正面，并降下雷击，对所有敌人造成20%最大生命值伤害；如果目标是boss级敌人，改为10%当前生命值伤害；冷却时间30秒	200	Assets/Product/Texture/Image/IconSkill/R3biankalan1.png
110	1041003	6	1	1				[110475]	信号增幅	每消除一个信号球，攻击力+5%，最多+100%，持续时间无限；且额外伤害减免永久+50%	200	Assets/Product/Texture/Image/IconSkill/R2QuS1.png
