Id	ActivityId	StageId	TagId	OrderId	OrderName	Difficulty	StageBuffDesc	MonsterId	RecommendLevel	NpcAffixId	IsShowScore
1	1	30162001	1	1	壹	1	敌人受装甲型泛用机体伤害增加。	[1]	1	[760001, 760041, 760041]	
2	1	30162002	1	2	贰	1	敌人受装甲型泛用机体伤害增加。	[1]	1	[780650]	
3	1	30162003	1	3	叁	1	敌人受装甲型泛用机体伤害增加。	[1]	1	[780650, 780670]	
4	1	30162004	1	4	肆	1	敌人受装甲型泛用机体伤害增加。	[1]	1	[760001, 760041]	
5	1	30162005	1	5	伍	2	装甲型额外大幅削减敌人霸体值，敌人无霸体值时受伤增加。	[10]	2	[780650]	
6	1	30162006	1	6	陆	1	敌人具有较高的攻击力。	[3, 4, 4]	2	[760001, 760041, 760041]	
7	1	30162007	1	7	柒	1	敌人具有较高的攻击力。	[3, 4, 4]	2	[780650]	
8	1	30162008	1	8	捌	1	敌人具有较高的攻击力。	[3, 4, 4]	2	[780650, 780670]	
9	1	30162009	1	9	玖	1	敌人具有较高的攻击力。	[3, 4, 4]	2	[760001, 760041]	
10	1	30162010	1	10	拾	2	敌人具有较高的攻击力。	[5, 5, 5]	3	[780650]	
11	1	30162011	1	11	拾壹	1	敌人的数量增多。	[6, 6, 6]	3	[760001, 760041, 760041]	
12	1	30162012	1	12	拾贰	1	敌人的数量增多。	[6, 6, 6]	3	[780650]	
13	1	30162013	1	13	拾叁	1	敌人的数量增多。	[6, 6, 6]	3	[780650, 780670]	
14	1	30162014	1	14	拾肆	1	敌人的数量增多。	[6, 6, 6]	3	[760001, 760041]	
15	1	30162015	1	15	拾伍	2	本关需要在限时内击杀场上的所有怪物或保护装置不被破坏。	[3, 29, 6]	3	[780650]	
16	1	30162016	1	16	拾陆	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	4	[760001, 760041, 760041]	
17	1	30162017	1	17	拾柒	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	4	[780650]	
18	1	30162018	1	18	拾捌	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	4	[780650, 780670]	
19	1	30162019	1	19	拾玖	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	4	[760001, 760041]	
20	1	30162020	1	20	贰拾	2	自身血量维持在80%以上，会有大幅度增伤。	[9]	4	[780650]	
21	1	30162021	1	21	贰拾壹	1	敌人的数量增多。	[6, 6, 6]	4	[760001, 760041, 760041]	
22	1	30162022	1	22	贰拾贰	1	敌人具有较高的攻击力。	[3, 4, 4]	4	[780650]	
23	1	30162023	1	23	贰拾叁	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	5	[780650, 780670]	
24	1	30162024	1	24	贰拾肆	1	敌人受装甲型泛用机体伤害增加。	[1]	5	[760001, 760041]	
25	1	30162025	1	25	贰拾伍	2	装甲型额外大幅削减敌人霸体值，敌人无霸体值时受伤增加。	[2]	5	[780650]	
26	1	30162026	1	26	贰拾陆	1	敌人具有较高的攻击力。	[11]	5	[760001, 760041, 760041]	
27	1	30162027	1	27	贰拾柒	1	敌人受装甲型泛用机体伤害增加。	[10]	5	[780650]	
28	1	30162028	1	28	贰拾捌	1	构造体在敌人周围会持续掉血。	[13, 24, 24]	5	[780650, 780670]	
29	1	30162029	1	29	贰拾玖	1	敌人的数量增多。	[17, 16, 15]	5	[760001, 760041]	
30	1	30162030	1	30	叁拾	2	60s内对敌人造成30w伤害即可过关。	[18]	5	[780650]	
31	1	30162031	1	31	叁拾壹	1	敌人具有较高的攻击力。	[19, 20, 20]	5	[760001, 760041, 760041]	
32	1	30162032	1	32	叁拾贰	1	敌人受装甲型泛用机体伤害增加。	[21]	6	[780650]	
33	1	30162033	1	33	叁拾叁	1	构造体在敌人周围会持续掉血。	[5, 8, 8]	6	[780650, 780670]	
34	1	30162034	1	34	叁拾肆	1	敌人的数量增多。	[10, 1, 1]	6	[760001, 760041]	
35	1	30162035	1	35	叁拾伍	2	本关需要在限时内击杀场上的所有怪物或保护装置不被破坏。	[23, 3, 4]	6	[780650]	
36	1	30162036	1	36	叁拾陆	1	构造体在敌人周围会持续掉血。	[13, 7, 7]	6	[760001, 760041, 760041]	
37	1	30162037	1	37	叁拾柒	1	敌人的数量增多。	[29, 8, 7]	7	[780650]	
38	1	30162038	1	38	叁拾捌	1	敌人受装甲型泛用机体伤害增加。	[10, 28, 28]	7	[780650, 780670]	
39	1	30162039	1	39	叁拾玖	1	敌人具有较高的攻击力。	[25, 26, 26]	7	[760001, 760041]	
40	1	30162040	1	40	肆拾	2	每次受到治疗，下次造成的伤害大幅度增加。	[27]	8	[780650]	
41	1	30162041	1	41	肆拾壹	3	本关需要在60s内击杀敌人。	[32]	8	[780650]	
42	1	30162042	1	42	肆拾贰	3	一共4波敌人，敌人攻击欲望大幅提高。	[28, 28, 28]	8	[780650]	
43	1	30162043	1	43	肆拾叁	3	敌人的霸体值降为0后的瘫痪时间将会增加。	[10, 10, 10]	8	[780650]	
44	1	30162044	1	44	肆拾肆	3	自身血量维持在70%以上，会有大幅度增伤。	[33]	8	[780650]	
45	1	30162045	1	45	肆拾伍	3	安博莉亚为完全体形态。	[34]	8	[780650]	
46	2	30162001	1	1	壹	1	敌人受装甲型泛用机体伤害增加。	[1]	1	[760001, 760041, 760041]	
47	2	30162002	1	2	贰	1	敌人受装甲型泛用机体伤害增加。	[1]	5	[780650]	
48	2	30162003	1	3	叁	1	敌人受装甲型泛用机体伤害增加。	[1]	6	[780650, 780670]	
49	2	30162004	1	4	肆	1	敌人受装甲型泛用机体伤害增加。	[1]	7	[760001, 760041]	
50	2	30162005	1	5	伍	2	装甲型额外大幅削减敌人霸体值，敌人无霸体值时受伤增加。	[10]	2	[780650]	
51	2	30162006	1	6	陆	1	敌人具有较高的攻击力。	[3, 4, 4]	2	[760001, 760041, 760041]	
52	2	30162007	1	7	柒	1	敌人具有较高的攻击力。	[3, 4, 4]	2	[780650]	
53	2	30162008	1	8	捌	1	敌人具有较高的攻击力。	[3, 4, 4]	2	[780650, 780670]	
54	2	30162009	1	9	玖	1	敌人具有较高的攻击力。	[3, 4, 4]	2	[760001, 760041]	
55	2	30162010	1	10	拾	2	敌人具有较高的攻击力。	[5, 5, 5]	3	[780650]	
56	2	30162011	1	11	拾壹	1	敌人的数量增多。	[6, 6, 6]	3	[760001, 760041, 760041]	
57	2	30162012	1	12	拾贰	1	敌人的数量增多。	[6, 6, 6]	3	[780650]	
58	2	30162013	1	13	拾叁	1	敌人的数量增多。	[6, 6, 6]	3	[780650, 780670]	
59	2	30162014	1	14	拾肆	1	敌人的数量增多。	[6, 6, 6]	3	[760001, 760041]	
60	2	30162015	1	15	拾伍	2	本关需要在限时内击杀场上的所有怪物或保护装置不被破坏。	[3, 29, 6]	3	[780650]	
61	2	30162016	1	16	拾陆	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	4	[760001, 760041, 760041]	
62	2	30162017	1	17	拾柒	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	4	[780650]	
63	2	30162018	1	18	拾捌	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	4	[780650, 780670]	
64	2	30162019	1	19	拾玖	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	4	[760001, 760041]	
65	2	30162020	1	20	贰拾	2	自身血量维持在80%以上，会有大幅度增伤。	[9]	4	[780650]	
66	2	30162021	1	21	贰拾壹	1	敌人的数量增多。	[6, 6, 6]	4	[760001, 760041, 760041]	
67	2	30162022	1	22	贰拾贰	1	敌人具有较高的攻击力。	[3, 4, 4]	4	[780650]	
68	2	30162023	1	23	贰拾叁	1	构造体在敌人周围会持续掉血。	[7, 8, 8]	5	[780650, 780670]	
69	2	30162024	1	24	贰拾肆	1	敌人受装甲型泛用机体伤害增加。	[1]	5	[760001, 760041]	
70	2	30162025	1	25	贰拾伍	2	装甲型额外大幅削减敌人霸体值，敌人无霸体值时受伤增加。	[2]	5	[780650]	
71	2	30162026	1	26	贰拾陆	1	敌人具有较高的攻击力。	[11]	5	[760001, 760041, 760041]	
72	2	30162027	1	27	贰拾柒	1	敌人受装甲型泛用机体伤害增加。	[10]	5	[780650]	
73	2	30162028	1	28	贰拾捌	1	构造体在敌人周围会持续掉血。	[13, 24, 24]	5	[780650, 780670]	
74	2	30162029	1	29	贰拾玖	1	敌人的数量增多。	[17, 16, 15]	5	[760001, 760041]	
75	2	30162030	1	30	叁拾	2	60s内对敌人造成30w伤害即可过关。	[18]	5	[780650]	
76	2	30162031	1	31	叁拾壹	1	敌人具有较高的攻击力。	[19, 20, 20]	5	[760001, 760041, 760041]	
77	2	30162032	1	32	叁拾贰	1	敌人受装甲型泛用机体伤害增加。	[21]	6	[780650]	
78	2	30162033	1	33	叁拾叁	1	构造体在敌人周围会持续掉血。	[5, 8, 8]	6	[780650, 780670]	
79	2	30162034	1	34	叁拾肆	1	敌人的数量增多。	[10, 1, 1]	6	[760001, 760041]	
80	2	30162035	1	35	叁拾伍	2	本关需要在限时内击杀场上的所有怪物或保护装置不被破坏。	[23, 3, 4]	6	[780650]	
81	2	30162036	1	36	叁拾陆	1	构造体在敌人周围会持续掉血。	[13, 7, 7]	6	[760001, 760041, 760041]	
82	2	30162037	1	37	叁拾柒	1	敌人的数量增多。	[29, 8, 7]	7	[780650]	
83	2	30162038	1	38	叁拾捌	1	敌人受装甲型泛用机体伤害增加。	[10, 28, 28]	7	[780650, 780670]	
84	2	30162039	1	39	叁拾玖	1	敌人具有较高的攻击力。	[25, 26, 26]	7	[760001, 760041]	
85	2	30162040	1	40	肆拾	2	每次受到治疗，下次造成的伤害大幅度增加。	[27]	8	[780650]	
86	2	30162041	1	41	肆拾壹	3	本关需要在60s内击杀敌人。	[32]	8	[780650]	
87	2	30162042	1	42	肆拾贰	3	一共4波敌人，敌人攻击欲望大幅提高。	[28, 28, 28]	8	[780650]	
88	2	30162043	1	43	肆拾叁	3	敌人的霸体值降为0后的瘫痪时间将会增加。	[10, 10, 10]	8	[780650]	
89	2	30162044	1	44	肆拾肆	3	自身血量维持在70%以上，会有大幅度增伤。	[33]	8	[780650]	
90	2	30162045	1	45	肆拾伍	3	安博莉亚为完全体形态。	[34]	8	[780650]	
91	3	30162101	1	1	1	1	敌人<color=#0F70BC>数量较多</color>。	[6, 6, 6]	1	[110244]	
92	3	30162102	1	2	2	1	敌人<color=#0F70BC>攻击欲望较高</color>。	[26]	2	[110209]	
93	3	30162103	1	3	3	1	敌人受<color=#0F70BC>装甲型泛用机体</color>伤害增加。	[1]	2	[110259, 110243]	
94	3	30162104	1	4	4	1	构造体在敌人周围会<color=#0F70BC>持续掉血</color>。	[17, 15, 15]	2	[110214]	
95	3	30162105	1	5	5	3	敌人的霸体值增加，<color=#0F70BC>装甲型泛用机体</color>能额外大幅削减敌人霸体值，敌人在无霸体值时<color=#0F70BC>受到伤害增加</color>。	[2]	2	[110259, 110231]	
96	3	30162106	1	6	6	1	敌人<color=#0F70BC>数量较多</color>。	[29, 30, 30]	3	[110250]	
97	3	30162107	1	7	7	1	敌人<color=#0F70BC>攻击欲望较高</color>。	[25]	3	[110209, 110211]	
98	3	30162108	1	8	8	1	敌人受<color=#0F70BC>装甲型泛用机体</color>伤害增加。	[39]	3	[110259, 110243]	
99	3	30162109	1	9	9	1	构造体在敌人周围会<color=#0F70BC>持续掉血</color>。	[3, 4, 4]	3	[110214]	
100	3	30162110	1	10	10	3	当敌人受到某一<color=#0F70BC>属性伤害</color>达到25%最大生命上限时，将添加对应<color=#0F70BC>属性抗性</color>，当出现新的属性抗性时，会移除前一个抗性。<color=#0F70BC>此关卡限时3分钟</color>。	[45]	4	[110211, 110222]	
101	3	30162111	1	11	11	2	敌人受<color=#0F70BC>装甲型泛用机体</color>伤害增加。	[10]	4	[110259, 110243, 110222]	
