Id	Cvs	CvContent
899	[899, 899, 899, 899]	['夏活十关测试用', '夏活十关测试用', '夏活十关测试用', '夏活十关测试用']
900	[900, 900, 900, 900]	['夏活十关测试用', '夏活十关测试用', '夏活十关测试用', '夏活十关测试用']
901	[901, 901, 901, 901]	['夏活十关测试用', '夏活十关测试用', '夏活十关测试用', '夏活十关测试用']
102001	[102001, 202001, 302001, 402001]	['灰鸦小队队长，个体名是露西亚。 请多指教，指挥官。', '灰鸦小队队长，个体名是露西亚。 请多指教，指挥官。', '灰鸦小队队长，个体名是露西亚。 请多指教，指挥官。', '灰鸦小队队长，个体名是露西亚。 请多指教，指挥官。']
102002	[102002, 202002, 302002, 402002]	['明白。', '明白。', '明白。', '明白。']
102003	[102003, 202003, 302003, 402003]	['嗯。', '嗯。', '嗯。', '嗯。']
102004	[102004, 202004, 302004, 402004]	['呵呵。', '呵呵。', '呵呵。', '呵呵。']
102005	[102005, 202005, 302005, 402005]	['什么？', '什么？', '什么？', '什么？']
102006	[102006, 202006, 302006, 402006]	['已确认，战斗力提升。', '已确认，战斗力提升。', '已确认，战斗力提升。', '已确认，战斗力提升。']
102007	[102007, 202007, 302007, 402007]	['这样，就能更好的执行任务了……', '这样，就能更好的执行任务了……', '这样，就能更好的执行任务了……', '这样，就能更好的执行任务了……']
102008	[102008, 202008, 302008, 402008]	['获得了这份力量， 遇见任何敌人都能打倒吧。', '获得了这份力量， 遇见任何敌人都能打倒吧。', '获得了这份力量， 遇见任何敌人都能打倒吧。', '获得了这份力量， 遇见任何敌人都能打倒吧。']
102009	[102009, 202009, 302009, 402009]	['一定会在战场上发挥作用的，谢谢你，指挥官。', '一定会在战场上发挥作用的，谢谢你，指挥官。', '一定会在战场上发挥作用的，谢谢你，指挥官。', '一定会在战场上发挥作用的，谢谢你，指挥官。']
102010	[102010, 202010, 302010, 402010]	['我会好好活用这个装备的。', '我会好好活用这个装备的。', '我会好好活用这个装备的。', '我会好好活用这个装备的。']
102011	[102011, 202011, 302011, 402011]	['指挥官，总部发来新的邮件，请查收。', '指挥官，总部发来新的邮件，请查收。', '指挥官，总部发来新的邮件，请查收。', '指挥官，总部发来新的邮件，请查收。']
