Id	Name	Type	BuffId	BuffIds	Desc	DescTimeType	Icon	ScreenMaskType	ControlType	ShowCountdown	HintText	HintTextTimeType	EnergyCost	AddEnergyType	AddEnergyCount	SkillParam	SkillParams	ScoreFactor	LowerLimit	UpperLimit	SkillComboType	SkillAttributeFactor
1	红球强化	6		[60]	增加红球70%伤害分数2回合	增加红球70%伤害分数2秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong2.png	3		1	点击增加红球70%伤害分数2回合，<color=#fb9048>冷却5回合</color>	点击增加红球70%伤害分数2秒，<color=#fb9048>冷却5秒</color>										
2	红球大强化	6		[61]	增加红球150%伤害分数5回合	增加红球150%伤害分数5秒	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong2.png	3		1	点击增加红球150%伤害分数5回合，<color=#fb9048>冷却5回合</color>	点击增加红球150%伤害分数5秒，<color=#fb9048>冷却5秒</color>										
3	自选强化	8		[62, 63, 64, 65]	选择一种球，强化70%分数。被动：艾拉每回合结束时能量值增加40%	选择一种球，强化70%分数。被动：艾拉每秒结束时能量值增加40%	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	6		1	选择一种球，强化70%分数，<color=#fb9048>冷却3回合</color>	选择一种球，强化70%分数，<color=#fb9048>冷却3秒</color>										
4	随机强化	13		[100, 101, 102, 103, 104, 105, 106, 107, 108]	随机产生强化红黄蓝球50%/60%/70%分数的buff3次	随机产生强化红黄蓝球50%/60%/70%分数的buff3次	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	3		1	随机产生强化红黄蓝球50%/60%/70%分数的buff3次，<color=#fb9048>冷却3回合</color>	随机产生强化红黄蓝球50%/60%/70%分数的buff3次，<color=#fb9048>冷却3秒</color>				3						
5	改变1个球	10			改变1个球的颜色	改变1个球的颜色	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong2.png	2	2	1	改变1个球的颜色，<color=#fb9048>冷却5回合</color>	改变1个球的颜色，<color=#fb9048>冷却5秒</color>										
6	改变1种球	4			改变1种球的颜色	改变1种球的颜色	Assets/Product/Texture/Image/IconAffix/AffixIconHeidong2.png	2	2	1	改变1种球的颜色，<color=#fb9048>冷却5回合</color>	改变1种球的颜色，<color=#fb9048>冷却5秒</color>										
7	消除一列	2			消除一列。被动：渡边每回合结束时能量值加3	消除一列。被动：渡边每秒结束时能量值加3	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	2	1	1	点击一个球，消除整列，<color=#fb9048>冷却3回合</color>	点击一个球，消除整列，<color=#fb9048>冷却3秒</color>										
8	消除一行一列	11			消除一行和一列	消除一行和一列	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	2	1	1	点击一个球，消除一行和一列，<color=#fb9048>冷却3回合</color>	点击一个球，消除一行和一列，<color=#fb9048>冷却3秒</color>										
9	交换球	5			交换任意两个球	交换任意两个球	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	2	3	1	点击要交换的任意两个球，<color=#fb9048>冷却3回合</color>	点击要交换的任意两个球，<color=#fb9048>冷却3秒</color>										
10	交换球×4	16			交换任意两个球，交换4次或触发消除停止	交换任意两个球，交换4次或触发消除停止	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	2	3	1	交换任意两个球，交换4次或触发消除停止，<color=#fb9048>冷却3回合</color>	交换任意两个球，交换4次或触发消除停止，<color=#fb9048>冷却3秒</color>				4						
