Id	Name	Type	Color	Score	Icon	WeakIcons	Bg	WeakHitTimes	WeakMaxCount	Desc	PropType	SkillId	PropEffectTime	WeakBuffIds
1	布偶熊红	1	1	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Buouxiong11.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall02.png							
2	布偶熊黄	1	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Buouxiong32.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall01.png							
3	布偶熊蓝	1	3	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Buouxiong21.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall03.png							
4	布偶熊普攻	1	4	100	Assets/Product/Texture/Image/UiFight/FightIconR2Buouxiong.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall04.png							
5	里哥红	1	1	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Liang11.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall02.png							
6	里哥黄	1	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Liang31.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall01.png							
7	里哥蓝	1	3	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR4Liang21.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall03.png							
8	里哥普攻	1	4	100	Assets/Product/Texture/Image/UiFight/FightIconR4Liang.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall04.png							
9	邦比红	1	1	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bangbinata11.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall02.png							
10	邦比黄	1	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bangbinata31.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall01.png							
11	邦比蓝	1	3	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR2Bangbinata21.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall03.png							
12	邦比普攻	1	4	100	Assets/Product/Texture/Image/UiFight/FightIconR2Bangbinata.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall04.png							
13	曲红	1	1	100	Assets/Product/Texture/Image/IconSkill/R3Quhong1.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall02.png							
14	曲黄	1	2	100	Assets/Product/Texture/Image/IconSkill/R3Quhuang1.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall01.png							
15	曲蓝	1	3	100	Assets/Product/Texture/Image/IconSkill/R3Qulan1.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall03.png							
16	曲普攻	1	4	100	Assets/Product/Texture/Image/IconSkill/R3Qupugong1.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall04.png							
17	拉弥亚红	1	1	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Lamiya11B.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall02.png							
18	拉弥亚黄	1	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Lamiya31.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall01.png							
19	拉弥亚蓝	1	3	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Lamiya21B.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall03.png							
20	拉弥亚普攻	1	4	200	Assets/Product/Texture/Image/UiFight/FightIconR3Lamiya.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall04.png							
21	薇拉红	1	1	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Weila11.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall02.png							
22	薇拉黄	1	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Weila31.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall01.png							
23	薇拉蓝	1	3	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Weila21.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall03.png							
24	薇拉普攻	1	4	100	Assets/Product/Texture/Image/UiFight/FightIconLance.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall04.png							
25	回音红	1	1	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Yalisha11.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall02.png							
26	回音黄	1	2	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Yalisha31.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall01.png							
27	回音蓝	1	3	100	Assets/Product/Texture/Image/UiFight/FightSkillIconR3Yalisha21.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall03.png							
28	回音普攻	1	4	100	Assets/Product/Texture/Image/UiFight/FightIconR3Yalisha.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall04.png							
620101	闪星	2			Assets/Product/Texture/Image/IconTools/IconPlanet03.png		Assets/Product/Texture/Image/UiSameColorGame/UiSameColorGameBall06.png			完成一字形或十字形五消后出现。\n交换或双击后，随机消除12个信号球，并对所有的召唤物进行一次攻击	1	611	300	
