Id	Name	Icon	Desc	Type	Step	Time	TargetColors	TargetBallIds	Duration	DurationTime	DamagePercent	AddEnergy	AddEnergyLimit	ChangeColorCount
1	增加步数	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	增加步数1步	1	1									
2	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		2	2	500			
3	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		1	1	500			
4	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		1	1	500			
5	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		1	1	500			
6	普攻球强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球50%伤害	3			[4]		1	1	500			
7	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球30%伤害	3			[1]		15	15	300			
8	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球30%伤害	3			[2]		15	15	300			
9	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球30%伤害	3			[3]		15	15	300			
10	抗普攻球	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	减少普攻球30%伤害	4			[4]		15	15	300			
11	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球50%伤害	3			[1]		2	2	500			
12	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球50%伤害	3			[2]		2	2	500			
13	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球50%伤害	3			[3]		2	2	500			
14	免疫普攻球	Assets/Product/Texture/Image/IconAffix/AffixIconMianQianggong.png	免疫普攻球伤害	5			[4]		2	2				
15	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球200%伤害	3			[1]		5	5	2000			
16	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球50%伤害	4			[2]		5	5	500			
17	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球50%伤害	4			[3]		5	5	500			
18	普攻球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	削减普攻球50%伤害	4			[4]		5	5	500			
19	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球80%伤害	3			[1]		10	10	800			
20	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球30%伤害	4			[3]		10	10	300			
21	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球50%伤害	4			[2]		5	5	500			
22	普攻球强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	强化普攻球120%伤害	3			[4]		5	5	1200			
23	黄球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhuang.png	削减黄球30%伤害	4			[2]		4	4	300			
24	红球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	增加红球80%伤害	3			[1]		4	4	800			
25	红球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconhong.png	削减红球30%伤害	4			[1]		4	4	300			
26	蓝球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	增加蓝球80%伤害	3			[3]		4	4	800			
27	蓝球抗性	Assets/Product/Texture/Image/IconAffix/AffixIconlan.png	削减蓝球30%伤害	4			[3]		4	4	300			
28	普攻强化	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	增加普攻球80%伤害	3			[4]		4	4	800			
29	普攻抗性	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	削减普攻球30%伤害	4			[4]		4	4	300			
30	黄球强化	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	增加黄球80%伤害	3			[2]		4	4	800			
31	免疫黄球	Assets/Product/Texture/Image/IconAffix/AffixIconMianhuang.png	免疫黄球伤害	5			[2]		2	2				
32	免疫蓝球	Assets/Product/Texture/Image/IconAffix/AffixIconMianlan.png	免疫蓝球伤害	5			[3]		2	2				
33	减少步数	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	减少步数2步	2	2									
50	指定颜色增加伤害	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	指定颜色增加伤害	3			[1]		2	2	800			
51	指定颜色增加伤害	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	指定颜色增加伤害	3			[2]		2	2	800			
52	指定颜色增加伤害	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	指定颜色增加伤害	3			[3]		2	2	800			
53	指定颜色增加伤害	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	指定颜色增加伤害	3			[4]		2	2	800			
54	combo增加能量	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian.png	combo增加能量	6					2	2		10	1000	
