Key	Notes	Values
CameraProperty	摄像机\n1:摄像机能滑动最小X；\n2:摄像机能滑动最大X；\n3.摄像机移动速度；4.摄像机旋转角度; \n5.摄像机回弹动画时长（s）;\n6.摄像机FOV；\n7.摄像机滑到下一区域的最小距离；\n8.相机在等待界面FOV；9：相机在等待界面旋转角度 要类似做这样的改动	['7.2', '32', '3', '27.3|0|0', '0.75', '45', '3', '51.2', '29.54|-16.57|-1.04']
CameraPhotoProperty	1. 移动速度； 2. 缩放速度	['2', '8']
CharacterProperty	角色 1. 角色移动速度；2. 气泡偏离；3. 角色随机停留时间范围	['0.5', '0|1.2|0', '4|8', '40|120']
OrderNpcBornPoint	订单NPC出生点 1.点位，2.旋转	['36.523|0|10.167', '0|221|0']
Ui3DOffset	3DUI轴偏移 1. 收银台偏移；2.订单NPC头顶偏移；3.图鉴按钮偏移；4.演出事件按钮	['-1|1.2|0', '0|1.5|0', '-0.2|0.8|0', '0|2.1|0']
WorkRImgTitle	工作界面，标题资源. 1.制作；2.材料；3.角色；4.售卖	['Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMenuTxt02.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMenuTxt04.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMenuTxt06.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantMenuTxt05.png']
StorageCountDesc	库存描述	['库存%s件', '<size=32><color=#70A998>%s</color></size>/%s']
ProduceSpeedDesc	生产速度描述	['生产速度：%s/件', '售卖速度：%s/件']
StaffLevelDesc	员工等级描述	['初级', '中级', '高级']
StaffTabText		['全部', '备材', '制作', '销售']
StaffLevelLabelIcon	员工等级对应Icon	['Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantHead5.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantHead6.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantHead7.png']
SkillAdditionDesc	员工技能描述	['产出速度', '售卖价格', '%s对%s无加成效果']
ProduceDesc	生产描述	['[%s]开始生产[%s]啦！', '[%s]开始制作[%s]啦！', '[%s]开始售卖[%s]啦！', '请先选择工作员工', '制作一件%s需要:', '材料不足']
GlobalIlluminationPath	全局光路径	['Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOREST2_lv1.asset', 'Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOREST2_lv1.asset', 'Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOREST2_lv2.asset', 'Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOREST2_lv2.asset', 'Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOREST2_lv7.asset', 'Assets/Product/Scene/SuShe/IlluminationSO/GlobalIllumSOREST2_lv7.asset']
ProduceTimeUnit	生产时间单位	['件/小时', '/件']
StorageFullTip	仓库爆满提示	['收银台库存已满', '收银台货币<color=#b55252>已满</color>，员工无法立即售卖！\\n是否继续售卖【<color=#b55252>%s</color>】？\\n（收银台存储货币小于上限后，员工将继续售卖工作）', '库存已满', '【<color=#b55252>%s</color>】库存<color=#b55252>已满</color>，员工无法立即工作！\\n是否继续选择生产【<color=#b55252>%s</color>】?\\n（其库存小于上限后，员工再开始工作）']
ProductNotEnough	产品不足时生产提示	['材料不足', '【<color=#b55252>%s</color>】所需材料不足，员工无法立即工作！\\n是否继续制作【<color=#b55252>%s</color>】？\\n（材料足够后，员工再继续制作【<color=#b55252>%s</color>】）', '手作不足', '【<color=#b55252>%s</color>】库存为<color=#b55252>0</color>，员工无法立即售卖！\\n是否继续选择售卖【<color=#b55252>%s</color>】?\\n（其库存数量大于0后，员工将开始售卖）']
StopProduceTip	停止生产提示	['终止生产【%s】', '终止生产【%s】材料', '终止制作【%s】', '终止制作【%s】，系统将返还材料（%s）', '终止制作【%s】', '终止售卖【%s】', '终止售卖【%s】，系统将返还（%s）', '终止售卖【%s】']
StopAllProductText	终止全部生产	['本工作区全员休憩', '终止【<color=#b55252>%s</color>】所有员工工作？']
IngredientStatisticsTip	材料统计描述	['材料产出', '制作消耗', '数量变化']
FoodStatisticsTip	食物统计描述	['制作产出', '售卖消耗', '数量变化']
StatisticsUnit	统计单位	['件']
StoragePreviewTip1	备菜区库存预览提示	['预计%s小时后达到库存上限', '预计%s小时后消耗完毕', '持续产出']
StoragePreviewTip2	制作区库存预览提示	['预计%s小时后达到库存上限', '预计%s小时后售卖完毕', '预计%s小时后材料消耗完毕', '持续产出']
StoragePreviewTip3	售卖区库存预览提示	['预计%s小时后收银台达到上限', '预计%s小时后售卖完毕', '持续产出']
RImgUpgradeIcon	等级提升图标	['Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantUpgrade.png', 'Assets/Product/Texture/Atlas/UiRestaurant/UiRestaurantUpgrade2.png']
StaffStateBtnText	角色招募状态文本	['升级', '雇佣']
