Id	Name	Level	Icon	Description	ShowType	Priority	ShowNumType	ShowTimeType	Tag	AssetUrl	ShowNameType	TranslateId	Effect	FadeEffect
760001	畏火	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	火属性抗性减少30%	1	1								
760002	畏火	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	火属性抗性减少45%	1	1								
760003	畏火	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	火属性抗性减少60%	1	1								
760011	畏雷	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	雷属性抗性减少30%	1	1								
760012	畏雷	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	雷属性抗性减少45%	1	1								
760013	畏雷	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	雷属性抗性减少60%	1	1								
760021	畏冰	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	冰属性抗性减少30%	1	1								
760022	畏冰	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	冰属性抗性减少45%	1	1								
760023	畏冰	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	冰属性抗性减少60%	1	1								
760031	畏暗	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	暗属性抗性减少30%	1	1								
760032	畏暗	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	暗属性抗性减少45%	1	1								
760033	畏暗	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	暗属性抗性减少60%	1	1								
752115	畏空	1	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod3009.png	空属性抗性减少30%	1	1								
752116	畏空	2	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod3009.png	空属性抗性减少45%	1	1								
752117	畏空	3	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod3009.png	空属性抗性减少60%	1	1								
760041	畏物理	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	物理抗性减少30%	1	1								
760042	畏物理	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	物理抗性减少45%	1	1								
760043	畏物理	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	物理抗性减少60%	1	1								
760051	畏元素	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	所有元素属性抗性减少30%	1	1								
760052	畏元素	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	所有元素属性抗性减少45%	1	1								
760053	畏元素	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	所有元素属性抗性减少60%	1	1								
760061	弱攻	1	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	额外伤害加成降低30%	1	1								
760062	弱攻	2	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	额外伤害加成降低45%	1	1								
760063	弱攻	3	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	额外伤害加成降低60%	1	1								
760071	破甲	1	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	额外伤害减免降低30%	1	1								
760072	破甲	2	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	额外伤害减免降低45%	1	1								
760073	破甲	3	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	额外伤害减免降低60%	1	1								
760081	弱点	1	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	对来自暴击的伤害，额外伤害减免降低30%	1	1								
760082	弱点	2	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	对来自暴击的伤害，额外伤害减免降低45%	1	1								
760083	弱点	3	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	对来自暴击的伤害，额外伤害减免降低60%	1	1								
760091	虚弱	1	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo.png	额外伤害加成、移动速度、攻击频率和额外伤害减免降低20%	1	1								
760092	虚弱	2	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo.png	额外伤害加成、移动速度、攻击频率和额外伤害减免降低35%	1	1								
760093	虚弱	3	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo.png	额外伤害加成、移动速度、攻击频率和额外伤害减免降低50%	1	1								
760101	畏红	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	对来自红色信号球的技能伤害，额外伤害减免降低30%	1	1								
760102	畏红	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	对来自红色信号球的技能伤害，额外伤害减免降低45%	1	1								
760103	畏红	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong.png	对来自红色信号球的技能伤害，额外伤害减免降低60%	1	1								
760111	畏黄	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	对来自黄色信号球的技能伤害，额外伤害减免降低30%	1	1								
760112	畏黄	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	对来自黄色信号球的技能伤害，额外伤害减免降低45%	1	1								
760113	畏黄	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang.png	对来自黄色信号球的技能伤害，额外伤害减免降低60%	1	1								
760121	畏蓝	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	对来自蓝色信号球的技能伤害，额外伤害减免降低30%	1	1								
760122	畏蓝	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	对来自蓝色信号球的技能伤害，额外伤害减免降低45%	1	1								
760123	畏蓝	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan.png	对来自蓝色信号球的技能伤害，额外伤害减免降低60%	1	1								
760131	强攻	1	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	额外伤害加成提升30%	1	1								
760132	强攻	2	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	额外伤害加成提升45%	1	1								
760133	强攻	3	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	额外伤害加成提升60%	1	1								
760141	抗火	1	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo.png	火属性抗性增加30%	1	1								
760142	抗火	2	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo.png	火属性抗性增加45%	1	1								
760143	抗火	3	Assets/Product/Texture/Image/IconAffix/AffixIconKanghuo.png	火属性抗性增加60%	1	1								
760151	抗雷	1	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei.png	雷属性抗性增加30%	1	1								
760152	抗雷	2	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei.png	雷属性抗性增加45%	1	1								
760153	抗雷	3	Assets/Product/Texture/Image/IconAffix/AffixIconKanglei.png	雷属性抗性增加60%	1	1								
760161	抗冰	1	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing.png	冰属性抗性增加30%	1	1								
760162	抗冰	2	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing.png	冰属性抗性增加45%	1	1								
760163	抗冰	3	Assets/Product/Texture/Image/IconAffix/AffixIconKangbing.png	冰属性抗性增加60%	1	1								
760171	抗暗	1	Assets/Product/Texture/Image/IconAffix/AffixIconKangan.png	暗属性抗性增加30%	1	1								
760172	抗暗	2	Assets/Product/Texture/Image/IconAffix/AffixIconKangan.png	暗属性抗性增加45%	1	1								
760173	抗暗	3	Assets/Product/Texture/Image/IconAffix/AffixIconKangan.png	暗属性抗性增加60%	1	1								
760181	抗物理	1	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli.png	物理抗性增加30%	1	1								
760182	抗物理	2	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli.png	物理抗性增加45%	1	1								
760183	抗物理	3	Assets/Product/Texture/Image/IconAffix/AffixIconKangwuli.png	物理抗性增加60%	1	1								
760191	抗元素	1	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu.png	元素属性抗性增加30%	1	1								
760192	抗元素	2	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu.png	元素属性抗性增加45%	1	1								
760193	抗元素	3	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu.png	元素属性抗性增加60%	1	1								
760201	免伤	1	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	额外伤害减免提升30%	1	1								
760202	免伤	2	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	额外伤害减免提升45%	1	1								
760203	免伤	3	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	额外伤害减免提升60%	1	1								
760211	迅捷	1	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie.png	增加15%~30%移动速度，与目标距离越远，移动速度越快	1	1								
760212	迅捷	2	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie.png	增加20%-35%移动速度，与目标距离越远，移动速度越快	1	1								
760213	迅捷	3	Assets/Product/Texture/Image/IconAffix/AffixIconXunjie.png	增加25%-40%移动速度，与目标距离越远，移动速度越快	1	1								
760221	不动	1	Assets/Product/Texture/Image/IconAffix/AffixIconBudong.png	免疫受击状态、控制效果	1	1								
760231	复苏	1	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	每秒恢复0.1%最大生命值	1	1								
760232	复苏	2	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	每秒恢复0.2%最大生命值	1	1								
760233	复苏	3	Assets/Product/Texture/Image/IconAffix/AffixIconFusu.png	每秒恢复0.3%最大生命值	1	1								
760241	护盾	1	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png	每隔8秒获得当前生命值15%的护盾，持续3秒	1	1								
760242	护盾	2	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png	每隔8秒获得当前生命值25%的护盾，持续3秒	1	1								
760243	护盾	3	Assets/Product/Texture/Image/IconAffix/AffixIconHudun.png	每隔8秒获得当前生命值35%的护盾，持续3秒	1	1								
760251	暴走	1	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	增加33%攻击频率，造成伤害时，有20%几率额外造成33%的物理伤害	1	1								
760252	暴走	2	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	增加66%攻击频率，造成伤害时，有30%几率额外造成33%的物理伤害	1	1								
760253	暴走	3	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	增加100%攻击频率，造成伤害时，有40%几率额外造成33%的物理伤害	1	1								
760261	炸弹	1	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan.png	死亡后留下能造成35%的物理伤害的炸弹	1	1								
760262	炸弹	2	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan.png	死亡后留下能造成45%的物理伤害的炸弹	1	1								
760263	炸弹	3	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan.png	死亡后留下能造成60%的物理伤害的炸弹	1	1								
760271	刚体	1	Assets/Product/Texture/Image/IconAffix/AffixIconGangti.png	受到的伤害变为1点，受到6次伤害时移除效果，8秒后效果恢复	1	1								
760272	刚体	2	Assets/Product/Texture/Image/IconAffix/AffixIconGangti.png	受到的伤害变为1点，受到9次伤害时移除效果，8秒后效果恢复	1	1								
760273	刚体	3	Assets/Product/Texture/Image/IconAffix/AffixIconGangti.png	受到的伤害变为1点，受到12次伤害时移除效果，8秒后效果恢复	1	1								
760281	壁垒	1	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	获得当前生命值15%的永久护盾。护盾存在时免疫受击状态，承受足够伤害时移除护盾，15秒后护盾会重新生效	1	1								
760282	壁垒	2	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	获得当前生命值25%的永久护盾。护盾存在时免疫受击状态，承受足够伤害时移除护盾，15秒后护盾会重新生效	1	1								
760283	壁垒	3	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	获得当前生命值35%的永久护盾。护盾存在时免疫受击状态，承受足够伤害时移除护盾，15秒后护盾会重新生效	1	1								
760291	辐射	1	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	持续对附近敌人造成6%的物理伤害	1	1								
760292	辐射	2	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	持续对附近敌人造成8%的物理伤害	1	1								
760293	辐射	3	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	持续对附近敌人造成10%的物理伤害	1	1								
761275	辐射	1	Assets/Product/Texture/Image/IconAffix/AffixIconFushe.png	持续对附近敌人造成1.25%的物理伤害	1	1								
760301	闭环	1	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan.png	对来自远程敌人的伤害，额外伤害减免提升30%	1	1								
760302	闭环	2	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan.png	对来自远程敌人的伤害，额外伤害减免提升45%	1	1								
760303	闭环	3	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan.png	对来自远程敌人的伤害，额外伤害减免提升60%	1	1								
760311	祝福	1	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	附近友方单位的额外伤害加成提升10%	1	1								
760312	祝福	2	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	附近友方单位的额外伤害加成提升20%	1	1								
760313	祝福	3	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	附近友方单位的额外伤害加成提升30%	1	1								
760321	独狼	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	额外伤害加成提升3%，可叠加10层，附近友方单位越少，叠加层数越高	1	1								
760322	独狼	2	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	额外伤害加成提升4.5%，可叠加10层，附近友方单位越少，叠加层数越高	1	1								
760323	独狼	3	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	额外伤害加成提升6%，可叠加10层，附近友方单位越少，叠加层数越高	1	1								
760331	统领	1	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	额外伤害加成提升3%，可叠加10层，附近友方单位越多，叠加层数越高	1	1								
760332	统领	2	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	额外伤害加成提升4.5%，可叠加10层，附近友方单位越多，叠加层数越高	1	1								
760333	统领	3	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	额外伤害加成提升6%，可叠加10层，附近友方单位越多，叠加层数越高	1	1								
760341	贯穿	1	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	造成伤害时，目标的额外伤害减免降低3%，可叠加10层，每层效果持续10秒	1	1								
760342	贯穿	2	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	造成伤害时，目标的额外伤害减免降低4%，可叠加10层，每层效果持续10秒	1	1								
760343	贯穿	3	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	造成伤害时，目标的额外伤害减免降低5%，可叠加10层，每层效果持续10秒	1	1								
760351	电盾	1	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成20%的雷属性伤害，冷却时间3秒，与目标距离越远，概率越高	1	1								
760352	电盾	2	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成25%的雷属性伤害，冷却时间2.5秒，与目标距离越远，概率越高	1	1								
760353	电盾	3	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成30%的雷属性伤害，冷却时间2秒，与目标距离越远，概率越高	1	1								
760361	波动	1	Assets/Product/Texture/Image/IconAffix/AffixIconBodong.png	倒地起身时产生击退附近敌人的冲击波	1	1								
