Id	ModelId	DisplayRootName	DisplayEffectPath	DisplayDelayTime
1	24470121		{1: 'Assets/Product/Effect/Prefab/FxWeaponFashionEffect/FxR2BulijiteUIStandRaR.prefab', 2: 'Assets/Product/Effect/Prefab/FxWeaponFashionEffect/FxR2BulijiteUIStandRaR.prefab'}	
2	24470122		{1: 'Assets/Product/Effect/Prefab/FxWeaponFashionEffect/FxR2BulijiteUIStandRaL.prefab', 2: 'Assets/Product/Effect/Prefab/FxWeaponFashionEffect/FxR2BulijiteUIStandRaL.prefab'}	
3	14960121	{1: 'WeaponBone1', 2: 'WeaponBone1'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe01.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe01.prefab'}	
4	14960122	{1: 'ShieldBoneL00', 2: 'ShieldBoneL00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe02.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe02.prefab'}	
5	14960122	{1: 'ShieldBoneL05', 2: 'ShieldBoneL05'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe03.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe03.prefab'}	
6	14960122	{1: 'ShieldBoneR00', 2: 'ShieldBoneR00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe04.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe04.prefab'}	
7	14960122	{1: 'ShieldBoneR05', 2: 'ShieldBoneR05'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe05.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe05.prefab'}	
8	14960131	{1: 'WeaponBone1', 2: 'WeaponBone1'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe01.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe01.prefab'}	
9	14960132	{1: 'ShieldBoneL00', 2: 'ShieldBoneL00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe02.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe02.prefab'}	
10	14960132	{1: 'ShieldBoneL05', 2: 'ShieldBoneL05'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe03.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe03.prefab'}	
11	14960132	{1: 'ShieldBoneR00', 2: 'ShieldBoneR00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe04.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe04.prefab'}	
12	14960132	{1: 'ShieldBoneR05', 2: 'ShieldBoneR05'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe05.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe05.prefab'}	
13	14960131	{1: 'SwordBone00', 2: 'SwordBone00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe06.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe06.prefab'}	
14	14960141	{1: 'WeaponBone1', 2: 'WeaponBone1'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe01.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe01.prefab'}	
15	14960142	{1: 'ShieldBoneL00', 2: 'ShieldBoneL00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe02.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe02.prefab'}	
16	14960142	{1: 'ShieldBoneL05', 2: 'ShieldBoneL05'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe03.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe03.prefab'}	
17	14960142	{1: 'ShieldBoneR00', 2: 'ShieldBoneR00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe04.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe04.prefab'}	
18	14960142	{1: 'ShieldBoneR05', 2: 'ShieldBoneR05'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe05.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe05.prefab'}	
19	14960141	{1: 'SwordBone00', 2: 'SwordBone00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe06.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe06.prefab'}	
20	14960142	{1: 'ShieldBoneL00', 2: 'ShieldBoneL00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe07.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe07.prefab'}	
21	14960142	{1: 'ShieldBoneL05', 2: 'ShieldBoneL05'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe08.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe08.prefab'}	
22	14960142	{1: 'ShieldBoneR00', 2: 'ShieldBoneR00'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe09.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe09.prefab'}	
23	14960142	{1: 'ShieldBoneR05', 2: 'ShieldBoneR05'}	{1: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe10.prefab', 2: 'Assets/Product/Effect/Prefab/FxR5YongyechaoPrefab/Common/FxE3Swordaxe10.prefab'}	
