Id	Name
	其他系列
9000	初始系列
1001	基地服系列
1002	冠蕊琼芳系列
1003	地平线系列
1004	地下角斗系列
1005	未定系列5
1006	未定系列6
1007	深度腐蚀系列
1008	未定系列8
1009	新生活系列
1010	零时行动系列
1011	圣诞系列
1012	未定系列12
1013	春节系列
1014	霓裳系列
1015	意义系列
1016	蔚蓝之海系列
1017	喜欢你系列
1018	未定系列18
1019	圣誓系列
1020	诡夜狂欢系列
1021	尼尔系列
1022	时节系列
1023	往昔重绽系列
1024	传奇勋鉴系列
1025	灿金扬耀系列
1026	未定系列26
1027	阔海秘闻系列
1028	放逐乐园系列
1029	游诗歌谣系列
1030	幻梦和声系列
1031	未定系列31
1032	未定系列32
1033	喧嚣派对系列
1034	男装系列
1035	槲寄生系列
1036	浮世晓歌系列
1037	寰星之屿系列
1038	未定系列38
1039	心湖跃动系列
1040	伊甸星梦系列
1041	神寂启示录系列
1042	雾夜镇魂曲系列
