Id	Difficulty	FightEventIds	StarNum	Img	Icon	StarTalks	StageType	TitleUnlock	TitleName	StageEnemyName
30061695	1	[2340111]	3	Assets/Product/Texture/Image/RoleMonster/RoleMonstersSoloRankUp01.png	Assets/Product/Texture/Image/UiSoloReform/RoleCharacterSoloRankUp01.png	['通关关卡', '关卡内的评分升阶到SS', '关卡内的评分升阶到SSS']	1		简单	多重映射
30061696	2	[2340111]	3	Assets/Product/Texture/Image/RoleMonster/RoleMonstersSoloRankUp01.png	Assets/Product/Texture/Image/UiSoloReform/RoleCharacterSoloRankUp01.png	['通关关卡', '关卡内的评分升阶到SSS', '用时2分钟以下获得关卡内的SSS评分']	1	30061695	普通	多重映射
30163347	3	[2340112]	3	Assets/Product/Texture/Image/RoleMonster/RoleMonster81530.png	Assets/Product/Texture/Image/UiSoloReform/RoleCharacterSoloRankUp00.png	['通关关卡', '关卡内的评分升阶到SS', '关卡内的评分升阶到SSS']	2	30061695	简单	独身困斗
30163342	1		2	Assets/Product/Texture/Image/RoleMonster/RoleMonster90790.png	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	['通关关卡', '长按闪避进入2次鸦影形态']				
30163343	2		3	Assets/Product/Texture/Image/RoleMonster/RoleMonstersSolo08.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMb1DubianMd01001.png	['通关关卡', '长按闪避进入3次鸦影形态', '使用2次归墟悼曲（黄球）']				
30163344	3		3	Assets/Product/Texture/Image/RoleMonster/RoleMonster80210.png	Assets/Product/Texture/Image/RoleCharacter/Mb1TerminatorMd010001.png	['通关关卡', '长按闪避进入3次鸦影形态', '使用必杀：死与吻2次']				
30163336	1	[2340108]	2	Assets/Product/Texture/Image/RoleMonster/RoleMonster90800.png	Assets/Product/Texture/Image/RoleCharacter/YunluNormal01.png	['通关关卡', '长按闪避使用降维坍坠2次']				
30163337	2	[2340108]	3	Assets/Product/Texture/Image/RoleMonster/RoleMonstersSolo02.png	Assets/Product/Texture/Image/RoleCharacter/Mb1MelinoeMd010001.png	['通关关卡', '长按闪避使用降维坍坠3次', '使用2次黄色信号球']				
30163338	3	[2340108]	3	Assets/Product/Texture/Image/RoleMonster/RoleMonstersSolo03.png	Assets/Product/Texture/Image/RoleCharacter/Mb1ChaosMd010001.png	['通关关卡', '长按闪避使用降维坍坠3次', '使用必杀：寂灭绝罚2次']				
30163339	1		2	Assets/Product/Texture/Image/RoleMonster/RoleMonster90250.png	Assets/Product/Texture/Image/RoleCharacter/LangrenNormal01.png	['通关关卡', '长按普攻使用2次始序惩斥或终临惩斥']				
30163340	2		3	Assets/Product/Texture/Image/RoleMonster/RoleMonster93600.png	Assets/Product/Texture/Image/RoleCharacter/Mb1JiabailieMd000001.png	['通关关卡', '使用必杀：赤月裁星2次', '使用长按必杀获得的终临球3次']				
30163341	3		3	Assets/Product/Texture/Image/RoleMonster/RoleMonster87620.png	Assets/Product/Texture/Image/RoleCharacter/Mb1DianaMd010001.png	['通关关卡', '长按普攻使用2次始序惩斥或终临惩斥', '使用长按必杀获得的终临球5次']				
30163348	4	[2340112]	3	Assets/Product/Texture/Image/RoleMonster/RoleMonster81530.png	Assets/Product/Texture/Image/UiSoloReform/RoleCharacterSoloRankUp00.png	['通关关卡', '关卡内的评分升阶到SSS', '用时2分钟以下获得关卡内的SSS评分']	2	30163347	普通	独身困斗
30163349	5	[2340112]	3	Assets/Product/Texture/Image/RoleMonster/RoleMonster81530.png	Assets/Product/Texture/Image/RoleCharacter/GodzillaNormal01.png	['Placeholder_进行1次反超算', 'Placeholder_进入5次临界模式', 'Placeholder_进行3次特殊技能应对']	2	30163348	困难	独身困斗
