FightEventId	ChapterId	StageType	UnlockDiff	Desc	VideoId	Name	LockStage
2340040	1	1		关卡内的所有怪物血量都不会降低到70%以下，需要玩家角色使用特定技能将其击杀	31029	待执行状态	
2340041	1	1		渡边处于强袭模式状态下，释放出的逆势掣肘能将锁血的怪物处决，进而获得评分奖励。	31030	裁断	
2340042	1	1		评分等级锁定时,可直接使用逆势掣肘处决怪物，无须怪物处于锁血状态，达成操作后评分等级提升	31031	链路裁断	
2340043	1	1		SSS满评分后,在短时间内可无限处决敌人	31032	超阈状态	
2340047	1	2		在BOSS关卡中，玩家触发的处决效果可以重创BOSS并造成大量伤害。	31033	独身困斗	
2340048	1	2		玩家造成的伤害均能获得评分，评分等级提升后能更频繁地触发处决效果	31034	评分机制	
2340049	1	2		BOSS处于锁血状态期间，使用渡边的二段必杀才能将BOSS处决	31035	超阈裁断	
2340031	2			消除黄色信号球后获得3颗信号球，且使鸦影状态的斩击充能速度提升，该效果至多叠加3层。	31026	羽喙拾光	
2340032	2		1	释放鸦影形态的斩击时，获得随机1颗信号球，并获得50%伤害提升，该效果至多叠加3层。	31027	枕镰啸月	
2340033	2		2	释放死与吻后，获得满额兆丧值，并获得随机3颗信号球。	31028	鸦魇刑终	
2340025	3			获得满额浮影值时，将直接消耗并获得满额的坍缩值和60%必杀能量，漫游形态下进行二段闪避将获得满额坍缩值、坍缩刻印、大量信号球与必杀能量。	31020	辰澜权次	
2340026	3		1	使用黄色信号球时，获得330点坍缩值，且降维坍坠伤害提升500%，至多叠加5层，持续时间无限。	31021	态矢坍塌	
2340027	3		2	使用降维坍坠时，有40%概率刷新黄色信号球；未成功刷新时，下一次使用降维坍坠时刷新黄色信号球的几率翻倍，并获得6颗红色信号球。	31022	未定观测	
2340028	4			短按必杀的主序期间，始序惩斥释放后获得残月值，并且获得随机3颗信号球。	31023	启示惩斥	
2340029	4		1	长按必杀的终临期间，每消除1颗终临球，伤害提升50%，至多叠加100层，持续时间无限；退出终临后，获得6颗信号球。	31024	簇月赤辉	
2340030	4		2	每次释放必杀时获得大量残月值；每次释放普通攻击时，获得随机1颗信号球。	31025	虚光解缚	
