CharacterId	MainSkillIcon	MainSkillName	MainSkillType
1011002	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1021001	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1031001	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1041002	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1051001	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1061002	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1071002	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1081002	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1021002	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1031002	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1061003	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1031003	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
1011003	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/jichu.png', 'Assets/Product/Texture/Image/IconSkill/beidong.png']	['红色信号', '黄色信号', '蓝色信号', '主动技能', '被动技能']	['伤害', '伤害', '伤害', '大招', '被动']
