Id	Name	Icon
1	空中花园军方	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon020.png
2	清理部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png
3	工程部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png
4	支援部队	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon021.png
5	艺术协会	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png
6	科学理事会	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon022.png
7	生命之星	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon023.png
8	遗忘者	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon010.png
9	北极航线联合	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon012.png
10	阿迪莱商业联盟	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon011.png
11	九龙夜航船	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon024.png
12	联合共同体九龙	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon014.png
13	法奥斯军事学校	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon025.png
100	赛利卡	
101	里	
102	露西亚	
103	丽芙	
104	比安卡	
105	七实	
106	神威	
107	卡列尼娜	
108	渡边	
109	艾拉	
111	苏菲亚	
112	库洛姆	
113	薇拉	
114	罗塞塔	
116	常羽	
117	露娜	
118	2B	
119	9S	
120	A2	
121	万事	
122	21号	
123	邦比娜塔	
151	卡穆	
152	曲	
153	赛琳娜	
154	罗兰	
155	蒲牢	
156	哈卡玛	
157	诺安	
200	匿名	
201	阿西莫夫	
202	怀尔斯·K·伍德	
301	北极航线联合实验中心	
302	执行部队-灰鸦小队	
303	执行部队-三头犬小队	
304	科学理事会二部	
305	黄金周刊	
306	艺术协会商店街	
307	地面保育区	
308	执行部队下属小队	
309	空中花园	
310	法奥斯学生A	
