Id	ChapterId	PreStageId	CharacterIds	RobotIds	BuffIcon	BuffTitle	BuffDescs
30110261	1002		[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['常规作战']	['芬里尔只有一阶段，确实是很常规的作战。']
30110262	1002	30110265	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff04.png']	['困难作战']	['全阶段芬里尔加入战斗！还是很常规的作战。']
30110257	1002	30110261	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['常规作战']	['茯神只有一阶段，确实是很常规的作战。']
30110258	1002	30110262	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff04.png']	['困难作战']	['全阶段茯神加入战斗！还是很常规的作战。']
30110263	1002	30110257	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['常规作战']	['噬月异种只有一阶段，中规中矩的战斗。']
30110264	1002	30110258	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff04.png']	['困难作战']	['全阶段噬月异种加入战斗！唔。']
30110259	1002	30110263	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['常规作战']	['未元投影体只有一阶段，有一定的挑战性。']
30110260	1002	30110264	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff04.png']	['困难作战']	['全阶段未元投影体加入战斗！挑战性来了。']
30110265	1002	30110259	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['常规作战']	['小辉辉只有一阶段，似乎非常之困难。']
30110266	1002	30110260	[1131003, 1221003, 1251002]	[9183, 9184, 9185]	['Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff10.png', 'Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff04.png']	['困难作战', '困难作战']	['<color=#dbd146>高危高危高危</color>！此关卡中，<color=#dbd146>角色无法复活</color>。', '全阶段小辉辉加入战斗！传说中的百裂拳会一套带走三头犬吗！']
30110211	1004		[1131003]	[9206]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['涂装试玩']	['享受最in的时装']
30110212	1004		[1221003]	[9207]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['涂装试玩']	['享受最in的时装']
30110213	1004		[1251002]	[9208]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['涂装试玩']	['享受最in的时装']
30110214	1004		[1131003, 1221003, 1251002]	[9206, 9207, 9208]	['Assets/Product/Texture/Image/UiGuild/IconGuildTalent/UIGuildTalent_011.png']	['涂装试玩']	['享受最in的时装']
