Id	UiType	Name	Identity	Introduction
1	1	对象名称：库洛洛077		状态解析：开心，开心，看，我们都聚在一起啦！\n外部指令：堆叠 / 复位锁定\n附加字段：SYNC: 1101 0010 / ROUTE? / NEXT: ...
2	1	对象名称：库洛洛089		状态解析：难过，我不想被挤在最中间！\n外部指令：堆叠 / 复位锁定\n附加字段：SYNC: 1101 0010 / ROUTE? / NEXT: ...
3	1	对象名称：库洛洛162		状态解析：生气。到底是谁在我的脑子里塞信息！我明明只负责清洁！\n外部指令：堆叠 / 复位锁定\n附加字段：SYNC: 1101 0010 / ROUTE? / NEXT: ...
4	1	对象名称：库洛洛107		状态解析：好奇，这群库洛洛在这里聚众做什么呀？\n外部指令：自由\n附加字段：SYNC: 1111 0101 / ROUTE? / NEXT: ...
5	2	对象名称：摄像头		空中花园的通用摄像头，具有视频摄影和静态图像捕捉等基本功能。
6	2	成年男性的脚印		步幅平稳
7	2	青年男性的脚印		步幅紊乱
8	1	扫描结果：法奥斯学院学员	从属组织：法奥斯学院	状态：放松
9	1	扫描结果：法奥斯学院学员	从属组织：法奥斯学院	状态：放松
10	1	扫描结果：工程师	从属组织：法奥斯工程部门	状态：紧张
11	1	对象名称：库洛洛 236		状态解析：抗拒，一点也不想被搬到这里来啊！\n外部指令：强制迁移\n附加字段：SYNC: 1111 0111 / ROUTE: ? / NEXT: ...
12	1	对象名称：无人机073		状态解析：非法调用\n外部指令：阻拦\n附加字段：SYNC: 0110 1111 / ROUTE: 封锁空域
13	1	对象名称：无人机074		状态解析：非法调用\n外部指令：阻拦\n附加字段：SYNC: 0110 1111 / ROUTE: 封锁空域
14	1	对象名称：无人机075		状态解析：非法调用\n外部指令：阻拦\n附加字段：SYNC: 0110 1111 / ROUTE: 封锁空域
15	1	对象名称：无人机076		状态解析：非法调用\n外部指令：阻拦\n附加字段：SYNC: 0110 1111 / ROUTE: 封锁空域
16	1	对象名称：电子栏杆		状态解析：正常使用\n外部指令：启用阻拦\n附加字段：SYNC: 0110 0000 / ROUTE:? / NEXT: ...
17	1	对象名称：库洛洛089		状态解析：难过，我不想被挤在最中间！\n外部指令：堆叠 / 复位锁定\n附加字段：SYNC: 1101 0010 / ROUTE? / NEXT: ...
18	1	对象名称：库洛洛073		状态解析：非法调用\n外部指令：阻拦\n附加字段：SYNC: 0110 1111 / ROUTE: 封锁路径
19	1	对象名称：库洛洛076		状态解析：非法调用\n外部指令：阻拦\n附加字段：SYNC: 0110 1111 / ROUTE: 封锁路径
