Info	Key	X	Y
10300206	PB1	13246	16608
10300206	S1	13099	16862
10300206	B101	12973	17049
10300206	B201	12554	17262
10300206	B202	12743	17438
10300206	B203	13028	17475
10300206	B204	12518	17536
10300206	B205	12821	17657
1515151515	PB1	13246	16608
1515151515	S1	13099	16862
1515151515	B101	12973	17049
1515151515	B102	12554	17262
1515151515	B103	12743	17438
1515151515	B104	13028	17475
1515151515	B105	12518	17536
1515151515	B106	12821	17657
1515151515	ZX1	12858	17255
1515151515	End	12648	17606
30165178	PB1	12744	17354
30165178	S1	12864	17139
30165178	B101	12986	16926
30165178	B102	12741	16928
30165178	B103	13112	17140
