Id	Name	Prefab	SectorName	LevelType	LevelSubType	ScriptId	BgmId	AmbientSound	ResSolution	PositionY	PositionX	PositionZ	RotationY	VictoryShowPosX	VictoryShowPosY	VictoryShowPosZ	VictoryShowRotY	DefaultCameraId	ConfigGroups	DeferredConfigGroups	DisableSyncPlayerTransformData	ShouldSaveInstLevelProgress	NavMeshDataName	LoadingGroupId	DisableSystemFuncEnumStr	ForceUsePlayerSelfNpc	UiResId	SkipBornState	SceneName
1	狩猎测试关	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1																								
2	狩猎测试关	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1																								
3	狩猎测试关	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1																								
4	狩猎原平原关卡	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1																								
5	狩猎原平原关卡	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1					2.0	13.0	-13.0	90.0																
6	狩猎原平原关卡	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1					4.0	16.6	-118.5999	-90.0																
7	狩猎原平原关卡	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1																								
8	狩猎原平原关卡	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1																								
9	狩猎原平原关卡	Assets/Product/Scene/DlcScenePrefab/SceneHuntTest.prefab		1	1																								
10	狩猎原型测试关卡	Assets/Product/Scene/DlcScenePrefab/SceneMHW-StagePrototype1.prefab		1	1	10				1.95			35.0	-48.0	-46.5813	18.3999	35.0		[10]										
12	狩猎教学关卡-正式	Assets/Product/Scene/DlcScenePrefab/SceneHunt02.prefab		1	1					2.0		-13.0	90.0	-54.0	5.8369	-126.0	90.0		[12]										
13	狩猎黑龙挑战关卡-正式	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab		1	1	13	196			2.0	64.0	13.0		64.0	2.0	13.0			[13]										
14	狩猎黑白龙大连续关卡-正式-剧情关	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab		1	1	14	196			2.0	64.0	13.0		64.0	2.0	13.0			[13]										
15	狩猎白龙挑战关卡-正式	Assets/Product/Scene/DlcScenePrefab/SceneHunt01.prefab		1	1	15	197			2.0	64.0	13.0		64.0	2.0	13.0			[15]										
