Id	TagType	Text	Icon	Order
1	1	幻痛囚笼		1
2	1	纷争战区		2
3	1	其它		3
4	2	物理	Assets/Product/Texture/Image/IconType/IconTypeYsWuliWhite.png	1
5	2	火	Assets/Product/Texture/Image/IconType/IconTypeYsHuoWhite.png	2
6	2	冰	Assets/Product/Texture/Image/IconType/IconTypeYsBingWhite.png	3
7	2	雷	Assets/Product/Texture/Image/IconType/IconTypeYsLeiWhite.png	4
8	2	暗	Assets/Product/Texture/Image/IconType/IconTypeYsAnWhite.png	5
9	2	空	Assets/Product/Texture/Image/IconType/IconTypeYsNihilityWhite.png	6
10	2	真意斩	Assets/Product/Texture/Image/UiFubenPracticeCharacter/UiFubenPracticeEffectSwordPower.png	7
11	2	焚烧	Assets/Product/Texture/Image/UiFubenPracticeCharacter/UiFubenPracticeEffectBurn.png	8
12	2	覆冰	Assets/Product/Texture/Image/UiFubenPracticeCharacter/UiFubenPracticeEffectFreeze.png	9
13	2	电束	Assets/Product/Texture/Image/UiFubenPracticeCharacter/UiFubenPracticeEffectThunderShield.png	10
14	2	黯衍	Assets/Product/Texture/Image/UiFubenPracticeCharacter/UiFubenPracticeEffectRadiate.png	11
15	2	紊乱	Assets/Product/Texture/Image/UiFubenPracticeCharacter/UiFubenPracticeEffectGeneral.png	13
16	2	熠光	Assets/Product/Texture/Image/UiFubenPracticeCharacter/UiFubenPracticeEffectLightNoise.png	12
