Id	Type	GetTextType	Text	Icon	TipsBg	TipsEffect
1001	1	1	['<color=#FFFFFF>Synergy begins!!!</color>']	Assets/Product/Texture/Image/IconExpression/IconExpressA1.png		
105101	1	1	['<color=#FFFFFF>Overlock! Karmic Inferno!</color>']			
105201	1	1	['<color=#FFFFFF>Overlock! Celestial Armor!</color>']			
105301	1	1	['<color=#FFFFFF>Overlock! Everlight Rebirth!</color>']			
105202	1	1	['<color=#FFFFFF>Engaging the enemy! Support, move in!</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate2.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectBlue.prefab
105203	1	1	['<color=#FFFFFF>Victory in sight! Launch final assault!</color>']			
105204	1	1	['<color=#FFFFFF>Blocked and deflected! Requesting support!</color>']			
1051093	2	1	['<color=#FFFFFF>Imbalance Follow-Up</color>']	Assets/Product/Texture/Image/UiFightDlc/FightSkillIconRelinkPr.png		
800501	2	1	['<color=#FFFFFF>Blazing Breath</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800502	2	1	['<color=#FFFFFF>Iron Bulwark</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800503	2	1	"[""<color=#FFFFFF>Inferno's End</color>""]"		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800504	2	1	['<color=#FFFFFF>Blazing Crash</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800505	2	1	['<color=#FFFFFF>Draconic Sunburst</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
800506	2	1	['<color=#FFFFFF>The battle drags on. Enemy is hitting harder!</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
805201	2	1	['<color=#FFFFFF>Shadow Impedance</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
805202	2	1	['<color=#FFFFFF>Shadow Guidance</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
805203	2	1	['<color=#FFFFFF>Severing Blade</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
805204	2	1	['<color=#FFFFFF>Arsenal Radiance</color>']		Assets/Product/Texture/Image/UiDlcRelink/Battle/UiDlcRelinkBossUltimate.png	Assets/Product/Ui/Prefab/UiEffect/FxUiRelinkFight/StagePanel/StagePanelEffectRed.prefab
