Id	Name	Priority	Icon	BgIcon	BorderColor	ShowCount	PrefabPath	ShowTime
105301	攻击力提升	1	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon029.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	
105302	治疗增幅	1	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
105303	伤害减免	2	Assets/Product/Texture/Image/UiFightDlc/FightSkillIconRelinkR4Lifu42.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
105304	攻击力提升	2	Assets/Product/Texture/Image/UiFightDlc/FightSkillIconRelinkR4Lifu43.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
105305	攻击力提升	1	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon029.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
105306	治疗增幅	1	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
1056024	Luxiya_JianSun	1	Assets/Product/Texture/Image/IconAffix/AffixIconRelinkR5Luxiya2.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgRed.png	#B47E7E	1	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	
1056025	Luxiya_JianSunEx	1	Assets/Product/Texture/Image/IconAffix/AffixIconRelinkR5Luxiya2Ex.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgRed.png	#B47E7E	1	Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	
10513118	Luxiya_SkillThird	1	Assets/Product/Texture/Image/IconAffix/AffixIconRelinkR5Luxiya1.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
1052254	强攻	1	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1001.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
1052383	斗志昂扬	1	Assets/Product/Texture/Image/IconAffix/AffixIconQianghua2.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
1057021	烈刃	1	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	1
8060029	复活	1	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	Assets/Product/Texture/Atlas/UiDlcRelink/UiDlcRelinkBuffBgBlue.png	#7E9EB4		Assets/Product/Ui/ComponentPrefab/UiFightDlc/UiDlcRelink/UiDlcRelinkAffixTemplate.prefab	
