Id	HideClose	HideMenu	HideNpc	HideChar	HideAlbum	HideCharRotate	HideReset	HidePersonSwitch	InitCharRotate	DisableCameraOperation	UseInitCameraZoom	InitCameraZoom	HideCameraMove	UseInitCameraMove	InitCameraMoveX	InitCameraMoveY	InitLookAtCamera	ResetCameraHeight	UseInitCameraY	InitCameraY	MinDistance	MaxDistance	WidthDetectionRatio	HeightDetectionRatio	FailTimes	MinFov	MaxFov	ThirdPersonMode	MoveSpeed	DofId	MinBlurSize	MaxBlurSize
																							6000	6000		450000	600000		20000	2	1000	40000
1	1	1	1	1	1																		8000	8000	3	450000	600000					
2	1	1	1	1	1																		10000	10000	3	450000	600000					
3	1	1	1	1	1																		10000	10000	3	450000	600000					
4	1	1	1	1	1																		10000	10000	3	450000	600000					
5	1	1	1	1	1																		10000	10000	3	450000	600000					
6	1																						10000	10000	3	450000	600000					
7	1	1	1	1	1														1				10000	10000	3	450000	600000					
8	1										1	3000							1	1800000			10000	10000	3	450000	600000					
9		1	1			1	1	1		1	1	5000									7500	60000	10000	10000		450000	600000					
10	1																						10000	10000	1	450000	600000					
11	1	1	1	1	1														1				10000	10000	1	450000	600000					
12	1		1	1															1				6000	6000	3	450000	600000	1				
