Tag	Des	Style	Effect	Type
1	特价	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb2.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
2	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
3	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
4	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
5	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
6	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
7	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
8	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
9	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
10	免费	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb1.png		
11	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
12	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
13	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab	
14	限时	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb4.png		
15	折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png		1
16	特价	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg1.png		
17	4.4折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
18	4.9折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
19	5.0折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
20	4.5折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
21	1.5折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
22	4.1折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
23	3.7折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
24	4.0折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
25	2.6折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
26	3.4折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
27	2.2折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
28	2.6折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
29	3.3折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
30	3.6折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
31	3.1折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
32	2.1折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
33	1.6折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
34	2.7折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
35	3.5折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
36	4.2折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
37	3.3折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
38	3.8折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
39	2.5折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
40	2.3折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
41	2.8折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
42	4.3折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
43	3.2折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
44	2.4折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
45	3.0折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
46	1.3折	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabLb3.png		
