Id	EventEffect	EventIcon	EventParams
10170102		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['043号城市保育区地下室']
10170103		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon016.png	['商谈与合作']
10170104		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['043号城市保育区地下室']
10170105		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['043号城市保育区地下室']
10170106		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['部分伤员转移至045号城市']
10170107		Assets/Product/Texture/Image/RoleCharacter/FannishaNormal02.png	['部分伤员留守在043号城市保育区']
10170108		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['“全员”转移至046号城市']
10170109		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	['唯剩3位生者与1位逝者']
10170110		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['返回043号城市保育区']
10170111		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['046号城市保育区']
10170112		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['047号城市地下据点']
10170113		Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	['丽芙的最后13天']
10170114		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon016.png	['灰鸦、突击鹰、三头犬小队集结']
10170115		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon011.png	['奥赛兰姆号还剩 <color=#ff0000>12</color> 节车厢', '构造体', '35', '幸存人类', '587']
10170116		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon011.png	['奥赛兰姆号还剩 <color=#ff0000>5</color>节车厢', '构造体', '23', '幸存人类', '151']
10170117		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown01.png	['奥赛兰姆号彻底崩毁', '构造体', '12', '幸存人类', '1']
10170118		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu1.png	['丽芙的最后1天']
10170119		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon011.png	['常羽和苏菲亚正在赶来', '异合狂潮', '???']
10170120		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon03.png	['坚持到胜利或生命的尽头', '异合狂潮', '???', '幸存者', '5']
10170121		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['坚持到胜利或生命的尽头', '异合狂潮', '???', '幸存者', '5']
10170123		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	['坚持到胜利或生命的尽头', '异合狂潮', '???', '幸存者', '1']
10170122		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu1.png	['丽芙的最后9小时']
10170124		Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu1.png	['05:30 a.m.', '异合狂潮', '???']
10170128		Assets/Product/Texture/Image/UiMainLine/UiMainLineAdornIcon015.png	['她的选择', '异合狂潮', '874']
