Id	ThemeId	DifficultyId	Name	Color	Description	IsLimitShow
1	1	1	等阶1	94e994	留意机制类型，尽力维持FEVER状态	
2	1	2	等阶2	34aff8	留意机制类型，尽力维持FEVER状态	1
3	1	3	等阶3	f27ee5	留意机制类型，尽力维持FEVER状态	2
4	1	4	等阶4	ff8d1e	留意机制类型，尽力维持FEVER状态	3
5	1	5	等阶5	fa5826	留意机制类型，尽力维持FEVER状态	4
6	2	1	等阶1	94e994	留意机制类型，尽力维持FEVER状态	
7	2	2	等阶2	34aff8	留意机制类型，尽力维持FEVER状态	1
8	2	3	等阶3	f27ee5	留意机制类型，尽力维持FEVER状态	2
9	2	4	等阶4	ff8d1e	留意机制类型，尽力维持FEVER状态	3
10	2	5	等阶5	fa5826	留意机制类型，尽力维持FEVER状态	4
11	3	1	等阶1	94e994	留意机制类型，尽力维持FEVER状态	
12	3	2	等阶2	34aff8	留意机制类型，尽力维持FEVER状态	1
13	3	3	等阶3	f27ee5	留意机制类型，尽力维持FEVER状态	2
14	3	4	等阶4	ff8d1e	留意机制类型，尽力维持FEVER状态	3
15	3	5	等阶5	fa5826	留意机制类型，尽力维持FEVER状态	4
