Id	Name	BuffBg	BuffTriangleBg	Desc	TeachingContents	BuffSuggestAbility
32092	<color=#34aff9><size=34>祝福Ⅲ </size></color>			马基雅维利每损失25%生命召唤2枚<color=#34aff9>铁棘</color>，铁棘在35秒后崩毁平台	['text:<color=#34aff9>铁棘：</color>', 'Assets/Product/Texture/Image/UiBabelTower/BgFightTieji.png']	
32093	<color=#34aff9><size=34>祝福Ⅲ </size></color>					
32101	<color=#34aff9><size=34>独斗</size></color>			敌人自身周围同伴数量低于3时，每少一个同伴自身额外伤害加成提升10%，最高30%		
32111	<color=#34aff9><size=34>统领Ⅰ </size></color>			敌人自身周围每有一个同伴自身额外伤害加成提升5%，最多3层		
32112	<color=#34aff9><size=34>统领Ⅱ </size></color>			敌人自身周围每有一个同伴自身额外伤害加成提升10%，最多3层		
32113	<color=#34aff9><size=34>统领Ⅲ </size></color>			敌人自身周围每有一个同伴自身额外伤害加成提升15%，最多3层		
32121	<color=#34aff9><size=34>贯穿</size></color>			敌人每次攻击将会减少玩家3%防御，持续10秒，最多叠加10层		
32122	<color=#34aff9><size=34>贯穿Ⅱ </size></color>					
32123	<color=#34aff9><size=34>贯穿Ⅲ </size></color>					
32131	<color=#34aff9><size=34>电盾 </size></color>			敌人每次受击时10%概率在伤害来源处落雷，冷却时间5秒		
32132	<color=#34aff9><size=34>电盾Ⅱ </size></color>					
32133	<color=#34aff9><size=34>电盾Ⅲ </size></color>					
32141	<color=#34aff9><size=34>波动Ⅰ</size></color>			敌人被打倒起身时，产生一道波动把身边单位击飞，CD18秒		
32142	<color=#34aff9><size=34>波动Ⅱ </size></color>			敌人被打倒起身时，产生一道波动把身边单位击飞，CD14秒		
32143	<color=#34aff9><size=34>波动Ⅲ </size></color>			敌人被打倒起身时，产生一道波动把身边单位击飞，CD10秒		
32144	<color=#34aff9><size=34>埋雷 </size></color>			敌人攻击时会在目标身上埋下爆雷，一段时间后爆炸，造成其攻击15%的物理伤害		
32145	<color=#34aff9><size=34>埋雷Ⅱ </size></color>					
32146	<color=#34aff9><size=34>埋雷Ⅲ </size></color>					
32147	<color=#34aff9><size=34>隐身</size></color>			敌人会进入隐身状态，受到伤害会显形，并在3秒内无法再次进入隐身状态		
32148	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>躲避红球，击破水晶</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png']	
32149	<color=#34aff9><size=34>红水晶</size></color>			击破后可将场上部分红球转化为蓝球	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain07.png']	
32150	<color=#34aff9><size=34>红球</size></color>			红球靠近至角色会爆炸，注意走位躲避	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain01.png']	
32151	<color=#34aff9><size=34>蓝球</size></color>			由红球转化而来，蓝球会寻找最近的怪物进行攻击	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain03.png']	
32152	<color=#34aff9><size=34>音波FEVER值</size></color>			击破所有水晶或触碰所有红球结束，结算时，根据转化的蓝球数目换算最终FEVER值		
32153	<color=#34aff9><size=34>机制目标</size></color>			<color=#CF0000>平铺红色地块，击破水晶将其转化为蓝色地块</color>	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png']	
32154	<color=#34aff9><size=34>红水晶</size></color>			击破水晶时，可将场上所有红色地块转化为蓝色地块	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain07.png']	
32155	<color=#34aff9><size=34>聚光灯</size></color>			进入机制后，每秒照射角色所在区域，按白、绿、黄、红进行照射。红色时，会将地块转变为红色		
32156	<color=#34aff9><size=34>红地块</size></color>			若聚光灯照射到红色地块，会触发爆炸，注意走位！	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain02.png']	
32157	<color=#34aff9><size=34>蓝地块</size></color>			由红色地块转化而来	['Assets/Product/Texture/Image/UiMultiDim/UiMultiDimExplain04.png']	
32158	<color=#34aff9><size=34>聚光灯FEVER值</size></color>			击破所有水晶结束，结算时，根据转化的蓝色地块换算最终FEVER值		
