Id	Text
77856867	s】</color><color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
1002	每存在一个同时与<color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
1003	每存在一个同时与<color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
1004	每存在一个同时与<color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
1005	每存在一个不与<color=#00FF09>【%s】</color><color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
1006	每存在一个被<color=#FFF000>包围</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
1007	每存在一个与棋盘边缘<color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
1008	每存在一个不与棋盘边缘<color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
2001	每存在一个被<color=#00FF09>【%s】</color><color=#FFF000>包围</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
2002	每存在一个被<color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#FFF000>包围</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
2003	每存在一个被<color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#00FF09>【%s】</color><color=#FFF000>包围</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
2004	每存在一个<color=#FFF000>上下左右没有任意地块</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
3001	每存在一个<color=#FFF000>2*2形状</color>的<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
3002	每存在一个3*3形状的<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
3003	每存在一个4*4形状的<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
3004	每存在一个5*5形状的<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
3005	每存在一个6*6形状的<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
4001	每存在一个由<color=#00FF09>【%s】</color>个或者<color=#00FF09>【%s】</color>个以上的<color=#00FF09>【%s】</color>地块组成的<color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
4002	每存在一张<color=#00FF09>【%s】</color>字窗花，可获得<color=#00ffff>20</color>分
4003	每存在一个<color=#00FF09>【%s】</color>地块<color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
4004	<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>与<color=#00FF09>【%s】</color><color=#0f70bc>群落</color><color=#FFF000>相邻</color>，可获得<color=#00ffff>%s</color>分
4005	<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>通过<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>与<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>相连，可获得<color=#00ffff>%s</color>分
4006	每存在一个不与<color=#00FF09>【%s】</color>地块<color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
4007	每存在一个<color=#00FF09>【%s】</color>地块<color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
4008	每存在一个与3种或者3种以上的地块<color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color><color=#0f70bc>群落</color>，可获得<color=#00ffff>%s</color>分
4009	每存在一个与<color=#00FF09>【%s】群落</color><color=#FFF000>相邻</color>的<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
5001	每存在一条被<color=#FFF000>任意地块填满</color>的<color=#00FF09>【%s】</color>，可获得<color=#00ffff>%s</color>分
5002	每存在一条没有任意地块的<color=#00FF09>【%s】</color>，可获得<color=#00ffff>%s</color>分
5003	每存在一条被<color=#00FF09>【%s】</color>地块<color=#FFF000>填满</color>的<color=#00FF09>【%s】</color>，可获得<color=#00ffff>%s</color>分
5004	每存在一条包含<color=#00FF09>【%s】</color>地块的<color=#00FF09>【%s】</color>，可获得<color=#00ffff>%s</color>分
5005	<color=#00FF09>【%s】</color>地块所在的<color=#00FF09>【%s】</color>被<color=#FFF000>任意地块填满</color>，可获得<color=#00ffff>%s</color>分
6001	每存在一个未被<color=#FFF000>包围</color>的<color=#00FF09>【%s】</color>地块，总分结算时将扣除<color=#00ffff>%s</color>分。
7001	<color=#00ffff>【福】</color>字地块旋转180度，可获得<color=#00ffff>10</color>分
8001	棋盘上每存在1个<color=#00FF09>【%s】</color>地块，可获得<color=#00ffff>%s</color>分
8002	若棋盘上数量最多的地块是<color=#00FF09>【%s】</color>地块，每个<color=#00FF09>【%s】</color>地块可获得<color=#00ffff>%s</color>分
