Id	NpcId	Name	Body	TextStageEnter	TextStageSettle	TextRefreshBlock	TextChooseBlock	TextMoveBlock	TextRotateBlock	TextCancelBlock	TextFail	SmartPutDownBlock
1	1111002	苏菲亚	Assets/Product/Texture/Image/UiTemple/UiTemple3D08.png	['指挥官，要一起合作吗？']	['一次完美的合作。']	['...还没有做出决定吗。', '谨慎一些确实不容易出错。']	['苏菲亚也觉得这里不错。', '指挥官选择了这里吗？']	['嗯......确实难以抉择。', '要试试放在那里吗？']	['...眼睛有点花。', '它也在“跳舞”吗。']	['唔，这里不合适吗。', '嗯，那就试试别的地方吧。']	['下次会做得更好，再来。']	100
2	1261003	回音	Assets/Product/Texture/Image/UiTemple/UiTemple3D010.png	['让我们规划的庙会变得井井有条。']	['太好了！我就知道你一定可以。']	['指挥官还没有做好决定吗？', '无法做出选择吗？让我思考一下。']	['这个吗？嗯，我也觉得很合适。', '这里.......的确是更好的选择。']	['该放在哪里好呢，让我想想......', '要试试看放在这里吗？']	['唉？好吧，那就再转一次。', '我也认为这样更加合理。']	['这样啊......那还是换一个吧。', '觉得不合适吗？']	['我做了复盘记录，要一起看看吗？']	80
3	1021004	露西亚	Assets/Product/Texture/Image/UiTemple/UiTemple3D09.png	['嗯，我们会携手走过每一年的春天。']	['胜利是我们之间的誓言，指挥官。']	['嗯……我也在思考怎么选择。', '我们先试着迈出一步。']	['这类规划果然是指挥官更精通。', '我也看中了这个模块。']	['正在向目标地点移动。', '我们的目的地一致，指挥官。']	['原来如此，还有这种方式……', '要是能拆开会不会更好？']	['规划模块已回收，指挥官。', '好，让我们重新规划。']	['和预期有些偏差，我们再来一次。']	60
4	1011004	里	Assets/Product/Texture/Image/UiTemple/UiTemple3D01.png	['在我们规划的庙会上迎接新年吧。']	['今年…也是在你身边的一年。']	['谨慎的选择确实需要仔细的思考。', '重头来过有时候也是合适的战略。']	['相信你自己的判断就好。', '这个位置我也很喜欢。']	['嗯……要放在这里吗？', '我们还有很多时间思考。']	['模块原来可以这样高速转动……', '你好像很喜欢尝试不同的视角。']	['好，那就再试试别的方案吧。', '时间还有很多，我们可以慢慢尝试。']	['再试一遍吧，我们还有很多时间。']	40
5	1031001	丽芙	Assets/Product/Texture/Image/UiTemple/UiTemple3D07.png	['这个规划里有你的话……我很高兴。']	['好漂亮…我能在花灯上写个愿望吗？']	['这个也很不错……好难选……', '指挥官想选哪个？']	['啊……我喜欢这个。', '它已经准备好了。']	['嗯......我们可以放在......', '送到更热闹的地方去吧。']	['它让我想起了旋转的雪花。', '地块会被转到头晕吗？']	['那就……趁它不注意。', '变得干净了，有点空荡荡的……']	['不行吗？指挥官的规划明明很好…']	20
6	1171003	露娜	Assets/Product/Texture/Image/UiTemple/UiTemple3D06.png	['庙会？我确实……有些怀念。']	['这就是你所期待的新年吗？']	['看得越多，越难抉择。', '犯难了吗？真是的。']	['决定选这个？随便你吧。', '倒是不差的选择……']	['想好放在哪了吗？', '先找到合适的位置。']	['你在做什么……', '转来转去的，真讨厌。']	['不行的话就多试试。', '不需要一条路走到黑……']	['我不觉得你的实力只有这种程度。']	
7	1521004	曲	Assets/Product/Texture/Image/UiTemple/UiTemple3D011.png	['规划庙会之事，与我协作如何？']	['你果然没让我失望，再接再厉。']	['俗话说万事开头难……', '当断不断，必受其乱。']	['眼光不错，值得期待。', '看来，你做了最佳选择。']	['规划的学问，需要我传授你吗？', '摆放的位置绝不能马虎。']	['别把你自己转晕。', '方向性的问题很重要。']	['你有其他更好的选择吧。', '多做尝试，愚公移山。']	['祸兮福所依，福兮祸所伏……']	100
8	1121003	库洛姆	Assets/Product/Texture/Image/UiTemple/UiTemple3D05.png	['指挥官，请接受我的合作邀约。']	['这是我们共同的荣光。']	['嗯，的确需要考虑得更加周全。', '看来是值得思考的难题。']	['这会是一个不错的选择。', '赞同。']	['放在那里如何？', '应该放在什么地方？我思考一下。']	['嗯......还好，没有很晕。', '......这也是你的策略之一吗？']	['要考虑换一个选择吗？', '不合适的话还是及时止损比较好。']	['道路艰难，但我们不会轻易言弃。']	80
9	1131002	薇拉	Assets/Product/Texture/Image/UiTemple/UiTemple3D04.png	['和你合作？倒也不错。']	['真是一场简单的胜利。']	['这有什么好纠结的？', '你，需要我的建议吗？']	['怎样都好，快点决定吧。', '勉勉强强~']	['选得好，也得摆得好才行。', '别小看，这也是要技巧的。']	['再怎么转也没用的。', '这么喜欢旋转，你是陀螺吗？']	['不行就换，总有用着顺手的。', '再试试吧，我还有一些耐心。']	['不怎么熟练呢，再来一次。']	60
10	1071004	卡列尼娜	Assets/Product/Texture/Image/UiTemple/UiTemple3D03.png	['嗯？我…我才没有在等你邀请！！']	['完成了——果然很轻松嘛！']	['还要想多久啊……大、笨、蛋！', '如果你需要建议的话也不是不行……']	['就这样确定了吗？', '还挺聪明的嘛。']	['这里也许不错……那边也可以吧？', '要换一个吗？我是没意见啦。', '真让人纠结！可恶！']	['你有什么特殊兴趣吗！', '是别人的话已经被我揍飞了……！']	['从结构上看可能不太合理……', '要不要换一个试试？']	['刚才不算！我们再来一次！']	40
