Id	Name	Grid1	Grid2	Grid3	Grid4	Grid5	Grid6
1	市肆	[1, 1]	[1, 1]	[0]	[0]	[0]	[0]
2	市肆	[1]	[1]	[1]	[0]	[0]	[0]
3	市肆	[1, 1, 1, 1]	[0]	[0]	[0]	[0]	[0]
4	市肆	[1]	[1]	[0]	[0]	[0]	[0]
5	市肆	[1, 0, 1]	[0]	[0]	[0]	[0]	[0]
6	市肆	[1, 0, 1]	[1, 0, 1]	[0]	[0]	[0]	[0]
7	市肆	[1, 1, 1]	[1, 0, 1]	[0]	[0]	[0]	[0]
8	市肆	[0, 1, 0]	[1, 1, 1]	[0, 1, 0]	[0]	[0]	[0]
9	市肆	[0, 1, 0]	[0, 1, 0]	[1, 1, 1]	[0]	[0]	[0]
10	市肆	[1, 1, 0]	[0, 1, 1]	[0]	[0]	[0]	[0]
11	市肆	[0, 1, 1]	[1, 1, 0]	[0]	[0]	[0]	[0]
12	市肆	[1, 1, 0]	[0, 1, 1]	[0, 0, 1]	[0]	[0]	[0]
13	市肆	[0, 1, 1]	[1, 1, 0]	[1, 0, 0]	[0]	[0]	[0]
14	市肆	[1, 0, 0]	[1, 0, 0]	[1, 1, 1]	[0]	[0]	[0]
15	市肆	[0, 0, 1]	[1, 1, 1]	[0]	[0]	[0]	[0]
16	市肆	[1, 1]	[1, 0]	[0]	[0]	[0]	[0]
17	市肆	[1, 1, 1]	[1, 1, 0]	[0]	[0]	[0]	[0]
18	市肆	[1, 1, 1]	[0, 1, 1]	[0]	[0]	[0]	[0]
19	市肆	[1, 0]	[0, 1]	[0]	[0]	[0]	[0]
20	市肆	[1, 0, 0]	[0, 1, 1]	[0]	[0]	[0]	[0]
21	市肆	[0, 0, 1]	[1, 1, 0]	[0]	[0]	[0]	[0]
22	市肆	[1, 0, 0]	[1, 1, 1]	[0]	[0]	[0]	[0]
23	市肆	[1, 1, 1]	[0, 1, 0]	[0]	[0]	[0]	[0]
24	市肆	[1, 0, 0]	[0, 1, 0]	[0, 0, 1]	[0]	[0]	[0]
25	市肆	[1]	[0]	[0]	[0]	[0]	[0]
26	盆栽	[2, 2]	[2, 2]	[0]	[0]	[0]	[0]
27	盆栽	[2]	[2]	[2]	[0]	[0]	[0]
28	盆栽	[2, 2, 2, 2]	[0]	[0]	[0]	[0]	[0]
29	盆栽	[2]	[2]	[0]	[0]	[0]	[0]
30	盆栽	[2, 0, 2]	[0]	[0]	[0]	[0]	[0]
31	盆栽	[2, 0, 2]	[2, 0, 2]	[0]	[0]	[0]	[0]
32	盆栽	[2, 2, 2]	[2, 0, 2]	[0]	[0]	[0]	[0]
33	盆栽	[0, 2, 0]	[2, 2, 2]	[0, 2, 0]	[0]	[0]	[0]
34	盆栽	[0, 2, 0]	[0, 2, 0]	[2, 2, 2]	[0]	[0]	[0]
