Id	NpcId	Name	Body	TextStageEnter	TextStageSettle	TextRefreshBlock	TextChooseBlock	TextMoveBlock	TextRotateBlock	TextCancelBlock	TextFail	SmartPutDownBlock
1	1111002	苏菲亚	Assets/Product/Texture/Image/UiTemple/UiTemple3D08.png	['指挥官，让我们共同完成吧。']	['按照阿迪莱商业联盟的礼仪，我应该送给你贵重的礼物，可你早已不止是商业联盟的合作伙伴了……谢谢你邀请我，指挥官。']		['这里……应该是最优解。', '放好了，轮到指挥官了。']	['让你抢先了一步。', '指挥官，我们一起。']				70
2	1261003	回音	Assets/Product/Texture/Image/UiTemple/UiTemple3D010.png	['指挥官，一起制作花灯祝福吧。']	['礼物的话，我按烹饪书的指示制作了巧克力，还有鲜花——这应该是合乎礼节的吧？与指挥官之间的羁绊……对我来说是十分重要的。']		['让我来选的话...就这里吧！', '指挥官觉得这里怎么样？']	['唉？是有更合适的地方吗.......', '我相信指挥官的判断！']				90
3	1021004	露西亚	Assets/Product/Texture/Image/UiTemple/UiTemple3D09.png	['让我们一起把这些光汇聚起来。']	['在你走过来之前，我也在沿着这些花灯找你……光总会指引着互相寻找的人，直到我们能再一次触碰到彼此。']		['就放在离你最近的地方。', '一起点亮这盏灯吧。']	['光芒汇聚得更多了。', '我可以触碰你的手吗？指挥官。']				80
4	1011004	里	Assets/Product/Texture/Image/UiTemple/UiTemple3D01.png	['嗯，我身旁的位置是预留给你的。']	['虽然我从不相信依靠祈祷就能实现一切，但是……我上一年许下的心愿确实都实现了。对你来说，心愿也实现了吗？']		['根据测量后的结果，在这里最好。', '好，我要放下“拼图”了。']	['……只要你喜欢，放哪里都行。', '这里不错。']				90
5	1031001	丽芙	Assets/Product/Texture/Image/UiTemple/UiTemple3D07.png	['把一整年的心意寄托给花灯吧。']	['最近，总觉得指挥官身影在忙碌中渐渐变远了一些，但我知道…你留在灰鸦小队的时间一点都没有变少…是我，是我更想让你留久一点…']		['唔…放在这里…可以吗？', '希望这盏灯不要迷路。']	['这样倒映在水面上…很好看。', '这盏花灯也悄悄绽开了……']				80
6	1171004	露娜	Assets/Product/Texture/Image/UiTemple/UiTemple3D06.png	['和我一起见证它被点燃的样子吧。']	['这种节日对我来说早已雾暗云深……但如果是你在身边的话，再体验一下也不错，我并不讨厌这样的感觉。']		['我的选择吗......这里吧。', '不觉得放在这里很有趣吗？']	['看来你有不同的考虑。', '我很好奇你的想法会是什么。']				80
7	1521004	曲	Assets/Product/Texture/Image/UiTemple/UiTemple3D011.png	['让我见识一下你的实力。']	['今日似乎是有缘人相伴出行的日子，虽说琐事繁多，我倒也刻意腾出了时间，你，可有兴趣与我共叙夜话？']		['孰优孰劣，我自有定论。', '行成于思，切勿囫囵吞枣。']	['这就是你的布局吗？', '英雄所见略同……']				90
8	1121003	库洛姆	Assets/Product/Texture/Image/UiTemple/UiTemple3D05.png	['很期待与你共同完成这份心意。']	['跟你之间的交流总是无需太多言语，就能明白彼此的用意。谢谢你抽出时间跟我共享这份闲暇……下次，就轮到我来邀请你了。']		['落棋。', '由我先手。']	['很精妙的一步。', '易位。']				90
9	1131002	薇拉	Assets/Product/Texture/Image/UiTemple/UiTemple3D04.png	['大人的节日...不来找点乐子吗？']	['我对情人节的期待，可不只是摆放花灯的游戏哦。为了不浪费一年一度的宝贵机会，指挥官是打算怎样补偿我呢？']		['放在这里，你喜欢吗？', '下一步就看你的表现了。']	['目前还不错，你就放心摆放好了。', '别在这种小事上犹豫。']				80
10	1071004	卡列尼娜	Assets/Product/Texture/Image/UiTemple/UiTemple3D03.png	['所以，是你先邀请我的哦。']	['被这么多人看到果然还是不习惯。我说，我们还是回去“秘密基地”好了……为什么？当然是因为我的礼物都放在那边了！笨蛋！']		['接下来，当然是放在这里！', '放这里肯定没问题吧？对吧？']	['可恶……我也想放这里的！', '你已经选好了？！心有灵犀吗……']				80
