Id	Desc	SizeX	SizeY	BaseBlockGroupId	EliteMonsterLimit	HiddenId	TracebackGroupId
1001	新手地图	7	7	10001			1
10002	新手-章节1	5	4	10001	4		1
10003	新手-章节2	6	5	10001	5		1
10004	新手-章节3	6	5	10001	6		1
10005	新手-章节4	7	6	10001	6		1
10006	新手-地图5	8	7	10001	6		1
10007	新手-地图6	6	5	10001	5		1
11001	新手引导图1	5	3	10005			1
11002	新手引导图2	6	5	10006			1
11003	新手引导图3	5	4	10007			1
21000	红-CH1-1	5	4	10005	5		1
22000	红-Ch2-1	5	6	10006	5		1
23000	红-Ch3-1	7	6	10007	5	[2300001, 2300002]	1
24000	红-Ch4-1	8	6	10008	10	[2400001, 2400002]	1
25000	红-Ch5-1	8	7	10009	10	[2500001]	1
26000	红-Ch6-1	6	5	10010	5		1
31000	中立-Ch1-1	5	4	10005	10		1
32000	中立-Ch2-1	6	5	10006	10		1
33000	中立-Ch3-1	7	6	10007	10		1
34000	中立-Ch4-1	8	7	10009	10	[3400001]	1
41001	蓝-章1-图1	5	4	10005	1		1
42001	蓝-章2-图1	6	5	10006	1		1
43001	蓝-章3-图1	6	5	10007	1		1
44001	蓝-章4-图1	7	6	10008	2		1
45001	蓝-章5-图1	8	7	10009	3		1
46001	蓝-章6-图1	6	7	10010	2	[4600101, 4600102]	1
51001	黄-章1-图1	5	4	10005			1
52001	黄-章2-图1	6	5	10006			1
53001	黄-章3图1	6	5	10007	1	[5300101]	1
54001	黄-章4-图1	7	6	10008	1		1
55001	黄-章5-图1	8	7	10009	3	[5500101]	1
56001	黄-章6-图1	5	4	10010	1		1
60001	黄金城-章节2-低难度	5	4	60030	3		1
60003	黄金城-章节2-高难度	5	4	60030	3		1
60005	黄金城-章节3-低难度	5	4	60030	3		1
60007	黄金城-章节3-高难度	5	4	60030	3		1
60009	黄金城-章节4-低难度	6	5	60030	3		1
60011	黄金城-章节4-高难度	6	5	60030	3		1
60013	逆风小径-章节2-低难度	6	4	60031	5		1
60017	逆风小径-章节2-高难度	6	4	60031	8		1
60021	逆风小径-章节3-低难度	6	4	60031	8		1
60023	逆风小径-章节3-高难度	6	4	60031	8		1
60026	逆风小径-章节4-低难度	6	4	60031	8		1
60028	逆风小径-章节4-高难度	6	4	60031	8		1
60101	伪结局-3-低难	6	5	10010	5		1
60102	伪结局-4-低难	6	5	10010	5		1
60103	伪结局-5-低难	6	5	10010	5		1
60104	初见伪结局-3-低难	6	5	10010	3		1
70001	终章-低难	6	5	10010	5		1
70002	终章-高难	6	5	10010	5		1
