Id	NpcAnim	NpcAnimLayer	ActionIndex
1	Standchange		1
2	Stand2		2
3	Stand1		3
4	Attack01		4
5	Attack04		5
6	Attack05		6
7	Attack06		7
8	Attack07		8
9	Attack08		9
10	Attack09		10
11	Attack11		11
12	Attack12		12
13	Attack13		13
14	Attack21		14
15	Attack32		15
16	Attack41		16
17	Attack42		17
18	Attack43		18
19	Attack44		19
20	Attack45		20
21	Attack51		21
22	Attack54		22
23	Attack62		23
24	Attack63		24
25	Attack64		25
26	Attack67		26
27	Attack71		27
28	Attack72		28
29	Attack73		29
30	Attack74		30
31	Attack75		31
32	Attack91		32
33	Attack95		33
