StageId	TimeId	PreStageId	StoryStageDetailBg	StoryStageDetailIcon	TrialDetailBg	TrialDetailSpine	TrialDetailHeadIcon	TrialDetailRecommendLevel	TrialDetailDesc	FinishTag	StoryStageFace	TrialFace	TrialLockIcon
30101013			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryImg1.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30101014			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg2.png	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryImg2.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30101015			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg3.png	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryImg3.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30131304			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg3.png	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryImg3.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30101017					Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenSailinnaSairen.png		Assets/Product/Texture/Image/RolePlayerSp/RoleHeadSailinna6.png		不消耗体力\n\n海之仙女，遥坐礁岸，与浪轻歌。\n她为勇者送上祝福，她给旅人增添助力，她护战士刀枪不入。\n而她自己，只是驻留此地，将浪花编成了自己裙摆，久久守候着，一个遥远的梦。\n	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted02.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionFitting01.png	
30101018					Assets/Product/Texture/Image/UiFubenTrialBg/UiFubenYongyechaoSairen.png		Assets/Product/Texture/Image/RolePlayerSp/RoleHeadYongyechao7SS.png		不消耗体力\n\n永远的夏日小岛上，少女紧随着小船游弋。她欢快的泳姿，或令游人惊慌，或令渔人无奈。但到最后，无人不会沉浸在与她玩乐的畅快中。或许，在你不经意的时候，她就会突然从海里跳出来，元气满满地对你喊上一句“Aloha！”	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionFitting01.png	
30101034			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryImg1.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30101035			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg2.png	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryImg2.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30101036			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg3.png	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryImg3.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30131305			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg3.png	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryImg3.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory01.png		
30130416			Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew4.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory07.png		
30130417		30130416	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew4.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory08.png		
30130418		30130417	Assets/Product/Texture/Image/UiSummerFashion/SummerStoryBg1.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerStoryImgNew3.png							Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionStory05.png		
