Id	Name	ChapterPrefab	ActivityBannerIcon	ChapterBg	TrialBg	FightStagePrefab	StoryStagePrefab	ChapterStages	StoryTimeId	StoryEntranceBg	StoryFinishTag	AsGroupStoryIcon	SummerFashionTitleImg
1	苍蓝无尽夏	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30101013]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole03.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting04.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle.png
2	苍蓝无尽夏	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30101014]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole03.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting03.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle.png
3	晚夏回响	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30130416, 30130417]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole04.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting04.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle5.png
4	赛琳娜	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30130418, 30130419]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole03.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting03.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle4.png
5	里	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30130420, 30130421]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole01.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle2.png
6	诺安	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30130422, 30130423]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole02.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting02.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle3.png
7	暖风入夏	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30130438]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole04.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting04.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle5.png
8	含英	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30130439, 30130440]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole03.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting03.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle4.png
9	布偶熊	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30130441, 30130442]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole01.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle2.png
10	露娜	Assets/Product/Ui/ComponentPrefab/FashionStoryChapter/FashionStorySummerChapter.prefab	Assets/Product/Texture/Image/UiFubenActivityBanner/FubenActivityBanner44.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionBg2.png		Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageFight.prefab	Assets/Product/Ui/ComponentPrefab/GridStage/GridFashionStoryStageStory.prefab	[30130443, 30130444]		Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionRole02.png	Assets/Product/Texture/Image/UiSummerFashion/SummerFashionCompleted01.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionSpinting02.png	Assets/Product/Texture/Image/UiSummerFashionNew/SummerFashionTitle3.png
