Id	Type	ScreenType	ActivityId	TimeId	ExtraParams	InitQuality	QualityConditions	Qualities	Condition	Name	MainDesc	WorldDesc	Hint	ExpandInfoId	GetDesc	Priority	ShowType	ShowScore	ShowQualityUpTip	IsNotShowGetTip	Medal3D	MedalImg	MedalIcon	ScoreParams	GroupId	GroupLv	ShowMaxLevel	PrefabPath
13000001	5	1				3			850004	瓦沙克电玩	收藏品	凶猛的瓦沙克被灰鸦小队制服后，七实参照瓦沙克做出的新玩具，在神威手里总能发挥各种意想不到的用处。			通关主线剧情4-12后获得	30	1					Assets/Product/Texture/Image/UiCollection/Iconcollection004.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13000100	5	1				4			850005	萌军重逢	收藏品	印有库莉珂形象的立牌，见证指挥官与萌军各位将领的会面，以及与首领库莉珂的重逢——库莉珂，我回来了。			通关意识营救战“爱芙”后获得	40	1					Assets/Product/Texture/Image/UiCollection/Iconcollection002.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13000300	3	1				5				区域控制器	收藏品	监控通关区域后的控制器，将根据通关区域数显示计数。授予指挥官以发挥卓绝的作战能力，是指挥官区获得区域控制权的象征。			边界公约不使用重启功能通关任意区域后获得	60	1	1				Assets/Product/Texture/Image/UiCollection/Iconcollection006.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13000400	4	1				2	[84700102, 84700103, 84700104]	[3, 4, 5]		荣誉支援凭证	收藏品	由空中花园战场司令部颁发的凭证，以表彰协作作战的意志和团结精神，满足一定次数后，将晋升不同档位。	['·协助他人通关10次，品质提升为蓝色', '·协助他人通关50次，品质提升为紫色', '·协助他人通关200次，品质提升为橙色']		合众战局中协助他人通关1次后获得	70	1					Assets/Product/Texture/Image/UiCollection/Iconcollection001.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13000500	5	1				5			850009	据点争夺	收藏品	广袤的地图上标定，用于识别打通的据点，是穿梭于各地战场时留下斐然战绩的最佳象征，更是一段艰苦卓绝的战斗成果汇总。			完成据点战12章后获得	50	1					Assets/Product/Texture/Image/UiCollection/Iconcollection003.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13000600	6	1				2	[850021, 850022, 850023]	[3, 4, 5]		围剿记录仪	收藏品	联合指挥局为那些战胜了强敌的指挥官所配备的记录装置。（参与拟真围剿，活动结算后作战积分将按照10000：1转化为围剿记录仪经验）	['·【围剿记录仪】达到6级，品质提升为蓝色', '·【围剿记录仪】达到11级，品质提升为紫色', '·【围剿记录仪】达到16级，品质提升为橙色']		加入联合指挥局后获得	10	1	1	1	1		Assets/Product/Texture/Image/UiCollection/Iconcollection015.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13000700	6	1				2	[850030, 850031, 850032]	[3, 4, 5]		叫我大佬	收藏品	搭载了记录功能，专为向同袍伸出援手的指挥官所设计。（参与协同作战、合众战局，结算时自身战力与队伍中最低战力的差值按一定比例转化为收藏品经验）	['·【叫我大佬】达到50级，品质提升为蓝色', '·【叫我大佬】达到100级，品质提升为紫色', '·【叫我大佬】达到150级，品质提升为橙色']		参与协同作战、合众战局且自身不是队伍中最低战力	20	1	1				Assets/Product/Texture/Image/UiCollection/Iconcollection020.png		['0.5']				Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13000800	10	1				3	[850067, 850068]	[4, 5]		法奥斯教官奖章	收藏品	该奖章由空中花园颁发给协作计划中成果优异的指挥官，见证了经验丰富的指挥官带领下奔赴战场的新人指挥官的成长过程。既是良师，亦是战友。	['·毕业学员达到4人，品质提升为紫色', '·毕业学员达到9人，品质提升为橙色']		1名学员毕业后获得	80	1	1				Assets/Product/Texture/Image/UiCollection/Iconcollection031.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005001	999	2				2	[850001, 850002, 850003]	[3, 4, 5]		绯红挚爱	收藏品	构造体在520这一天赠予指挥官的贵重收藏品，代表了赠予者重要的心意。	['·获得3个【绯红挚爱】，品质提升为蓝色', '·获得6个【绯红挚爱】，品质提升为紫色', '·获得10个【绯红挚爱】，品质提升为橙色']		通过道具【绯红挚爱】转化获得	1000						Assets/Product/Texture/Image/UiCollection/Iconcollection007.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005002	999	2				2	[990058, 990059, 990060]	[3, 4, 5]		刻声恋影	收藏品	成员在5.20这一天送给指挥官的礼物，承载着赠予者浓烈的爱慕之情。	['·获得2个【刻声恋影】，品质提升为蓝色', '·获得5个【刻声恋影】，品质提升为紫色', '·获得10个【刻声恋影】，品质提升为橙色']		通过道具【刻声恋影】转化获得	1001						Assets/Product/Texture/Image/UiCollection/Iconcollection083.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005003	999	2				2	[990155, 990156, 990157]	[3, 4, 5]		永恒眷景	收藏品	成员在5.20这天赠予指挥官的重要收藏品，承载着赠予者浓烈真挚的爱意。	['·获得2个【永恒眷景】，品质提升为蓝色', '·获得5个【永恒眷景】，品质提升为紫色', '·获得10个【永恒眷景】，品质提升为橙色']		2023年520活动-赠送【镌慕弥音】礼物	1002						Assets/Product/Texture/Image/UiCollection/Iconcollection130.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
13005004	999	2				2	[990211, 990212, 990213]	[3, 4, 5]		恋纺心语	收藏品	成员在5.20这天赠予指挥官的重要收藏品，承载着赠予者浓烈真挚的爱意。	['·获得2个【恋纺心语】，品质提升为蓝色', '·获得5个【恋纺心语】，品质提升为紫色', '·获得10个【恋纺心语】，品质提升为橙色']		2024年520活动-赠送【馨絮眷言】礼物	1003						Assets/Product/Texture/Image/UiCollection/Iconcollection167.png						Assets/Product/Ui/ComponentPrefab/UiCollection/CollectionStyleOne.prefab
