Id	Name	Type	Star	Ability	CharacterId	FightEvent	FightEventLevel	FixAttrIds	FixAttrLevels	AttrFixGroupIds	Load	DecomposeValue	Icon	Quality	DescId	DescParam	DescTipsId	DescInitValue	DescFixAttrId	DescCoefficient	IsDisplay	SimpleDescId	Tags	Element	Sort	GoldDesc	Chapter	SlotCount	AffixUnlockCost	AffixResetCost	AffixSameTypeResetCost	BuyCost	RandomInitialAffixCount
1	三星插件	101	3			224801	1				3	10	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	1	1	['三星']		10000	1	5000	1		[1]	1			1		200	50	250	500	
2	四星插件	101	4			224801	2				4	30	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	2	1	['四星']		20000	1	5000	1		[1]	1			1		200	50	250	1000	
3	五星插件	101	5			224801	3				5	200	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	3	1	['五星']		30000	1	5000	1		[1]	1			1		200	50	250	3000	
4	六星插件	101	6			224801	4				6	400	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	4	1	['六星']		40000	1	5000	1		[1]	1			1	4	200	50	250	5000	2
5	超源插件	102	6			224801	3				6	400	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	4	1	['超源']		10000	2	5000	1		[1]	1			1	4	200	50	250	5000	2
6	五星插件	102	5	916	1171003	224801	3				5	200	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	3	2			20000	1	5000	1		[1]	1			5		200	50	250	3000	
7	六星插件	102	6	1450		221005	4				6	400	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	4	2			30000	2	5000	1		[1]	1			1	4	200	50	250	5000	2
8	测试插件8	102	6	1450	1531003	225301	4				6	400	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	4	2			40000	1	5000	1		[1]	1			4	4	200	50	250	5000	2
9	戏炎·核心Ⅰ	123	3	290	1541003	2230233	1	[4, 1]	[2, 1]	[302, 101]	3	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	1	3	['16%']		160000	4	2000		293	[2]	1	1541003		2		200	50	250	500	
10	戏炎·核心Ⅱ	123	4	593	1541003	2230233	2	[4, 1]	[2, 2]	[302, 102]	4	30	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	2	3	['32%']		320000	4	2000		293	[2]	1	1541003		2		200	50	250	1000	
11	戏炎·核心Ⅲ	123	5	916	1541003	2230233	3	[4, 1]	[3, 2]	[303, 102]	5	200	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	3	3	['48%']		480000	4	2000		293	[2]	1	1541003		2		200	50	250	3000	
12	戏炎·核心Ⅳ	123	6	1450	1541003	2230233	4	[4, 1]	[3, 3]	[303, 103]	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	4	3	['64%']		600000	4	2000	1	293	[2]	1	1541003		2	4	200	50	250	5000	2
13	戏炎·核心Ⅳ	123	6	1800	1541003	2230233	5	[4, 1]	[3, 3]	[303, 103]	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	4	3	['80%']		600000	4	2000		293	[2]	1	1541003	超源：不消耗虚赝值的概率提高到80%	2	4	200	50	250	5000	2
