BuffId	Desc	Id	GroupId	Weight
761534	霜凝	1	1	10000
761537	雷击	2	1	10000
761540	暗蚀	3	1	10000
761530	炎烧	4	2	10000
761537	雷击	5	2	10000
761540	暗蚀	6	2	10000
761530	炎烧	7	3	10000
761534	霜凝	8	3	10000
761537	雷击	9	3	10000
761540	暗蚀	10	3	10000
780282	壁垒	11	201	10000
760353	电盾	12	201	10000
760213	迅捷	13	201	10000
780282	壁垒	14	301	10000
760353	电盾	15	301	10000
760391	闪现	16	301	10000
780282	壁垒	17	401	10000
760252	暴走2	18	401	10000
760391	闪现	19	401	10000
760353	电盾	20	401	10000
780282	壁垒	21	501	10000
760252	暴走2	22	501	10000
760391	闪现	23	501	10000
760353	电盾	24	501	10000
760213	迅捷	25	501	10000
772595	庇护	26	501	10000
760252	暴走2	27	501	10000
760353	电盾	28	601	10000
772595	庇护	29	601	10000
780282	壁垒	30	601	10000
760391	闪现	31	601	10000
760252	暴走2	32	602	10000
712002	主宰	33	602	10000
760252	暴走2	34	602	10000
760353	跃升层电盾	35	1001	10000
760353	电盾	36	2001	10000
760391	迅捷	37	2001	10000
760252	暴走2	38	2001	10000
760391	迅捷	39	3001	10000
760353	电盾	40	3001	10000
760252	暴走2	41	3001	10000
780422	射线	42	3002	10000
760252	暴走2	43	3002	10000
760252	暴走2	44	4001	10000
760353	电盾	45	4001	10000
760253	暴走3	46	4001	10000
712002	主宰	47	4002	10000
780422	射线	48	4002	10000
