Id	ActorId	Name	Image
1		露西亚	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png
2		露西亚左	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory01.png
3		露西亚中	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory02.png
4		露西亚右	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory03.png
5		露西亚全图	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory04.png
6		露西亚背景	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory05.png
7		露西亚婚纱原画	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory06.png
8		阿呆蛙回忆1	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw.png
9		阿呆蛙原画1	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw1.png
10		阿呆蛙原画2	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw2.png
11		阿呆蛙原画3	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw3.png
12		小露回忆1	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw4.png
13		小露回忆2	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw05.png
14		小露回忆3	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw09.png
15		小露回忆4	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw06.png
16		小露回忆5	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw10.png
17		阿呆蛙回忆07	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw07.png
18		阿呆蛙回忆08	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw08.png
19		阿呆蛙回忆09	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldBgStoryFront/LxyStory_adw11.png
