Id	Name	SectionType	UnlockLv	CharacterIds	EffectIds	EffectAdditions	UnlockItemIds	UnlockItemCounts	IsDefault	Desc
1	火星支援	1	4	[1301002]	[4]	[30]	[63407]	[0]	1	见识一下来自支援部队的实力吧！
2	露记金牌备材	1	5	[1011004, 1031001]	[1]	[20]	[63407]	[1500]		露记钦点金牌员工前来备材！
3	地狱双头犬	1	6	[1221003, 1251002]	[2]	[15]	[63407]	[1500]		偶尔有些摩擦之外，效率不容置疑。
4	路灯的凝视	1	8	[837000, 92670, 813000, 92030]	[3]	[12]	[63407]	[2500]		你不工作，有的是感染体工作！
5	紧急备材	1	10		[5]	[35]	[63407]	[2500]		众人，随我备材！
6	土木工程	1	12	[1071004]	[6]	[-30]	[63407]	[7200]		偶尔使用微型爆破进行处理，材料产出速度变慢。
7	皆为正义	2	3	[1261003]	[8]	[25]	[63407]	[0]	1	任何残次品，必将被绳之以法。
8	光影同行	2	4	[1061002, 1511003]	[9]	[45]	[63407]	[500]		一起战斗吧！
9	最佳搭档	2	5	[1041003, 1071004]	[12]	[40]	[63407]	[1500]		专属于最佳搭档的默契配合。
10	露记金牌制作	2	6	[1011004, 1031001]	[7]	[50]	[63407]	[2000]		露记钦点金牌员工前来制作！
11	赤子之心	2	6	[1231002, 1051004, 1111002]	[11]	[40]	[63407]	[1998]		我们的征途是，宇宙第一！
12	已成艺术	2	8	[1091003, 1531003]	[10]	[55]	[63407]	[2500]		无所谓，专业的艺术家会出手。
13	工艺精通	2	11		[13]	[60]	[63407]	[2500]		觉醒了工匠之魂，所有人都掌握了制作手作的精髓。
14	心灵手巧	3	4	[1531003]	[18]	[10]	[63407]	[0]	1	细腻入微的赛琳娜总能将账目处理得井井有条，收入上升。
15	升格天团	3	5	[1171004, 1021005, 1271003]	[16]	[5]	[63407]	[1500]		代价仅是一次购买。
16	露记金牌销售	3	6	[1011004, 1031001]	[14]	[12]	[63407]	[2000]		露记钦点金牌员工前来销售！
17	尘沙旧识	3	8	[1081004, 1571003]	[15]	[14]	[63407]	[2500]		久别重逢，两个老朋友在商品往来上依然得心应手。
18	突击性推销	3	8	[1121003, 1061002, 1511003]	[17]	[10]	[63407]	[2500]		有没有兴趣来小憩片刻，或许你会被这些手作打动。
19	招牌手作	3	11		[19]	[15]	[63407]	[2500]		最受欢迎的手作！
