Id	Name	Icon	Quality	ProduceNeedTime	ConsumeIngredientIds	ConsumeIngredientCounts	Price	SaleNeedTime	Priority	IsDefault	UnlockItemIds	UnlockItemCounts	PerformId
1	梨花木梳	Assets/Product/Texture/Image/UiRestaurant/UiRestaurantFood48.png	1	240	[1]	[1]	24	240	1	True			
2	舞狮剪纸	Assets/Product/Texture/Image/IconTools/IconDormLionTheaterFlag002_02.png	1	240	[2]	[2]	30	240	2	True			
3	蜀锦	Assets/Product/Texture/Image/UiRestaurant/UiRestaurantFood45.png	2	200	[2, 3]	[1, 1]	32	220	3		[63605]	[1]	14
4	手工布娃娃	Assets/Product/Texture/Image/UiRestaurant/UiRestaurantFood47.png	1	400	[1, 2]	[1, 1]	42	220	4	True			
5	泥咕咕	Assets/Product/Texture/Image/UiRestaurant/UiRestaurantFood53.png	2	480	[3, 4]	[1, 1]	50	250	5		[63606]	[1]	15
6	桌面屏风	Assets/Product/Texture/Image/IconTools/IconDormLionTheaterScreen001.png	2	480	[1, 2, 5]	[1, 1, 1]	60	220	6	True			
7	梅花扇	Assets/Product/Texture/Image/UiRestaurant/UiRestaurantFood46.png	2	480	[1, 4, 5]	[1, 1, 1]	60	240	7	True			
8	赏梅图	Assets/Product/Texture/Image/IconTools/IconDormTheaterDraw001.png	2	600	[2, 3]	[2, 1]	64	410	8	True			
9	喜鹊挂件	Assets/Product/Texture/Image/UiCollection/Iconcollection021.png	3	600	[2, 4, 5]	[1, 1, 1]	66	410	9		[63607]	[1]	16
10	金边灯笼	Assets/Product/Texture/Image/IconTools/IconDormWulingLamp001.png	3	600	[1, 4, 5]	[1, 1, 1]	80	400	10	True			
11	九龙篆章	Assets/Product/Texture/Image/UiRestaurant/UiRestaurantFood44.png	3	600	[4, 5]	[1, 2]	88	360	11		[63608]	[1]	17
12	微型家具	Assets/Product/Texture/Image/IconTools/It209Peacock002.png	3	1000	[1, 5]	[3, 1]	125	700	12	True			
13	七彩龙船	Assets/Product/Texture/Image/IconTools/IconDormJiulongShipSushe001.png	3	1100	[1, 3]	[3, 1]	138	800	13	True			
14	双环白玉杯	Assets/Product/Texture/Image/UiRestaurant/UiRestaurantFood55.png	4	880	[3]	[4]	142	660	14		[63609]	[1]	18
15	冷骨瓷器	Assets/Product/Texture/Image/UiCollection/Iconcollection098.png	4	1000	[3, 4]	[3, 1]	155	600	15	True			
16	龙泉青瓷	Assets/Product/Texture/Image/UiRestaurant/UiRestaurantFood51.png	4	1080	[3, 4]	[3, 2]	172	720	16		[63610]	[1]	19
17	九龙薰炉	Assets/Product/Texture/Image/UiCollection/Iconcollection147.png	4	1080	[4, 5]	[2, 3]	240	800	17	True			
18	戏鼓	Assets/Product/Texture/Image/IconTools/IconDormTheaterDrum001.png	4	1200	[1, 2, 5]	[2, 3, 1]	315	800	18		[63611]	[1]	20
