Id	CharacterId	TalentType	UnlockConditionId	FightEventId	Icon	Name	Desc
1	1011002	1		4501	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	增益-异火	释放后，短时间内获得高额评分加成，受到伤害时失效。
2	1011002	2	862802	4502	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	精确弹道	若闪避射击成功闪避，延长射击状态持续时间；闪避射击每次释放消耗闪避值降低。
3	1011002	2	862803	4503	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	无息角斗	释放挑衅将激怒Boss，致其猛烈进攻；释放完成后10秒内评分获取效率显著提升。
4	1011002	2	862804	4504	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	灼焰闪袭	普攻期间闪避值回复效率提升；闪避后可快速衔接普攻第三段，且普攻后三段额外获得评分。
5	1021005	1	862875	4521	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	增益-深红囚影	释放后，短时间内获得高额评分加成，受到伤害时失效。
6	1021005	2	862805	4506	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	荒境灭斩	松开闪避按键释放无念刹那时，短暂获得闪避判定，若此时成功闪避敌人攻击，额外获得评分。
7	1021005	2	862806	4507	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	逐影残心	释放增益将激怒Boss，致其猛烈进攻；释放完成后10秒内评分获取效率提升。
8	1021005	2	862807	4508	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	宿命疾闪	普攻期间闪避值回复效率提升；普攻最后一击时，额外获取评分。
9	1131003	1		4509	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	增益-绯耀	释放后，短时间内获得高额评分加成，受到伤害时失效。
10	1131003	2	862810	4510	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	破霆鸣响	释放降雷坠时，若消耗3层电荷缠绕，则释放期间无敌。
11	1131003	2	862811	4511	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	执旗者	普攻-引枪追击和必杀-耀枪贯闪后摇期间，持续获得评分。
12	1131003	2	862812	4512	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	绯枪凌空	普攻期间闪避值回复效率提升；普攻额外获得评分；若引枪追击拼刀成功，额外获得评分。
13	1241003	1		4513	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	增益-檀心	释放后，短时间内获得高额评分加成，受到伤害时失效。
14	1241003	2	862814	4514	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	浮呓奏鸣	有护盾时获得霸体。
15	1241003	2	862815	4515	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	瑶乐舞仪	普攻期间闪避值回复效率提升；普攻最后一击后摇期间，持续获得评分。
16	1241003	2	862816	4516	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	合律弦音	释放碧瑶华琚·奏时，额外获得评分。
17	1021006	1		4517	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	增益-誓焰	释放后，短时间内获得高额评分加成，受到伤害时失效。
18	1021006	2	862818	4518	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	烬翼跃行	使用地面长按闪避格挡怪物后，额外获得评分和护盾。
19	1021006	2	862819	4519	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	决意誓言	释放挑衅将激怒Boss，致其猛烈进攻；释放完成后10秒内评分获取效率显著提升。普攻后摇时持续获得评分。
20	1021006	2	862826	4520	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	淬羽迅击	成功闪避并反击命中时，额外获得评分。
21	1051005	1	862874	4521	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	增益-芒星之迹	释放后，短时间内获得高额评分加成，受到伤害时失效。
22	1051005	2	862864	4522	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon016.png	烈轮焚冲	长按黄球触发烈轮焚冲时不再消耗星芒值，每次命中敌人时会获得持续5秒的可叠加评分加成。
23	1051005	2	862865	4524	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	切换格挡	切换形态获得短暂格挡，剑形态切换格挡成功时，长按普攻释放的核心被动评分提高，斧形态则获得部分星芒值。
24	1051005	2	862866	4523	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	格挡增益	触发切换格挡成功时，评分获取效率提升，持续10秒。
25	1531005	1	862873	4521	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	增益-赛琳娜	释放后，短时间内获得高额评分加成，受到伤害时失效。
26	1531005	2	862868	4525	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	闪避追击	消耗音符点按闪避追击成功时，获得额外音符和评分。
27	1531005	2	862869	4526	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	信号强化	消除蓝色信号球后，评分获取效率提升，持续10秒。
28	1531005	2	862870	4527	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon030.png	蓄力连携	长按普攻释放蓄力攻击后，下次消除蓝色信号球获得额外评分。
29	1351003	1	862879	4530	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	挑衅-维吉尔	挑衅Boss，释放期间冻结评分，释放完成后获得大量评分。
30	1351003	2	862880	4531	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	星月护体	维吉尔处于空中时进入无敌状态
31	1351003	2	862881	4533	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	次元斩·精	普通状态下的连续次元斩会获得大量评分
32	1351003	2	862882	4532	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	彗星冲击	使用贝奥武夫时蓄力达到最大后攻击获得大量额外评分
33	1361003	1	862883	4534	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	挑衅-但丁	但丁在空中时可释放，挑衅Boss，释放期间冻结评分，释放完成后获得大量评分。
34	1361003	2	862884	4535	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	瞬防·改	皇家守卫无敌帧增加，成功格挡后但丁获得3秒无敌
35	1361003	2	862885	4536	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	帽子戏法	不受到任何伤害时会积累帽子获得的倍率，最多2.5秒积累满，受到伤害或在地面释放帽子技能时清空，释放时根据积累倍率获得倍率评分并清空倍率
36	1361003	2	862886	4537	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	真升龙·改	真升龙命中目标后额外获得大量评分，真升龙蓄力用时缩短
37	1131004	1	862889	4539	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	挑衅-薇拉	挑衅Boss，释放期间冻结评分，释放完成后获得大量评分。
38	1131004	2	862890	4542	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	披靡	释放核心被动-燃火融魂，刃旋舞步，斩反残掠连段时进入无敌状态
39	1131004	2	862891	4541	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	护心	格挡成功时会获得额外评分并回复少量闪避值
40	1131004	2	862892	4540	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	全盛	释放核心被动-猎影战栗命中敌人时获得额外评分
