Id	Name	Difficulty	IsPractice	UnlockConditionId	FightEventIds	StageId	Icon	Desc	BossId
1	普通	1			[4203]	30163084			1
2	困难	3		862827	[4203]	30163086			1
3	地狱	4		862829	[4203]	30163087			1
4	教学	1	1		[4203]	30163088			1
5	教学	1	1		[4203]	30163090			1
6	普通	1			[4207]	30163089			2
7	困难	3		862830	[4207]	30163092			2
8	地狱	4		862832	[4207]	30163093			2
9	普通	1			[4206]	30163094			3
10	困难	3		862834	[4206]	30163096			3
11	地狱	4		862835	[4206]	30163097			3
12	回音教学	1	1		[4207]	30163098			2
13	维罗妮卡教学	1	1		[4206]	30163099			2
14	普通	1			[4209]	30163251			4
15	困难	3		862871	[4209]	30163253			4
16	地狱	4		862872	[4209]	30163254			4
17	教学	1	1		[4209]	30163255			4
18	普通	1			[4657]	30163256			5
19	困难	3		862876	[4657]	30163257			5
20	地狱	4		862877	[4657]	30163258			5
21	维吉尔教学	1	1		[4657]	30163259			5
22	普通	1			[4658]	30163260			6
23	困难	3		862887	[4658]	30163261			6
24	地狱	4		862888	[4658]	30163262			6
25	依诺·卢娅教学	1	1		[4658]	30163263			6
