Id	Score	Type	Desc	Order	TipsDesc	TipsScore
10011	1		保持S级评分时间占比（每秒检测计算）	64		
10012	1		保持S级评分时间占比（每秒检测计算）	63		
10013	1		保持S级评分时间占比（每秒检测计算）	62		
10021	1		保持SS级评分时间占比	61		
10022	1		保持SS级评分时间占比	60		
10023	1		保持SS级评分时间占比	59		
10031	2		保持SSS级评分时间占比	58		
10032	2		保持SSS级评分时间占比	57		
10033	2		保持SSS级评分时间占比	56		
10041	2		保持SSS+级评分时间占比	55		
10042	2		保持SSS+级评分时间占比	54		
10043	2		保持SSS+级评分时间占比	53		
10091	3		闪避成功后X秒内使用普攻还击	52		
10101	3		闪避成功后X秒内使用必杀还击	51		
10111	7		闪避成功后X秒内使用消球还击	50		
10051	42000	1	战斗内评分最高达到A级	49	战斗内评分最高达到A级	4200
10061	63000	1	战斗内评分最高达S级	48	战斗内评分最高达S级	6300
10071	84000	1	战斗内评分最高达SS级	47	战斗内评分最高达SS级	8400
10081	126000	1	战斗内评分最高达SSS级	46	战斗内评分最高达SSS级	12600
10121			只用普攻	45		
10151	1		只用必杀	44		
10181	1		只消球	43		
10122	1		没用普攻	42		
10155	1		没用必杀	41		
10188	1		没消球	40		
10131	1		攻击次数大于X	39		
10132	1		攻击次数大于X	38		
10133	1		攻击次数大于X	37		
10161	1		必杀次数大于X	36		
10162	1		必杀次数大于X	35		
10163	1		必杀次数大于X	34		
10191	1		消球技能大于X	33		
10192	1		消球技能大于X	32		
10193	1		消球技能大于X	31		
10171	2500	2	必杀次数小于9	30	必杀次数小于9	总积分增加25%
10172	2000	2	必杀次数小于6	29	必杀次数小于6	总积分增加20%
10173	1000	2	必杀次数小于4	28	必杀次数小于4	总积分增加10%
10201	1		战斗中只消了三消	27		
10202	1		在战斗中使用了X次三消	26		
10203	1		在战斗中使用了X次三消	25		
10204	1		在战斗中使用了X次三消	24		
20201	1		只使用了一种颜色的球	23		
20202	1		使用两种颜色的球	22		
20203	1		使用了所有颜色的球	21		
10221	2500	2	受击次数小于30次	20	受击次数小于30次	总积分增加25%
10222	2000	2	受击次数小于15次	19	受击次数小于15次	总积分增加20%
10223	2000	2	受击次数小于5次	18	受击次数小于5次	总积分增加20%
10224	1		受击次数小于3次	17		
10211	1500	2	无伤	16	无伤	总积分增加15%
10231	1		X秒内没挨揍	15		
10241	84000	1	连击大于400	14	连击大于400	8400
10242	63000	1	连击大于300	13	连击大于300	6300
10243	63000	1	连击大于200	12	连击大于200	6300
10251	2500	2	连击到达100后不再中断	11	连击到达100后不再中断	总积分增加25%
10261	1		距离怪物大于X米不超过Y秒	10		
10271	1		闪避次数	9		
10281	1		拼刀次数	8		
10291	1		C级评分下造成了{0}伤害	7		每1点伤害获得0.1分
10301	2	1	C级评分下造成了{0}伤害	6	C级评分下造成伤害	每1点伤害获得0.2分
10311	3	1	B级评分下造成了{0}伤害	5	B级评分下造成伤害	每1点伤害获得0.3分
10321	4	1	A级评分下造成了{0}伤害	4	A级评分下造成伤害	每1点伤害获得0.4分
10331	5	1	S级评分下造成了{0}伤害	3	S级评分下造成伤害	每1点伤害获得0.5分
10341	6	1	SS级评分下造成了{0}伤害	2	SS级评分下造成伤害	每1点伤害获得0.6分
10351	7	1	SSS级评分下造成了{0}伤害	1	SSS级评分下造成伤害	每1点伤害获得0.7分
