Id	Name	Tips	Desc	VideoUrl	PracticeStageId	FightEventId
1	技能1	防御技能	未元投影体会格挡攻击，进行4次格挡后将会进行反击，在怪物暴怒阶段下还会触发更强力的反击	External/Video/cbzshiting.usm		
2	技能2	抓取技能	在暴怒状态下，未元投影体格挡4次后可能会推开角色后发动一次无法被霸体躲避的斩击	External/Video/cbzxiaotouji.usm	30163090	4601
3	技能3	进攻技能	未元投影体在进入暴怒阶段时会冻结时空发动一次攻击，在攻击即将到来时可躲避	External/Video/cbzgedang.usm	30163090	4602
4	技能4	抓取技能	未元投影体在暴怒状态下会抓取角色	External/Video/cbzdatouji.usm	30163090	4603
5	技能5	弹刀技能	未元投影体在进入暴怒阶段后发动三连攻击，可拼刀	External/Video/cbzsanlianpindao.usm	30163090	4604
6	技能6	弹刀技能	未元投影体在进入暴怒阶段格挡4次攻击后可能会发动一次可被弹刀的突进攻击	External/Video/cbzshanxiantujin.usm	30163090	4605
7	技能7	弹刀技能	未元投影体在进入暴怒阶段格挡4次攻击后可能会发动一次可被弹刀的下劈攻击	External/Video/cbzshanxianxiaza.usm	30163090	4606
8	技能8	弹刀技能	未元投影体在进入暴怒条归零时会发动一次拼刀技能，成功拼刀后将会进入瘫痪状态，拼刀失败会回复50%怒气值	External/Video/cbzzhongjie.usm	30163090	4607
9	技能1	弹刀技能	回音进入怒气状态后姐姐会配合回音进行连串可拼刀攻击	External/Video/pingfen4615.usm	30163098	4615
10	技能2	弹刀技能	回音进入怒气状态后姐姐会配合回音进行连串可拼刀攻击	External/Video/pingfen4616.usm	30163098	4616
11	技能3	克除朽暗	回音射出箭矢控制角色并且发动的强大攻击	External/Video/pingfen4619.usm	30163098	4619
12	技能4	普通技能	回音向前跳起后射出箭矢攻击角色	External/Video/pingfen4621.usm	30163098	4621
13	技能5	普通技能	回音登上柱子最高点跳起后对角色发起攻击	External/Video/pingfen4622.usm	30163098	4622
14	技能6	拼刀技能	回音向前突进发出的踢击，可拼刀	External/Video/pingfen4624.usm	30163098	4624
15	技能7	拼刀技能	回音蓄力后射出的强力一击，可拼刀	External/Video/pingfen4625.usm	30163098	4625
16	技能8	拼刀技能	回音在第一次退出怒气状态后将会对玩家发动3次可拼刀攻击	External/Video/pingfen4626.usm		
17	技能1	拼刀技能	与维罗妮卡拼刀时每次拼刀都与上次使用不同类型的技能时可达成完美拼刀，在完成连拼后让维罗妮卡进入虚弱状态	External/Video/pingfenwlnkpindaoshibai.usm		
18	技能2	拼刀技能	维罗妮卡会发动连续拼刀，达成连续完美拼刀后维罗妮卡将进入虚弱状态	External/Video/pingfen4628.usm	30163099	4628
19	技能3	拼刀技能	维罗妮卡会发动连续拼刀，达成连续完美拼刀后维罗妮卡将进入虚弱状态	External/Video/pingfen4629.usm	30163099	4629
21	技能4	拼刀技能	维罗妮卡飞上天空发动强大攻击，可拼刀	External/Video/pingfen4631.usm	30163099	4631
22	技能5	抓取技能	维罗妮卡会发动投技，只可使用闪避躲避	External/Video/pingfen4632.usm	30163099	4632
23	技能6	普通技能	维罗妮卡投掷武器发出震荡波	External/Video/pingfen4633.usm	30163099	4633
24	技能7	不可闪避技能	维罗妮卡发出直线攻击，无法被闪避无敌帧躲避	External/Video/pingfen4634.usm	30163099	4634
25	技能8	普通技能	维罗妮卡对地面释放斩击，冲击波会攻击敌人	External/Video/pingfen4635.usm	30163099	4635
26	技能9	普通技能	在攻击的后摇中受到攻击时，会发动超算招架住此次攻击，并发起一次强力的反击（第二次进入怒气状态时才解锁此能力）	External/Video/pingfenwlnkjingfang.usm		
30	技能1	反超算技能	帕瓦特在暴怒阶段会失去控制并进入连续三次的反超算攻击	External/Video/pingfenfallingstarpowered01shikong.usm	30163255	4636
31	技能2	闪避技能	帕瓦特向前方冲击，极限闪避此次攻击后可使帕瓦特进入失衡状态。	External/Video/pingfenfallingstarpowered02qianchong.usm	30163255	4637
32	技能3	闪避技能	帕瓦特向侧方向冲击，极限闪避此次攻击后可使帕瓦特进入失衡状态。	External/Video/pingfenfallingstarpowered03hengyi.usm	30163255	4638
33	技能4	闪避技能	帕瓦特跳起后进行下砸冲击，极限闪避此次攻击后可使帕瓦特进入失衡状态。	External/Video/pingfenfallingstarpowered04xiaza.usm	30163255	4639
34	技能5	拼刀技能	帕瓦特使用眼睛发射激光，激光为可被拼中的二连击	External/Video/pingfenfallingstarpowered05erlianpin.usm	30163255	4640
35	技能6	拼刀技能	帕瓦特在暴怒阶段后发动最高连续三次的可拼刀攻击	External/Video/pingfenfallingstarpowered06sanlianpin.usm	30163255	4641
36	技能7	抓取技能	帕瓦特在暴怒状态下原地蓄力接前冲，前冲后甩尾会抓取角色	External/Video/pingfenfallingstarpowered07xuli.usm	30163255	4642
37	技能8	拼刀技能	帕瓦特会循环三连近战攻击，最后一击可拼刀	External/Video/pingfenfallingstarpowered08jinzhansanlian.usm	30163255	4643
38	疾走居合	拼刀技能	镜像维吉尔使用居合剑术，迅速向前移动，并拔刀斩击周围目标。	External/Video/pingfen753420.usm	30163259	4648
39	阎魔刀·连斩	拼刀技能	镜像维吉尔使用居合剑术，连续斩击，命中目标后造成伤害。	External/Video/pingfen753421.usm	30163259	4649
40	空坠斩	普通技能	镜像维吉尔瞬移至空中，使用武器下劈攻击，将目标从空中击落至地面。	External/Video/pingfen753422.usm	30163259	4650
41	次元斩	普通技能	镜像维吉尔使用居合剑术，在目标位置释放次元斩击。	External/Video/pingfen753423.usm	30163259	4651
42	幻影剑	普通技能	镜像维吉尔将魔力凝聚为幻影剑，射击目标。	External/Video/pingfen753424.usm	30163259	4652
43	暴雨幻剑阵	普通技能	镜像维吉尔在目标上方召唤大量幻影剑，如暴雨般攻击目标。	External/Video/pingfen753425.usm	30163259	4653
44	摄心	抓取技能	镜像维吉尔原地蓄力后瞬移突进，将武器插入目标身体，控制对方，并造成大量伤害。	External/Video/pingfen753426.usm	30163259	4654
45	次元斩·绝	普通技能	镜像维吉尔使用强大的居合剑术，释放极其强力的次元斩击，攻击周围所有目标。	External/Video/pingfen753427.usm	30163259	4655
46	陨星	拼刀技能	镜像维吉尔进入真魔人形态，环绕战场飞行，伺机发动强大的冲击。	External/Video/pingfen753428.usm	30163259	4656
47	技能1	拼刀技能	骑士形态的依诺·卢娅发射装甲拳套，高跃到空中后重重砸向地面。	External/Video/pingfen4659.usm	30163263	4659
48	技能2	拼刀技能	骑士形态的依诺·卢娅滑步移动后向敌人进行射击	External/Video/pingfen4660.usm	30163263	4660
49	技能3	拼刀技能	骑士形态的依诺·卢娅跳上空中后向敌人挥出重拳	External/Video/pingfen4661.usm	30163263	4661
50	技能4	拼刀技能	骑士形态的依诺·卢娅构建擂台后使用围绳加速重拳攻击敌人	External/Video/pingfen4662.usm	30163263	4662
51	技能5	普通技能	骑士形态的依诺·卢娅砸地后移动到远处发动光束攻击敌人	External/Video/pingfen4663.usm	30163263	4663
52	技能6	普通技能	骑士形态的依诺·卢娅使用冲拳快速攻击敌人	External/Video/pingfen4664.usm	30163263	4664
