Id	Name	RandomWeight	SkipId
11010101	隐藏1-1	10000	11010101
11010103	隐藏1-3	10000	11010103
11010105	隐藏1-5	10000	11010105
11020101	隐藏2-1	10000	11020101
11020103	隐藏2-3	10000	11020103
11020106	隐藏2-6	10000	11020106
11030101	隐藏3-1	10000	11030101
11030105	隐藏3-5	10000	11030105
11030106	隐藏3-6	10000	11030106
11040101	隐藏4-1	10000	11040101
11040104	隐藏4-4	10000	11040104
11040106	隐藏4-6	10000	11040106
11050101	隐藏5-1	10000	11050101
11050103	隐藏5-3	10000	11050103
11050106	隐藏5-6	10000	11050106
11060101	隐藏6-1	10000	11060101
11060102	隐藏6-2	10000	11060102
11060104	隐藏6-4	10000	11060104
11060105	隐藏6-5	10000	11060105
11060106	隐藏6-6	10000	11060106
11070101	隐藏7-1	10000	11070101
11070102	隐藏7-2	10000	11070102
11070105	隐藏7-5	10000	11070105
11070106	隐藏7-6	10000	11070106
11080101	隐藏8-1	10000	11080101
11080102	隐藏8-2	10000	11080102
11080104	隐藏8-4	10000	11080104
11080106	隐藏8-6	10000	11080106
10010101	普通1-1	10000	10010101
10010102	普通1-2	10000	10010102
10010103	普通1-3	10000	10010103
10010104	普通1-4	10000	10010104
10010201	普通1-5	10000	10010201
10010202	普通1-6	10000	10010202
10010204	普通1-8	10000	10010204
10010301	普通1-9	10000	10010301
10010302	普通1-10	10000	10010302
10010303	普通1-11	10000	10010303
10010304	普通1-12	10000	10010304
10020101	普通2-1	10000	10020101
10020102	普通2-2	10000	10020102
10020103	普通2-3	10000	10020103
10020104	普通2-4	10000	10020104
10020201	普通2-5	10000	10020201
10020202	普通2-6	10000	10020202
10020203	普通2-7	10000	10020203
10020204	普通2-8	10000	10020204
10020301	普通2-9	10000	10020301
10020302	普通2-10	10000	10020302
10020303	普通2-11	10000	10020303
10020304	普通2-12	10000	10020304
10030102	普通3-2	10000	10030102
10030103	普通3-3	10000	10030103
10030104	普通3-4	10000	10030104
10030201	普通3-5	10000	10030201
10030202	普通3-6	10000	10030202
10030203	普通3-7	10000	10030203
10030204	普通3-8	10000	10030204
10030302	普通3-10	10000	10030302
10030303	普通3-11	10000	10030303
10030304	普通3-12	10000	10030304
10040101	普通4-1	10000	10040101
10040102	普通4-2	10000	10040102
10040103	普通4-3	10000	10040103
10040104	普通4-4	10000	10040104
10040201	普通4-5	10000	10040201
10040202	普通4-6	10000	10040202
10040203	普通4-7	10000	10040203
10040204	普通4-8	10000	10040204
10040301	普通4-9	10000	10040301
10040302	普通4-10	10000	10040302
10040303	普通4-11	10000	10040303
10040304	普通4-12	10000	10040304
10050101	普通5-1	10000	10050101
10050103	普通5-3	10000	10050103
10050201	普通5-5	10000	10050201
10050202	普通5-6	10000	10050202
10050203	普通5-7	10000	10050203
10050204	普通5-8	10000	10050204
10050301	普通5-9	10000	10050301
10050302	普通5-10	10000	10050302
10050303	普通5-11	10000	10050303
10050304	普通5-12	10000	10050304
10060101	普通6-1	10000	10060101
10060102	普通6-2	10000	10060102
10060103	普通6-3	10000	10060103
10060104	普通6-4	10000	10060104
10060201	普通6-5	10000	10060201
10060202	普通6-6	10000	10060202
10060203	普通6-7	10000	10060203
10060204	普通6-8	10000	10060204
10060301	普通6-9	10000	10060301
10060302	普通6-10	10000	10060302
10060303	普通6-11	10000	10060303
10060304	普通6-12	10000	10060304
10070101	普通7-1	10000	10070101
10070102	普通7-2	10000	10070102
10070103	普通7-3	10000	10070103
10070104	普通7-4	10000	10070104
10070201	普通7-5	10000	10070201
10070202	普通7-6	10000	10070202
10070204	普通7-8	10000	10070204
10070302	普通7-10	10000	10070302
10070303	普通7-11	10000	10070303
10070304	普通7-12	10000	10070304
10080101	普通8-1	10000	10080101
10080103	普通8-3	10000	10080103
10080104	普通8-4	10000	10080104
10080201	普通8-5	10000	10080201
10080202	普通8-6	10000	10080202
10080203	普通8-7	10000	10080203
10080204	普通8-8	10000	10080204
10080301	普通8-9	10000	10080301
10080302	普通8-10	10000	10080302
10080304	普通8-12	10000	10080304
