Id	ActivityIdRange	UpRewardId	KeepRewardId	DownRewardId	DanUpRank	DanKeepRank	DanUpRankCostContributeScore	DanDownRank
1	561	10301	10300		15	21		
2	561	10324	10204		15	21		
3	561	10206	10207		15	21		
4	561	10304	10303	10302	6	12		18
5	561	10311	10310		6	18		
6	561	10215	10216	10217	6	18		
7	561	10307	10306	10305	3	9		15
8	561	10314	10313	10312	6	12		18
9	561	10224	10225	10226	6	18		
10	561		10309	10308		6		15
11	561	10317	10316	10315	3	9		15
12	561	10321	10320		3	21		
13	561		10319	10318		6		15
14	561	10330	10323	10322	3	12		18
15	561	10333	10332	10331	2	6	100	15
16	561		10335	10334		2		15
