Id	Name	BuffName	DistributeTypes	Desc	Region	BuffIds	BuffDesc	StageId	MarkId	IsAbandoned
1	机械工厂	['机械工厂']	[1]	合军聚众：刷新多只普通怪物与精英怪物		[4001]	['物理伤害大幅提升，真意斩伤害小幅提升']	[30080123, 30080103]	3	
2	猩红冰原	['猩红冰原']	[2]	合军聚众：刷新多只普通怪物与精英怪物		[4002]	['冰属性伤害大幅提升，覆冰伤害小幅提升']	[30080223, 30080203]	3	
3	火焰轮回	['火焰轮回']	[3]	合军聚众：刷新多只普通怪物与精英怪物		[4003]	['火属性伤害大幅提升，焚烧伤害小幅提升']	[30080323, 30080303]	3	
4	镭射合金	['镭射合金']	[4]	合军聚众：刷新多只普通怪物与精英怪物		[4004]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升']	[30080423, 30080403]	3	
5	暗影深林	['暗影深林']	[5]	合军聚众：刷新多只普通怪物与精英怪物		[4005]	['暗属性伤害大幅提升，黯衍伤害小幅提升']	[30080523, 30080503]	3	
6	机械工厂	['机械工厂']	[1]	困兽犹斗：每一波次固定只刷新1只怪物		[4001]	['物理伤害大幅提升，真意斩伤害小幅提升']	[30080124, 30080104]	5	
7	猩红冰原	['猩红冰原']	[2]	困兽犹斗：每一波次固定只刷新1只怪物		[4002]	['冰属性伤害大幅提升，覆冰伤害小幅提升']	[30080224, 30080204]	5	
8	火焰轮回	['火焰轮回']	[3]	困兽犹斗：每一波次固定只刷新1只怪物		[4003]	['火属性伤害大幅提升，焚烧伤害小幅提升']	[30080324, 30080304]	5	
9	镭射合金	['镭射合金']	[4]	困兽犹斗：每一波次固定只刷新1只怪物		[4004]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升']	[30080424, 30080404]	5	
10	暗影深林	['暗影深林']	[5]	困兽犹斗：每一波次固定只刷新1只怪物		[4005]	['暗属性伤害大幅提升，黯衍伤害小幅提升']	[30080524, 30080504]	5	
11	机械工厂	['机械工厂']	[1]	祸不单行：每一波固定刷新2只精英怪物		[4001]	['物理伤害大幅提升，真意斩伤害小幅提升']	[30080125, 30080105]	4	
12	猩红冰原	['猩红冰原']	[2]	祸不单行：每一波固定刷新2只精英怪物		[4002]	['冰属性伤害大幅提升，覆冰伤害小幅提升']	[30080225, 30080205]	4	
13	火焰轮回	['火焰轮回']	[3]	祸不单行：每一波固定刷新2只精英怪物		[4003]	['火属性伤害大幅提升，焚烧伤害小幅提升']	[30080325, 30080305]	4	
14	镭射合金	['镭射合金']	[4]	祸不单行：每一波固定刷新2只精英怪物		[4004]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升']	[30080425, 30080405]	4	
15	暗影深林	['暗影深林']	[5]	祸不单行：每一波固定刷新2只精英怪物		[4005]	['暗属性伤害大幅提升，黯衍伤害小幅提升']	[30080525, 30080505]	4	
16	机械工厂	['机械工厂']	[1]	激水之疾：每一波固定刷新1只精英怪		[4001]	['物理伤害大幅提升，真意斩伤害小幅提升']	[30080106, 30080106]	3	True
17	猩红冰原	['猩红冰原']	[2]	激水之疾：每一波固定刷新1只精英怪		[4002]	['冰属性伤害大幅提升，覆冰伤害小幅提升']	[30080206, 30080206]	3	True
18	火焰轮回	['火焰轮回']	[3]	激水之疾：每一波固定刷新1只精英怪		[4003]	['火属性伤害大幅提升，焚烧伤害小幅提升']	[30080306, 30080306]	3	True
19	镭射合金	['镭射合金']	[4]	激水之疾：每一波固定刷新1只精英怪		[4004]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升']	[30080406, 30080406]	3	True
20	暗影深林	['暗影深林']	[5]	激水之疾：每一波固定刷新1只精英怪		[4005]	['暗属性伤害大幅提升，黯衍伤害小幅提升']	[30080506, 30080506]	3	True
21	机械工厂	['机械工厂']	[1]	斗众之势：每一波固定刷新3或6只普通怪物		[4001]	['物理伤害大幅提升，真意斩伤害小幅提升']	[30080127, 30080107]	3	
22	猩红冰原	['猩红冰原']	[2]	斗众之势：每一波固定刷新3或6只普通怪物		[4002]	['冰属性伤害大幅提升，覆冰伤害小幅提升']	[30080227, 30080207]	3	
23	火焰轮回	['火焰轮回']	[3]	斗众之势：每一波固定刷新3或6只普通怪物		[4003]	['火属性伤害大幅提升，焚烧伤害小幅提升']	[30080327, 30080307]	3	
24	镭射合金	['镭射合金']	[4]	斗众之势：每一波固定刷新3或6只普通怪物		[4004]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升']	[30080427, 30080407]	3	
25	暗影深林	['暗影深林']	[5]	斗众之势：每一波固定刷新3或6只普通怪物		[4005]	['暗属性伤害大幅提升，黯衍伤害小幅提升']	[30080527, 30080507]	3	
26	空域浮台	['空域浮台']	[6]	困兽犹斗：每一波次固定只刷新1只怪物		[4132]	['空属性伤害提升']	[30080623, 30080603]	5	
27	空域浮台	['空域浮台']	[6]	祸不单行：每一波固定刷新2只精英怪物		[4132]	['空属性伤害提升']	[30080624, 30080604]	4	
28	空域浮台	['空域浮台']	[6]	斗众之势：每一波固定刷新3或6只普通怪物		[4132]	['空属性伤害提升']	[30080625, 30080605]	3	
29	空域浮台	['空域浮台']	[6]	合军聚众：刷新多只普通怪物与精英怪物		[4132]	['空属性伤害提升']	[30080626, 30080606]	3	
30	熵钟异数	['衍射空洞', '镭射合金']	[12, 4]	祸不单行：每一波固定刷新2只精英怪物		[4088, 4004]	['每隔3波怪物会获得稳态力场', '雷属性伤害大幅提升，电束、熠光伤害小幅提升']	[30080624, 30080604]	4	
31	熵钟异数	['猩红冰原', '暗影深林']	[2, 5]	困兽犹斗：每一波次固定只刷新1只怪物		[4002, 4005]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '暗属性伤害大幅提升，黯衍伤害小幅提升']	[30080224, 30080204]	5	
32	熵钟异数	['火焰轮回', '机械工厂']	[3, 1]	合军聚众：刷新多只普通怪物与精英怪物		[4003, 4001]	['火属性伤害大幅提升，焚烧伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080323, 30080303]	3	
33	熵钟异数	['衍射空洞', '镭射合金']	[12, 4]	斗众之势：每一波固定刷新3或6只普通怪物		[4088, 4004]	['每隔3波怪物会获得稳态力场', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080127, 30080107]	3	
34	熵钟异数	['猩红冰原', '暗影深林']	[2, 5]	祸不单行：每一波固定刷新2只精英怪物		[4002, 4005]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080225, 30080205]	4	
35	熵钟异数	['火焰轮回', '机械工厂']	[3, 1]	困兽犹斗：每一波次固定只刷新1只怪物		[4003, 4001]	['火属性伤害大幅提升，焚烧伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080324, 30080304]	5	
36	熵钟异数	['机械工厂', '蚀刃峰岭']	[1, 8]	祸不单行：每一波固定刷新2只精英怪物		[4001, 4115]	['物理伤害大幅提升，真意斩伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080125, 30080105]	4	
37	熵钟异数	['衍射空洞', '涡流围壁']	[12, 7]	合军聚众：刷新多只普通怪物与精英怪物		[4088, 4114]	['每隔3波怪物会获得稳态力场', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080626, 30080606]	3	
38	熵钟异数	['暗影深林', '蚀刃峰岭']	[5, 8]	困兽犹斗：每一波次固定只刷新1只怪物		[4005, 4115]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080524, 30080504]	5	
39	熵钟异数	['镭射合金', '涡流围壁']	[4, 7]	斗众之势：每一波固定刷新3或6只普通怪物		[4004, 4114]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080427, 30080407]	3	
40	熵钟异数	['涡流围壁', '蚀刃峰岭']	[7, 8]	困兽犹斗：每一波次固定只刷新1只怪物		[4114, 4115]	['雷属性、熠光效应伤害小幅提升，电束伤害大幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080623, 30080603]	5	
41	熵钟异数	['火焰轮回', '涡流围壁']	[3, 7]	祸不单行：每一波固定刷新2只精英怪物		[4003, 4114]	['火属性伤害大幅提升，焚烧伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080325, 30080305]	4	
42	熵钟异数	['火焰轮回', '涡流围壁']	[3, 7]	斗众之势：每一波固定刷新3或6只普通怪物		[4003, 4114]	['火属性伤害大幅提升，焚烧伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080327, 30080307]	3	
43	熵钟异数	['镭射合金', '蚀刃峰岭']	[4, 8]	祸不单行：每一波固定刷新2只精英怪物		[4004, 4115]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080425, 30080405]	4	
44	熵钟异数	['暗影深林', '蚀刃峰岭']	[5, 8]	祸不单行：每一波固定刷新2只精英怪物		[4005, 4115]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080525, 30080505]	4	
45	熵钟异数	['火焰轮回', '涡流围壁']	[3, 7]	合军聚众：刷新多只普通怪物与精英怪物		[4003, 4114]	['火属性伤害大幅提升，焚烧伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080323, 30080303]	3	
46	熵钟异数	['猩红冰原', '蚀刃峰岭']	[2, 8]	困兽犹斗：每一波次固定只刷新1只怪物		[4002, 4115]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080424, 30080404]	5	
47	熵钟异数	['镭射合金', '涡流围壁']	[4, 7]	斗众之势：每一波固定刷新3或6只普通怪物		[4004, 4114]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080227, 30080207]	3	
48	熵钟异数	['衍射空洞', '涡流围壁']	[12, 7]	祸不单行：每一波固定刷新2只精英怪物		[4088, 4114]	['每隔3波怪物会获得稳态力场', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080624, 30080604]	4	
49	熵钟异数	['猩红冰原', '蚀刃峰岭']	[2, 8]	祸不单行：每一波固定刷新2只精英怪物		[4002, 4115]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080225, 30080205]	4	
50	熵钟异数	['衍射空洞', '涡流围壁']	[12, 7]	合军聚众：刷新多只普通怪物与精英怪物		[4088, 4114]	['每隔3波怪物会获得稳态力场', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080626, 30080606]	3	
51	熵钟异数	['镭射合金', '蚀刃峰岭']	[4, 8]	困兽犹斗：每一波次固定只刷新1只怪物		[4004, 4115]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080424, 30080404]	5	
52	熵钟异数	['火焰轮回', '涡流围壁']	[3, 7]	斗众之势：每一波固定刷新3或6只普通怪物		[4003, 4114]	['火属性伤害大幅提升，焚烧伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080327, 30080307]	3	
53	熵钟异数	['暗影深林', '蚀刃峰岭']	[5, 8]	祸不单行：每一波固定刷新2只精英怪物		[4005, 4115]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080525, 30080505]	4	
54	熵钟异数	['镭射合金', '袭凛危塔']	[4, 9]	祸不单行：每一波固定刷新2只精英怪物		[4004, 4143]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080425, 30080405]	4	
55	熵钟异数	['暗影深林', '涡流围壁']	[5, 7]	合军聚众：刷新多只普通怪物与精英怪物		[4005, 4114]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080523, 30080503]	3	
56	熵钟异数	['火焰轮回', '蚀刃峰岭']	[3, 8]	困兽犹斗：每一波次固定只刷新1只怪物		[4003, 4115]	['火属性伤害大幅提升，焚烧伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080324, 30080304]	5	
57	熵钟异数	['衍射空洞', '袭凛危塔']	[12, 9]	斗众之势：每一波固定刷新3或6只普通怪物		[4088, 4143]	['每隔3波怪物会获得稳态力场', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080625, 30080605]	3	
58	熵钟异数	['机械工厂', '袭凛危塔']	[1, 9]	祸不单行：每一波固定刷新2只精英怪物		[4001, 4143]	['物理伤害大幅提升，真意斩伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080125, 30080105]	4	
59	熵钟异数	['镭射合金', '袭凛危塔']	[4, 9]	合军聚众：刷新多只普通怪物与精英怪物		[4004, 4143]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080523, 30080503]	3	
60	熵钟异数	['涡流围壁', '袭凛危塔']	[7, 9]	祸不单行：每一波固定刷新2只精英怪物		[4114, 4143]	['雷属性、熠光效应伤害小幅提升，电束伤害大幅提升', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080425, 30080405]	4	
61	熵钟异数	['岩流深壑', '蚀刃峰岭']	[10, 8]	斗众之势：每一波固定刷新3或6只普通怪物		[4161, 4115]	['火属性伤害小幅提升，焚烧伤害大幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080625, 30080605]	3	
62	熵钟异数	['岩流深壑', '蚀刃峰岭']	[10, 8]	祸不单行：每一波固定刷新2只精英怪物		[4161, 4115]	['火属性伤害小幅提升，焚烧伤害大幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080125, 30080105]	4	
63	熵钟异数	['岩流深壑', '蚀刃峰岭']	[10, 8]	困兽犹斗：每一波次固定只刷新1只怪物		[4161, 4115]	['火属性伤害小幅提升，焚烧伤害大幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080324, 30080304]	5	
64	熵钟异数	['岩流深壑', '蚀刃峰岭']	[10, 8]	合军聚众：刷新多只普通怪物与精英怪物		[4161, 4115]	['火属性伤害小幅提升，焚烧伤害大幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080523, 30080503]	3	
65	熵钟异数	['猩红冰原', '涡流围壁']	[2, 7]	合军聚众：刷新多只普通怪物与精英怪物		[4002, 4114]	['冰属性伤害大幅提升，覆冰伤害小幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080323, 30080303]	3	
66	熵钟异数	['火焰轮回', '蚀刃峰岭']	[3, 8]	合军聚众：刷新多只普通怪物与精英怪物		[4003, 4115]	['火属性伤害大幅提升，焚烧伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080323, 30080303]	3	
67	熵钟异数	['暗影深林', '岩流深壑']	[5, 10]	困兽犹斗：每一波次固定只刷新1只怪物		[4005, 4161]	['暗属性伤害大幅提升，黯衍伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080324, 30080304]	5	
68	熵钟异数	['衍射空洞', '袭凛危塔']	[12, 9]	祸不单行：每一波固定刷新2只精英怪物		[4088, 4143]	['每隔3波怪物会获得稳态力场', '冰属性伤害小幅提升，覆冰属性伤害大幅提升']	[30080125, 30080105]	4	
69	熵钟异数	['镭射合金', '岩流深壑']	[4, 10]	斗众之势：每一波固定刷新3或6只普通怪物		[4004, 4161]	['雷属性伤害大幅提升，电束、熠光伤害小幅提升', '火属性伤害小幅提升，焚烧伤害大幅提升']	[30080625, 30080605]	3	
70	熵钟异数	['火焰轮回', '蚀刃峰岭']	[3, 8]	祸不单行：每一波固定刷新2只精英怪物		[4003, 4115]	['火属性伤害大幅提升，焚烧伤害小幅提升', '物理伤害小幅提升，真意斩伤害大幅提升']	[30080125, 30080105]	4	
71	熵钟异数	['袭凛危塔', '涡流围壁']	[9, 7]	合军聚众：刷新多只普通怪物与精英怪物		[4143, 4114]	['冰属性伤害小幅提升，覆冰属性伤害大幅提升', '雷属性、熠光效应伤害小幅提升，电束伤害大幅提升']	[30080523, 30080503]	3	
