Id	Name	Type	SubType	RoundId	Icon	DifficultyId	Desc	TaskId	Percent	RewardId	MailId
537	1st Round Challenge I - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 5 times in total	95200			
538	1st Round Challenge II - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 10 times in total	95201			
539	1st Round Challenge III - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 15 times in total	95202			
540	1st Round Challenge IV - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 20 times in total	95203			
541	1st Round Challenge V - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 25 times in total	95204			
542	2nd Round Challenge I - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 5 times in total	95205			
543	2nd Round Challenge II - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 10 times in total	95206			
544	2nd Round Challenge III - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 15 times in total	95207			
545	2nd Round Challenge IV - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 20 times in total	95208			
546	2nd Round Challenge V - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 25 times in total	95209			
547	3rd Round Challenge I - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 5 times in total	95210			
548	3rd Round Challenge II - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 10 times in total	95211			
549	3rd Round Challenge III - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 15 times in total	95212			
