Id	PoolId	Description
1	1	【模拟战斗系统V2.1】调用终端存储信息进行战术环境模拟，高度拟真的战术环境甚至会对成员机体造成损伤(<color=#0E70BDFF>有概率损失生命</color>)。模拟结束可获得稳定收益。
2	2	"""……&）集团不为模拟过程中可能发生的&*G_PB(,\(*)j等情况负责。"""
3	3	识别ID：<color=#0E70BDFF>【kurocharacter】</color>作为受训者，加入模拟战斗训练。
4	4	<color=#0E70BDFF>【kurocharacter】</color>
5	5	用武器
6	5	跟队友一起
7	5	呼叫空袭
8	6	攻击了敌人，
9	7	对敌人造成了杀伤。
10	7	偏离了目标，让敌人警戒起来了。
11	8	马天尼
12	8	烟粉壹型
13	8	白先生
14	8	凯西
15	8	吊人叁型
16	8	修理机工
17	8	极地机兵
18	8	禁卫
19	8	武藏玖型
20	8	路过的罗兰
21	8	不明真相的欧西里斯
22	8	力士陆型
23	8	舞轮肆型
24	8	落选的阿茂
25	8	不明生物
26	8	诡异的影子
27	8	感染体
28	8	瓦沙克
29	8	一群裂变原虫
30	8	迷路的库罗罗
31	8	遗迹勘探者和遗迹挖掘者
32	8	浪人肆型
33	8	仿生蝾螈
34	8	无火可救的消防卫士
35	9	向你们发动重击，
36	9	向你们袭来，
37	9	突然发动了猛攻，
38	9	向你们冲来，但是滑倒了，
39	9	向你们试探性的发起了攻击，
40	9	向你们抛掷了不明物体，
41	9	向你们冲来，
42	9	发现了你们，
43	10	愣在原地不知所措。
44	10	陷入了沉思。
45	10	对你们大声质问。
46	10	感觉晕头转向。
47	10	感觉场面一度变得尴尬。
48	10	环视四周。
49	10	似乎有别的事情要做。
50	11	对<color=#0E70BDFF>【kurocharacter】</color>造成了伤害，损失<color=#0E70BDFF>【kurohp】</color>%生命
51	12	于是，什么都没发生。
52	13	一轮交锋之后，
53	14	你们感觉得到了很好的锻炼。
54	14	敌人充分感受到了你们的强大。
55	14	敌人决定无视你们。
56	14	敌人懒得理你们。
57	14	敌人打量着你们。
58	14	敌人突然被其他东西吸引了注意力。
59	15	（电子音）战斗模拟结束，请受训者自行领取奖励和成绩单。
60	16	战斗不积极，奖励一定有问题。
61	16	为了人类，请各位继续努力。
62	16	每周前十名受训者将得到额外的食品配给。
63	16	世界政府不为模拟训练中可能发生的任何人身损伤负责。
64	16	请各位受训者尽快签署构造体改造遴选意向书。
65	16	训练之后，当然要来一瓶法奥斯顶尖能量饮料！
66	16	世界政府会把各位的努力记在心里。
67	16	损坏训练器材照价赔偿。
68	16	如对训练规程有意见，请向）*Y……&8办公室反馈。
69	16	本日食堂合成咖喱八折优惠。
70	16	本日宵禁时间，*&点至/*-点。
71	16	违规外出者将自动取消获得食品配给的权利。
72	16	保护训练器械和作战器材的安全和完好，是军人的义务。
73	16	及时购买军人保险，别让你的家人损失优厚的赔偿金！
74	16	请各位受训者注意，本周的探视日因故取消。
75	16	人类阵线万古长存。
76	17	<color=#0E70BDFF>【kurocharacter】</color>共损失<color=#0E70BDFF>【kurohp】%</color>生命；战术模拟补给已送达
77	18	突袭
78	18	包夹攻击
79	18	正面进攻
80	19	试图绕路
81	19	谨慎行动
82	19	准备防御
