Id	Describe	UiTemplate	UiCotainer	ConfirmPointMaxNpcDistance	ConfirmPointMaxNpcOffset	RandomBornPosX	RandomBornPosY	BornOffsetX	BornOffsetY	Lifetime	Animation	OriginSpeed	Acceleration	MaxSpeed	MinSpeed	MoveTime	OriginFallSpeed	FallAcceleration	FallMaxSpeed	FallMinSpeed	FallTime	ScaleOrigin	ScaleEnd	ScaleTime	ColorOrigin	ColorEnd	ColorTime	OpacityOrigin	OpacityEnd	OpacityTime	FadeTime	FadeAnimation	FadeDir	FadeSpeed	FadeOpacity	FadeOpacityTime
1	Physical	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25
2	Physical CRIT	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8999	SpriteTextImageEnable											1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.3
3	Ray	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25
4	Fire	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25
5	Ice	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25
6	Dark	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3			5.0		0.25
7	Healing	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightExecution.prefab	NormalContainer	1.0		20.0	20.0		120.0	0.8		20.0	-15.0	20.0		0.2						1.0	1.0	0.15	FFFFFF	FFFFFF	1.0	1.0	1.0		0.3					0.3499
8	Physical (Sync)	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25
9	Physical CRIT (Sync)	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightCritTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.8												1.2999	0.8	0.15	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25
10	Lightning (Sync)	Assets/Product/Ui/ComponentPrefab/UiFightDlc/RelinkNumber/UiDlcFightGirdTemplate.prefab	NormalContainer	2.5	1.0	220.0	150.0			0.5												0.8999	0.6999	0.1	FFFFFF	FFFFFF	1.0	0.5	0.5	1.0	0.3			5.0		0.25
