Id	Name	Icon	Intro
1001	移动射击	Assets/Product/Texture/Image/IconSkill/lipugong1.png	移动时可对目标发起攻击
1002	红色信号	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	以自身为中心旋转发射多枚子弹
1003	黄色信号	Assets/Product/Texture/Image/IconSkill/R2lihuang1.png	朝目标发射爆炎弹，命中后爆炸并留下火场
1004	蓝色信号	Assets/Product/Texture/Image/IconSkill/R2lilan1.png	向目标发射1枚爆弹，命中可小幅击退范围内的敌人
1005	零死角	Assets/Product/Texture/Image/IconSkill/R2lidazhao1.png	必杀技：连续朝自身周围射击，造成大量伤害
2001	散弹枪	Assets/Product/Texture/Image/IconSkill/kalieninapugong1.png	散射攻击，发动时可利用后坐力进行位移
2002	红色信号	Assets/Product/Texture/Image/IconSkill/R2kalieninahong1.png	切换为炮击模式，持续期间获得霸体效果，受到的伤害提高50%
2003	黄色信号	Assets/Product/Texture/Image/IconSkill/R2kalieninahuang1.png	突进至目标面前并连续发射两枚散弹
2004	蓝色信号	Assets/Product/Texture/Image/IconSkill/R2kalieninalan1.png	向前方地面发射一枚持续吸附敌人的特殊炮弹，被吸附的敌人会持续受到伤害
2005	破碎轰鸣	Assets/Product/Texture/Image/IconSkill/R2kalieninadazhao1.png	必杀技：对目标区域召唤炮弹持续轰击
3001	迅猛攻势	Assets/Product/Texture/Image/IconSkill/luosaitapugong1.png	可在移动中对目标发起连续斩击，长按可蓄力发射小/中型电磁炮
3002	红色信号	Assets/Product/Texture/Image/IconSkill/R3Luosaitahong1.png	朝前方扫出3道剑风
3003	黄色信号	Assets/Product/Texture/Image/IconSkill/R3Luosaitahuang1.png	提盾向目标发起二段冲刺
3004	蓝色信号	Assets/Product/Texture/Image/IconSkill/R3Luosaitalan1.png	对目标投掷盾牌造成伤害并收回，期间盾牌可牵引敌人
3005	涤罪之枪	Assets/Product/Texture/Image/IconSkill/R3Luosaitadazhao1.png	飞至空中朝地面发射离子炮，蓄力期间持续牵引敌人并造成伤害，蓄力完成造成大范围爆炸
4001	雷光	Assets/Product/Texture/Image/IconSkill/lifupugong1.png	每次闪避减少信号球技能冷却，闪避移动时召唤雷光轰击，雷光命中敌人返还部分闪避值
4002	红色信号	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	向目标发射1枚离子炮，命中可击倒敌人
4003	黄色信号	Assets/Product/Texture/Image/IconSkill/R2lifuhuang1.png	在目标处创造一个立方体，范围内敌人受时滞影响并持续造成伤害
4004	蓝色信号	Assets/Product/Texture/Image/IconSkill/R2lifulan1.png	在目标处创造一座离子墙，对穿过的敌人造成电击伤害
4005	雷光涌动	Assets/Product/Texture/Image/IconSkill/R2lifudazhao1.png	召唤雷电区域，持续治疗并对敌人造成伤害，持续5秒
