Key	Values
MainViewShowRewardId	['63710']
RewardTips	['当前无可领取奖励', '演算正在进行时无法领取奖励', '达到等级上限']
HelpKey	['UiTheatre3']
StrengthenTreeMaxCount	['31']
StrengthenTreeTips	['调制解调器数量不足', '有尚未完成的演算，演算过程中无法进行激活操作', '前置潜质未解锁']
StrengthenTreeBtnActiveName	['未解锁', '已激活', '激活']
CharacterLevelUpGetBuffDesc	['调制解调器<color=#cc84d5>+%s</color>']
CharacterLevelMaxDesc	['已达到最大等级']
HandbookPropDetailLockTips	['演算中获得藏品后可查看详情', '演算中获得装备后可查看详情']
HandbookPropUnlockPercent	['\\n%d<color=#434f56>/%d</color>']
HandbookPropLockName	['未知']
HandbookPropDesc	['解锁的藏品才会在演算中出现']
Theatre3EntryProgressDesc	['当前等级: %s/%s']
Theatre3FirstEntryStoryId	['RG00701BA']
Theatre3MainTaskCompleteDesc	['已完成所有任务']
Theatre3MainTaskCompleteTitle	['任务']
Theatre3EquipUseTypeIcon	['Assets/Product/Texture/Image/IconType/IconZY2.png', 'Assets/Product/Texture/Image/IconType/IconZY6.png']
Theatre3EquipPosTypeIcon	['Assets/Product/Texture/Image/IconTools/IconDlcHunt007.png', 'Assets/Product/Texture/Image/IconTools/IconDlcHunt008.png', 'Assets/Product/Texture/Image/IconTools/IconDlcHunt009.png']
Theatre3EquipAttTypeIcon	['Assets/Product/Texture/Image/IconType/IconTypeYsWuli.png', 'Assets/Product/Texture/Image/IconType/IconTypeYsHuo.png', 'Assets/Product/Texture/Image/IconType/IconTypeYsLei.png', 'Assets/Product/Texture/Image/IconType/IconTypeYsBing.png', 'Assets/Product/Texture/Image/IconType/IconTypeYsAn.png']
Theatre3GetRewardSound	['2829', '2830', '2831']
Theatre3NoneCharacterIcon	
Theatre3CharacterEndingLock	['已激活', '未激活']
Theatre3EquipNotLockTips	['%s未解锁']
Theatre3CharacterEndingLockTips	['%s未激活']
MainBtnIcon	['Assets/Product/Texture/Image/UiTheatre3/UiTheatre3MainContinue.png', 'Assets/Product/Texture/Image/UiTheatre3/UiTheatre3MainStart.png', 'Assets/Product/Texture/Image/UiTheatre3/UiTheatre3MainContinueQuantum.png', 'Assets/Product/Texture/Image/UiTheatre3/UiTheatre3MainStartQuantum.png']
Theatre3EquipCapcityDesc	['<color=#FFFFFF>%s/%s</color>', '<color=#FF0000>%s/%s</color>']
