EventId	NodeName	NodeIcon	NodeBg	NodeDesc	NodeEffectUrl	UnDefeatNode
1	贴心搭档	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story1.png			
2	物归新主	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story2.png			
3	隐秘工坊	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story3.png			
4	休憩之地	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story4.png			
5	自动化工坊	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story41.png			
6	天台扭蛋机	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story44.png	筹齐可爱的三色图标！		
301	厄运连锁	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon3.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story5.png	通往既定的命运\n<color=#808080><size=20>「4:21:20」</size></color>		
302	不祥烙印	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon3.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story6.png	宿命的钟声\n<color=#808080><size=20>「4:16:31」</size></color>		
303	绝死弥生	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon3.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story7.png	通往渺茫的未来\n<color=#808080><size=20>「4:42:20」</size></color>		
304	摇曳灯火	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon3.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story8.png	黎明的幻象\n<color=#808080><size=20>「4:07:20」</size></color>		
501	深渊余音	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon3.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story9.png	迎接悲悯的残局\n<color=#808080><size=20>「0:03:11」</size></color>		
502	另辟蹊径	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon3.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story40.png	前途未卜的新道路		
601	彼岸残响	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon3.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story10.png	遥不可及之物\n<color=#808080><size=20>「0:02:03」</size></color>		
1001	工业怪谈	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story11.png	新时代的民俗学家		
1002	举手之劳	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story12.png	公馆主人的用意为何		
1011	瑕疵造物	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon4.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story13.png	关于真伪的辩题		
2001	洁塔薇的游戏	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story14.png	忙里偷闲的嬉戏时间		
2002	贫困收藏家	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story15.png	因为热爱一贫如洗		
2011	善意诱导	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon4.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story16.png	看上去像病人的医生\n<color=#808080><size=20>「瑕疵造物」系列</size></color>		
2012	迷失之馆	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story17.png	来自年幼的请求者		
2013	野性之森	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story18.png	喜爱昆虫的迷途少女		
3001	铁石心肠	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story19.png	生命拥有均等的重量？		
3002	头号玩家	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story20.png	不管怎样，先来一局游戏吧		
3003	致命失误	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story21.png	关于蠢货科学家的故事		
3011	灾厄无声	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon5.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story22.png	只有你知道的危险\n<color=#808080><size=20>「瑕疵造物」系列</size></color>		
3012	无尽长廊	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon4.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story23.png	永无止尽的道路		
3013	继承之物	Assets/Product/Texture/Image/UiTheatre3/Theatre3EventTypeIcon4.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story24.png	斗志是不息的火苗		
3014	失败造物	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story25.png	藏叶于林的困局		
3015	旧日情谊	Assets/Product/Texture/Image/UiBiancaTheatre/UiBiancaIconEvent04.png	Assets/Product/Texture/Image/UiTheatre3/Theatre3Story26.png	如同花蜜般甜美......		
